Mutation Types	PD8969a	PD18031a	PD4103a	PD14472a	PD9572a	PD13162a	PD6414a	PD24303a	PD8982a	PD11379a	PD7199a	PD11743a	PD11346a	PD13298a	PD11361a	PD11742a	PD9756a	PD9589a	PD24217a	PD4606a	PD23566a	PD7238a	PD7305a	PD17973a	PD22364a	PD11384a	PD24314a	PD11348a	PD13297a	PD9064a	PD14456a	PD13306a	PD9002a	PD24225a	PD4199a	PD9568a	PD13167a	PD11389a	PD4069a	PD4875a	PD4957a	PD4255a	PD8832a	PD11352a	PD7205a	PD9755a	PD11748a	PD9593a	PD6048a	PD9541a
clustered_del_1-10Kb	0	0	5	0	0	0	0	0	5	1	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	3	0	0	0	2	0
clustered_del_10-100Kb	0	1	4	0	0	0	0	0	3	0	1	0	3	3	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	6	0	0	1	1	1	0	0	7	1	0	0	4	0
clustered_del_100Kb-1Mb	0	2	9	0	0	1	0	0	7	1	6	1	10	3	0	0	0	0	4	0	0	0	7	0	0	0	7	3	0	0	1	0	4	1	0	1	5	0	0	0	0	4	0	0	12	1	0	0	8	2
clustered_del_1Mb-10Mb	0	2	16	0	1	4	0	0	6	1	6	2	20	7	0	1	3	0	4	0	0	0	20	0	2	0	4	7	0	0	1	0	6	3	1	0	9	0	0	1	0	3	5	0	17	6	0	2	20	3
clustered_del_>10Mb	0	0	13	0	0	3	0	0	2	0	1	1	33	2	0	2	1	0	2	0	0	0	13	0	4	0	13	4	0	0	2	0	4	3	1	0	9	0	0	0	2	0	1	0	13	3	0	1	12	0
clustered_tds_1-10Kb	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0
clustered_tds_10-100Kb	0	0	3	0	1	1	0	0	7	0	0	0	2	2	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	3	1	0	0	5	0
clustered_tds_100Kb-1Mb	0	4	5	0	0	2	0	0	18	1	1	4	6	1	0	0	0	0	2	0	0	0	4	0	0	0	5	2	0	0	0	0	5	1	0	0	3	0	0	0	0	3	0	0	12	1	0	0	7	1
clustered_tds_1Mb-10Mb	0	1	11	0	0	4	0	0	5	3	3	3	20	3	0	0	3	0	4	0	0	1	14	0	0	0	1	8	0	0	1	0	5	1	2	0	7	0	0	1	0	4	2	0	11	4	0	0	19	2
clustered_tds_>10Mb	0	2	8	0	0	7	0	0	6	0	6	0	32	1	0	2	0	0	4	0	0	1	14	0	1	0	10	6	0	0	3	0	3	2	2	0	8	0	0	0	1	1	0	0	11	2	0	0	14	0
clustered_inv_1-10Kb	0	7	7	0	0	2	0	0	3	1	1	0	7	3	0	4	1	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	2	0	0	1	3	0	0	1	1	4	3	0	7	3	0	0	5	0
clustered_inv_10-100Kb	0	7	7	0	0	2	0	0	6	0	0	1	2	1	0	0	1	0	2	0	0	2	9	0	0	0	1	2	0	0	0	0	0	0	0	1	2	0	0	1	2	4	0	0	11	3	0	1	3	0
clustered_inv_100Kb-1Mb	0	7	14	0	3	1	0	0	5	2	7	0	11	8	0	0	1	0	3	0	0	0	16	0	0	0	3	4	0	0	1	0	11	1	2	1	8	0	0	0	0	0	1	0	23	2	0	0	8	0
clustered_inv_1Mb-10Mb	0	3	33	0	0	12	0	0	9	7	6	4	36	18	0	0	8	0	8	0	0	1	38	0	3	0	4	21	0	0	5	0	18	3	10	0	16	0	0	2	0	4	9	0	26	12	0	0	55	4
clustered_inv_>10Mb	0	3	19	0	1	7	0	0	10	0	6	5	64	3	0	2	4	0	2	0	0	0	24	0	6	0	18	6	0	0	2	0	3	1	2	3	14	0	0	0	1	3	4	0	21	3	0	1	32	1
clustered_trans	0	11	186	0	1	8	0	0	13	3	0	4	86	76	0	2	13	0	27	0	0	9	82	0	0	0	5	20	0	0	7	0	26	4	6	0	28	0	0	1	0	34	11	0	155	8	0	3	36	0
