 ,X,Y,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,MT,M
T:AA,67970,4325,171630,225139,111381,161571,157151,135137,180643,97402,153842,113381,191767,91401,80394,80064,110801,76760,101186,77614,92543,0,0
U:AA,56822,4005,145031,186265,93176,140014,129433,116411,151370,83136,126479,94181,159893,76485,65395,66530,91174,62465,82805,68934,74666,0,0
B:AA,999,0,2426,3346,2031,5547,3138,1667,7511,7351,3381,2415,4269,534,1835,1003,2780,4892,1435,280,1403,0,0
N:AA,219872,36,209052,278938,189887,151932,197787,160646,294643,187412,189336,168937,234442,113726,150991,156871,101226,110431,181340,83716,91220,0,0
T:AG,47928,2636,140592,193076,87677,157896,146515,120504,174588,94393,133580,101935,183039,77078,63992,69431,104615,64662,96924,63066,83131,0,0
U:AG,45791,3105,135475,184578,85116,156616,141633,117077,167974,91025,129026,96485,176869,75414,60609,66873,100826,61991,93048,62763,79312,0,0
B:AG,786,0,2441,3408,2117,5673,3583,1661,8152,9654,3941,2559,4168,546,1269,910,3078,4858,2062,300,1423,0,0
N:AG,165997,47,186516,254106,159074,148566,184192,139110,261442,161596,171060,148357,230183,103447,128401,133131,95114,95262,170449,71663,84015,0,0
T:CC,32192,1795,103354,143882,63653,130427,117531,93273,142395,75916,101830,79259,148136,57453,45524,53335,84170,47536,79921,45885,65938,0,0
U:CC,32726,1614,101057,142668,61889,130265,115076,92748,139940,75508,99151,79171,145081,55243,44861,51498,83804,46747,76797,45196,63956,0,0
B:CC,587,0,1785,2958,1703,4683,3072,1327,7252,9044,3277,2182,3361,405,903,737,2597,3751,1913,241,1118,0,0
N:CC,115656,25,139964,195482,115441,119709,143291,102927,201441,120779,128921,114005,183119,79560,94785,97864,74644,71022,135434,52957,65028,0,0
T:GA,40443,2314,114180,154538,71496,127128,116329,97505,139213,75637,106360,82823,143668,61710,52079,55566,82695,52257,76920,51585,65975,0,0
U:GA,38215,2753,111223,149638,70019,130014,113058,96769,135686,73291,104582,78107,141271,60761,49661,54504,81302,50237,74497,52102,64283,0,0
B:GA,631,0,1978,2717,1694,4634,2793,1375,6402,7386,3046,1982,3257,453,1096,740,2471,3856,1599,241,1054,0,0
N:GA,142503,39,155479,211105,134064,122484,152337,116595,220035,136376,141394,124034,186649,85733,108712,112854,78580,79803,141322,60161,68700,0,0
Q:AC,187637,4500,331305,450399,242386,327260,339679,269815,428496,255345,310665,250438,415854,184267,185384,193301,213086,162484,258039,142743,173629,0,0
Q:AT,140246,3332,206103,270894,154193,174764,190493,161019,250474,148020,182142,149039,222687,109002,116855,119335,116487,99662,143497,89000,98057,0,0
Q:CA,261208,6128,462799,634240,334831,463693,477199,379526,608943,359891,434675,349670,584587,255299,257568,271097,300026,226823,365106,198751,242413,0,0
Q:CG,11946,392,30500,43005,21701,45959,36111,28807,42144,26210,30768,25965,45610,18084,16454,17511,26413,14725,27434,14162,19258,0,0
Q:GC,68039,1535,137350,193524,96290,156426,150509,116699,187804,110506,133835,106832,189596,77533,73900,79717,99209,67180,115012,59027,77570,0,0
Q:TA,122859,2875,181373,237510,136276,148888,167509,139215,215823,127785,161288,130627,197968,97386,102169,103761,102383,87782,123988,77870,87605,0,0
