 ,X,Y,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,MT,M
B:AA,0.043952054399815595,0.0014176223131447013,0.06583299717628076,0.0645018152480839,0.09933152768973665,0.031325995505099985,0.029176511266063503,0.05711404368120786,0.04386561401486774,0.02782804126087708,0.03159684204460324,0.037013772834668356,0.07186077335331066,0.04870051287961736,0.0079237019535527,0.05996081369215697,0.030415490116982653,0.06287673601106437,0.06493401717282314,0.018596208148446956,0.04817034518527056,0.01761078776004149,0.022595516625367372,0.013398259666916384,0,0
B:AG,0.032431933548684816,0.0018827872634979235,0.0716751269035533,0.05158744808491001,0.08861559760036918,0.024780802953391787,0.028274111675126903,0.06361329026303646,0.040466082141209045,0.027378864790032303,0.03140286109829257,0.038887863405629906,0.07660821412090447,0.04959852330410706,0.0054822335025380715,0.05451315182279649,0.023082602676511306,0.0717766497461929,0.07617443470235348,0.015297646515920627,0.06232118135671435,0.022011998154130134,0.0239640055376096,0.018172588832487308,0,0
B:CC,0.027380378288592404,0.0021611387951204703,0.07341174159209844,0.047522727678651164,0.08173033988819232,0.021151476182821625,0.027675079033381556,0.06697744199753523,0.03807444319419886,0.026518601868224117,0.03145707192484238,0.0396685063137402,0.07726964225115648,0.04970172712497098,0.005175123685009555,0.04954098126417689,0.01943238850488489,0.07800639411312936,0.08054260658343604,0.014574291378663666,0.0740815160120738,0.02391987711871975,0.023178660093947024,0.0208478451124328,0,0
B:GA,0.03429668821393784,0.0019370406446471266,0.06991609846807757,0.052311166209156115,0.08929757371823253,0.024982289914106084,0.027688612414770213,0.06205171345081024,0.04104865846099354,0.02640463118746126,0.030837687062782254,0.03918356504029045,0.07665699991144957,0.04979301337111485,0.005999291596564244,0.05431461967590543,0.024456521739130436,0.07062450190383424,0.0770112016293279,0.01649251748870982,0.0629980961657664,0.021849818471619587,0.021169087045072168,0.018678606216240148,0,0
N:AA,0.08303139744859322,0.012745383584784761,0.04492339954563989,0.06589386613852158,0.023335469214190017,0.03257412477427623,0.022718005475621833,0.05166889963301684,0.08611871614143414,0.02594512727908196,0.026725694646705888,0.03879536319683113,0.08475563581289684,0.03524203413525951,0.019001572784994467,0.1321022892759364,0.03772353934875051,0.026294635055629987,0.033599347585483774,0.011219199627191706,0.06250364070600571,0.017708394011766763,0.0057785285722607325,0.019595736005126114,0,0
N:AG,0.06458341306594206,0.009012974090091469,0.042146656971181445,0.062488040108691495,0.028541084618622987,0.02323089287764553,0.017203107658157604,0.037104366795514564,0.12916682613188413,0.02878028244479314,0.024713919399900492,0.0333250411420261,0.07368249837345478,0.028541084618622987,0.010983964177733552,0.14370048604998278,0.03587967392552337,0.03757319453480807,0.03966856749205863,0.009644456351180681,0.06277507750009569,0.016188908875196143,0.006027785219487925,0.035037697577404416,0,0
N:CC,0.05304016633955811,0.007986630652338664,0.042303880608616236,0.057694176172246946,0.03525971123763627,0.019432191368220594,0.014574143526165446,0.030197625386214802,0.15367948543557258,0.028720778842230038,0.023396358407337597,0.03828141699539457,0.07553292784827345,0.027243932298245274,0.007403664911292046,0.13431530673714076,0.033734284215230954,0.044548298711645715,0.04180835972872661,0.008890227550960922,0.0660597345562659,0.015419443850683041,0.00491634441615981,0.035560910203843686,0,0
N:GA,0.06528308798278348,0.010050596396437647,0.043338904278944115,0.06319970695299801,0.028388928317955996,0.025435564001007348,0.017891893129421462,0.0392866137045262,0.11793997115318575,0.02643146592183887,0.02563016552576753,0.033402779367659514,0.07330753909201218,0.028881155704114106,0.010371116554866182,0.14614574509489686,0.03953845097186291,0.036241672199455115,0.038485313308454866,0.010096384990498867,0.06479086059662538,0.016071796515487992,0.005620549921014675,0.03416973831818494,0,0
Q:AC,0.03794719883990989,0.0032132296518073006,0.1037338109235004,0.07005834641336811,0.05887161215937422,0.03756105435948483,0.045124445677349585,0.05125429103274174,0.045469349715775806,0.03204399967430625,0.04101150467338804,0.03975895842857702,0.05833143286567142,0.05334838903201633,0.017504452734047438,0.03264357225413559,0.0340408125283528,0.042865033427669376,0.05680923757702181,0.014728653753356073,0.06528450089019433,0.025926491203272728,0.010498159865577308,0.02197146231910162,0,0
Q:AT,0.042787819593925656,0.004468122876185705,0.10290610416592116,0.0797270150932461,0.06250846368281941,0.04668900728104759,0.05040180128219971,0.05559262619394937,0.04582316814329427,0.03481880176002503,0.038954692195589835,0.042260878595179505,0.05458259747531411,0.05611184901561668,0.02150073638425857,0.0339298080910352,0.035233127538666316,0.03259842254493558,0.04840384589747314,0.017318887712451596,0.04615890884622374,0.021690182548920963,0.009723148988182068,0.015809984093538693,0,0
Q:CA,0.03778948163316199,0.0030821843632355328,0.10498381695154568,0.06873250056050892,0.05924547012209436,0.03604514277318151,0.04403908283765613,0.05065115622890774,0.044779247296532335,0.03164454778492146,0.04136479676210245,0.03923433604426469,0.059975331753956786,0.0534054062913979,0.016562848122865896,0.03248411110896469,0.03436578196993565,0.04385445149446603,0.05832570865595524,0.014223403925260015,0.06551204757564529,0.026601782271995805,0.010307393039386653,0.022789970432057247,0,0
Q:CG,0.032373984850222325,0.0019030635844853288,0.09664264537434433,0.05799447763674807,0.04915431565086192,0.028732781268803544,0.04119224292213674,0.044725859631988475,0.045683189519106014,0.032086012804770414,0.04280411329735079,0.0369306431891068,0.06007728216235439,0.046994847426354534,0.014827661293335927,0.030590104327053783,0.030917374571102038,0.05685032024810692,0.06628188791122988,0.012746145233257357,0.09653441427001341,0.03201192603692485,0.011897690683234615,0.03004701610710756,0,0
Q:GC,0.034269398550902844,0.0022293802361628796,0.10385076526488536,0.061693151840192015,0.055231872952958914,0.02976642627419111,0.04062401646005477,0.04700792468961241,0.04424468691548886,0.031223757876263872,0.042620455751859035,0.037248168871408034,0.0626589034422482,0.050513368129865545,0.014195028769450085,0.03167554725233307,0.03346198047330395,0.05184276182299638,0.06473823986727616,0.012456952209526372,0.07982772870421004,0.030144713525468624,0.010890749039153144,0.027584021080188332,0,0
Q:TA,0.043010763073309435,0.004728643837309927,0.10301412411917418,0.0832752232970701,0.06320746152181976,0.04941461784522191,0.051915120070466066,0.05714598915193472,0.04647080526022994,0.03595643002843368,0.03820533672270985,0.043063400142168376,0.05278097570775127,0.05675000386327111,0.0230386172580047,0.03488726974904191,0.035678274508591915,0.029791615156385214,0.04581887826060082,0.017902398318704413,0.040014313419458526,0.020123779206329583,0.00984264896773396,0.01396331051427865,0,0
T:AA,0.04074323231651463,0.00410285793214937,0.10360796277301583,0.081985253471414,0.06253163614391608,0.04887931669055453,0.0517626288075991,0.05671300144975605,0.047168371501337354,0.03649002720743903,0.039340939365750914,0.043507744584872686,0.05265817503537706,0.05745962155142939,0.023177338900442032,0.03264921104679435,0.03537876546494083,0.03174968587671588,0.046835845609080856,0.017883356169620036,0.03899761348725019,0.0213470254422097,0.010101966080653729,0.014928423091166378,0,0
