
neut:het:(-0.01,0.1]	
neut:het:(0.1,1]	
neut:het:(1,10]	
neut:het:(10,40]	
neut:het:(40,Inf]	
dup:het:(-0.01,0.1]	
dup:het:(0.1,1]	
dup:het:(1,10]	
dup:het:(10,40]	
dup:het:(40,Inf]	
quad:het:(-0.01,0.1]	
quad:het:(0.1,1]	
quad:het:(1,10]	
quad:het:(10,40]	
quad:het:(40,Inf]	
amp:het:(-0.01,0.1]	
amp:het:(0.1,1]	
amp:het:(1,10]	
amp:het:(10,40]	
amp:het:(40,Inf]	
del:LOH:(-0.01,0.1]	
del:LOH:(0.1,1]	
del:LOH:(1,10]	
del:LOH:(10,40]	
del:LOH:(40,Inf]	
neut:LOH:(-0.01,0.1]	
neut:LOH:(0.1,1]	
neut:LOH:(1,10]	
neut:LOH:(10,40]	
neut:LOH:(40,Inf]	
dup:LOH:(-0.01,0.1]	
dup:LOH:(0.1,1]	
dup:LOH:(1,10]	
dup:LOH:(10,40]	
dup:LOH:(40,Inf]	
quad:LOH:(-0.01,0.1]	
quad:LOH:(0.1,1]	
quad:LOH:(1,10]	
quad:LOH:(10,40]	
quad:LOH:(40,Inf]	
amp:LOH:(-0.01,0.1]	
amp:LOH:(0.1,1]	
amp:LOH:(1,10]	
amp:LOH:(10,40]	
amp:LOH:(40,Inf]	
del:homdel:(-0.01,0.1]	
del:homdel:(0.1,1]	
del:homdel:(1,Inf]	
