<CHROM>	<START>	<END>	<TSB>
25	0	135615	0
25	135616	150795	1
25	150796	164629	0
25	164630	195651	2
25	195652	197359	0
25	197360	224304	2
25	224305	278366	0
25	278367	279108	1
25	279109	309480	0
25	309481	472775	2
25	472776	473334	3
25	473335	493051	1
25	493052	521474	0
25	521475	557634	2
25	557635	603541	0
25	603542	702823	2
25	702824	1429247	0
25	1429248	1524804	1
25	1524805	1568456	0
25	1568457	1669337	2
25	1669338	1975423	0
25	1975424	2035947	1
25	2035948	2037349	0
25	2037350	2063690	2
25	2063691	2083254	0
25	2083255	2092361	2
25	2092362	2103335	0
25	2103336	2264235	1
25	2264236	2535922	0
25	2535923	2547029	1
25	2547030	2981690	0
25	2981691	3132827	2
25	3132828	3167200	0
25	3167201	3209412	2
25	3209413	3660959	0
25	3660960	3698115	2
25	3698116	3698498	0
25	3698499	3706445	1
25	3706446	3708362	3
25	3708363	3757394	2
25	3757395	3768549	0
25	3768550	3769796	1
25	3769797	3779195	0
25	3779196	3844670	2
25	3844671	3860323	0
25	3860324	3871285	1
25	3871286	3963324	0
25	3963325	3963647	1
25	3963648	4189669	0
25	4189670	4198363	1
25	4198364	4260010	0
25	4260011	4294082	2
25	4294083	4345769	0
25	4345770	4397340	2
25	4397341	4441887	0
25	4441888	4778029	2
25	4778030	4856694	0
25	4856695	5055771	1
25	5055772	5056850	3
25	5056851	5537023	1
25	5537024	5602313	0
25	5602314	5604218	2
25	5604219	6467882	0
25	6467883	6486955	1
25	6486956	6939657	0
25	6939658	7117980	2
25	7117981	7156332	0
25	7156333	7199555	1
25	7199556	7410514	0
25	7410515	7526209	1
25	7526210	7622022	0
25	7622023	7687849	2
25	7687850	7727795	0
25	7727796	7731645	2
25	7731646	7734448	0
25	7734449	7797813	1
25	7797814	7799613	0
25	7799614	7832885	2
25	7832886	7879203	3
25	7879204	8092261	1
25	8092262	8307848	0
25	8307849	8368478	1
25	8368479	8817639	0
25	8817640	8938882	1
25	8938883	8972956	0
25	8972957	9000760	2
