<CHROM>	<START>	<END>	<TSB>
X	0	276320	0
X	276321	303354	2
X	303355	304748	0
X	304749	318817	1
X	318818	333961	0
X	333962	386708	1
X	386709	624342	0
X	624343	659409	2
X	659410	1187547	0
X	1187548	1212748	1
X	1212749	1268798	0
X	1268799	1310379	2
X	1310380	1336614	0
X	1336615	1382687	2
X	1382688	1386150	0
X	1386151	1392722	1
X	1392723	1403137	0
X	1403138	1453760	1
X	1453761	1462570	0
X	1462571	1537105	1
X	1537106	1591591	0
X	1591592	1602512	2
X	1602513	1614999	0
X	1615000	1643079	2
X	1643080	2219514	0
X	2219515	2500976	1
X	2500977	2691131	0
X	2691132	2741307	2
X	2741308	2752046	0
X	2752047	2816498	2
X	2816499	2828786	0
X	2828787	2882818	2
X	2882819	2903968	0
X	2903969	2929349	1
X	2929350	2934630	0
X	2934631	2968308	1
X	2968309	3006611	0
X	3006612	3033569	2
X	3033570	3041469	0
X	3041470	3112724	2
X	3112725	3308563	0
X	3308564	3346639	1
X	3346640	3604368	0
X	3604369	3713606	1
X	3713607	5890024	0
X	5890025	6228861	1
X	6228862	6533616	0
X	6533617	6535116	1
X	6535117	7048918	0
X	7048919	7148188	1
X	7148189	7219454	0
X	7219455	7354808	2
X	7354809	7842260	0
X	7842261	7844141	2
X	7844142	7898245	0
X	7898246	7927737	1
X	7927738	8169942	0
X	8169943	8171265	1
X	8171266	8464828	0
X	8464829	8466508	2
X	8466509	8528872	0
X	8528873	8732184	1
X	8732185	8790793	0
X	8790794	8801381	1
X	8801382	9024230	0
X	9024231	9034125	1
X	9034126	9463293	0
X	9463294	9725344	2
X	9725345	9741035	3
X	9741036	9786295	1
X	9786296	9786454	0
X	9786455	9949441	2
X	9949442	9967356	0
X	9967357	9968350	2
X	9968351	10156943	0
X	10156944	10237658	2
X	10237659	10445308	0
X	10445309	10833652	1
X	10833653	11111299	0
X	11111300	11123076	2
X	11123077	11137541	0
X	11137542	11293411	1
X	11293412	11300751	3
X	11300752	11665699	1
X	11665700	11758157	0
X	11758158	11775770	2
X	11775771	12138464	0
X	12138465	12724521	2
X	12724522	12791353	0
X	12791354	12824220	2
X	12824221	12867081	0
X	12867082	12890378	2
X	12890379	12906618	0
X	12906619	12923167	2
X	12923168	12975106	0
X	12975107	12977225	2
X	12977226	13035616	0
X	13035617	13044680	1
X	13044681	13318234	0
X	13318235	13320397	1
X	13320398	13569603	0
X	13569604	13633573	2
X	13633574	13655293	0
X	13655294	13665407	2
X	13665408	13689123	0
X	13689124	13710504	2
X	13710505	13712242	0
X	13712243	13734633	1
X	13734634	13734743	0
X	13734744	13769351	2
X	13769352	13771029	0
X	13771030	13938636	1
X	13938637	14008277	0
X	14008278	14029891	1
X	14029892	14529296	0
X	14529297	14731810	2
X	14731811	14843405	0
X	14843406	14873067	1
X	14873068	14873439	0
X	14873440	14922325	2
X	14922326	15235286	0
X	15235287	15270465	1
X	15270466	15281695	0
X	15281696	15315654	1
X	15315655	15319449	0
