<CHROM>	<START>	<END>	<TSB>
II	0	3408	0
II	3409	4661	2
II	4662	6662	0
II	6663	9483	2
II	9484	9484	3
II	9485	11844	1
II	11845	12983	0
II	12984	15999	2
II	16000	19536	0
II	19537	22167	2
II	22168	23326	0
II	23327	24456	2
II	24457	24664	0
II	24665	25380	2
II	25381	25444	3
II	25445	28421	1
II	28422	30059	0
II	30060	31582	1
II	31583	31766	0
II	31767	33608	2
II	33609	34202	0
II	34203	35200	2
II	35201	35260	3
II	35261	37311	1
II	37312	38556	0
II	38557	39535	1
II	39536	41469	0
II	41470	41980	1
II	41981	42179	0
II	42180	43852	1
II	43853	44915	3
II	44916	45038	1
II	45039	46214	3
II	46215	47477	2
II	47478	47578	0
II	47579	50301	2
II	50302	51070	0
II	51071	53011	2
II	53012	55302	3
II	55303	57574	2
II	57575	57668	0
II	57669	60038	2
II	60039	61300	0
II	61301	64338	2
II	64339	69652	0
II	69653	71277	2
II	71278	71670	0
II	71671	79264	1
II	79265	84432	0
II	84433	87821	2
II	87822	88219	0
II	88220	91517	1
II	91518	92167	0
II	92168	95275	1
II	95276	96125	0
II	96126	98025	1
II	98026	98402	0
II	98403	98959	2
II	98960	99724	0
II	99725	100478	2
II	100479	104532	0
II	104533	105831	2
II	105832	106187	0
II	106188	107519	2
II	107520	109163	0
II	109164	111427	2
II	111428	111619	0
II	111620	114427	2
II	114428	114452	3
II	114453	117214	1
II	117215	118689	3
II	118690	121220	1
II	121221	123268	0
II	123269	125002	1
II	125003	126936	0
II	126937	128704	1
II	128705	130981	0
II	130982	133596	1
II	133597	135464	0
II	135465	139997	2
II	139998	147239	0
II	147240	154873	2
II	154874	154934	3
II	154935	156041	1
II	156042	162372	0
II	162373	170626	2
II	170627	171384	0
II	171385	173777	1
II	173778	174399	0
II	174400	175640	1
II	175641	176995	0
II	176996	179091	1
II	179092	179259	0
II	179260	187369	2
II	187370	189065	3
II	189066	192076	2
II	192077	192529	0
II	192530	194556	1
II	194557	196983	0
II	196984	211939	2
II	211940	213167	0
II	213168	216619	1
II	216620	217047	0
II	217048	220665	1
II	220666	222698	0
II	222699	232737	1
II	232738	232850	0
II	232851	237819	1
II	237820	240720	0
II	240721	255180	1
II	255181	257817	0
II	257818	261061	2
II	261062	264351	0
II	264352	266075	2
II	266076	266299	0
II	266300	273964	1
II	273965	276210	0
II	276211	283692	1
II	283693	283885	0
II	283886	286273	1
II	286274	286623	0
II	286624	288848	2
II	288849	288937	0
II	288938	290389	2
II	290390	290580	0
II	290581	291859	2
II	291860	293862	0
II	293863	294704	1
II	294705	296289	0
II	296290	297008	1
II	297009	297397	0
II	297398	299733	2
II	299734	299982	0
II	299983	300765	2
II	300766	302403	0
II	302404	303657	2
II	303658	303922	0
II	303923	305528	1
II	305529	307543	0
II	307544	309477	2
II	309478	311002	3
II	311003	313967	2
II	313968	315888	0
II	315889	316905	1
II	316906	317646	0
II	317647	318663	1
II	318664	319783	0
II	319784	321440	2
II	321441	321443	3
II	321444	323096	1
II	323097	326260	0
II	326261	328222	2
II	328223	328562	0
II	328563	332511	1
II	332512	337337	0
II	337338	339246	2
II	339247	340537	0
II	340538	341801	2
II	341802	341980	0
II	341981	347889	1
II	347890	348264	0
II	348265	357022	1
II	357023	362493	0
II	362494	367553	1
II	367554	375248	0
II	375249	375833	2
II	375834	378649	0
II	378650	380359	2
II	380360	380571	0
II	380572	382255	2
II	382256	382307	0
II	382308	385356	1
II	385357	386132	0
II	386133	387947	2
II	387948	388831	0
II	388832	392730	2
II	392731	396642	0
II	396643	399419	1
II	399420	402578	0
II	402579	404233	2
II	404234	406139	0
II	406140	410959	1
II	410960	411220	0
II	411221	416618	2
II	416619	417347	0
II	417348	418880	1
II	418881	422317	0
II	422318	423140	1
II	423141	429217	0
II	429218	429834	2
II	429835	436865	0
II	436866	438746	2
II	438747	441400	0
II	441401	443672	2
II	443673	455144	0
II	455145	456111	2
II	456112	456136	3
II	456137	457884	1
II	457885	458764	0
II	458765	460323	1
II	460324	461665	0
II	461666	467363	1
II	467364	468372	0
II	468373	470473	1
II	470474	471245	0
II	471246	475938	1
II	475939	476220	0
II	476221	478061	2
II	478062	480720	0
II	480721	484384	1
II	484385	484864	0
II	484865	490401	2
II	490402	495422	0
II	495423	498657	2
II	498658	503227	0
II	503228	506012	1
II	506013	508243	0
II	508244	509324	1
II	509325	516012	0
II	516013	521603	2
II	521604	522592	0
II	522593	525981	2
II	525982	526572	0
II	526573	530372	2
II	530373	530847	0
II	530848	533182	1
II	533183	535576	0
II	535577	552029	2
II	552030	553084	0
II	553085	554787	2
II	554788	556483	0
II	556484	564213	2
II	564214	567664	0
II	567665	568874	1
II	568875	569234	0
II	569235	572108	1
II	572109	574870	0
II	574871	577730	1
II	577731	577837	0
II	577838	580591	1
II	580592	580600	0
II	580601	582012	2
II	582013	582109	0
II	582110	582860	1
II	582861	583222	0
II	583223	584388	1
II	584389	584796	0
II	584797	586239	2
II	586240	587908	0
II	587909	588924	2
II	588925	590576	0
II	590577	591208	1
II	591209	593519	0
II	593520	593858	2
II	593859	595205	0
II	595206	602118	1
II	602119	605582	0
II	605583	605993	2
II	605994	606348	0
II	606349	606733	2
II	606734	607850	0
II	607851	608308	1
II	608309	609069	0
II	609070	609330	2
II	609331	609767	0
II	609768	612459	1
II	612460	614765	0
II	614766	624541	1
II	624542	627504	0
II	627505	628660	2
II	628661	634282	0
II	634283	637301	2
II	637302	637344	0
II	637345	639486	1
II	639487	641008	0
II	641009	650365	1
II	650366	650962	0
II	650963	654060	2
II	654061	658667	0
II	658668	659865	2
II	659866	660089	0
II	660090	661794	1
II	661795	669504	0
II	669505	671123	1
II	671124	674414	0
II	674415	674933	2
II	674934	675601	0
II	675602	678345	2
II	678346	679023	0
II	679024	679712	2
II	679713	679775	0
II	679776	680710	1
II	680711	680830	0
II	680831	681514	2
II	681515	682624	0
II	682625	683318	2
II	683319	683765	0
II	683766	684114	2
II	684115	685232	0
II	685233	689012	2
II	689013	690047	0
II	690048	691082	2
II	691083	691879	0
II	691880	693454	2
II	693455	700480	0
II	700481	701123	1
II	701124	702105	0
II	702106	708606	2
II	708607	709379	0
II	709380	723697	2
II	723698	723786	0
II	723787	732511	2
II	732512	739596	0
II	739597	740850	1
II	740851	745416	0
II	745417	750162	1
II	750163	756193	0
II	756194	765315	1
II	765316	770551	0
II	770552	772115	2
II	772116	775331	0
II	775332	776778	2
II	776779	781882	0
II	781883	782999	1
II	783000	783093	0
II	783094	783630	1
II	783631	787310	0
II	787311	787992	2
II	787993	788376	0
II	788377	789173	2
II	789174	790756	0
II	790757	791634	1
II	791635	799998	0
II	799999	801452	2
II	801453	803307	0
II	803308	803715	2
II	803716	808755	0
II	808756	811885	2
II	811886	812139	0
II	812140	813706	1
II	813707	814450	0
II	814451	814864	1
II	814865	818576	0
II	818577	820681	1
II	820682	821406	0
II	821407	821612	1
II	821613	822447	0
II	822448	822858	1
II	822859	823827	0
II	823828	825243	2
II	825244	825846	0
II	825847	827498	2
II	827499	837717	0
II	837718	838468	1
II	838469	840565	0
II	840566	841111	2
II	841112	844272	0
II	844273	845083	2
II	845084	845286	0
II	845287	845684	1
II	845685	846862	0
II	846863	848601	1
II	848602	848932	0
II	848933	849208	2
II	849209	849676	0
II	849677	850652	1
II	850653	851654	0
II	851655	856208	1
II	856209	861862	0
II	861863	862326	2
II	862327	862925	0
II	862926	866899	1
II	866900	868812	0
II	868813	871697	2
II	871698	873174	0
II	873175	878999	2
II	879000	881574	0
II	881575	890708	2
II	890709	898044	0
II	898045	901162	1
II	901163	901930	0
II	901931	903474	2
II	903475	907533	0
II	907534	909629	1
II	909630	909882	0
II	909883	911590	2
II	911591	912001	0
II	912002	913028	2
II	913029	913678	0
II	913679	915217	2
II	915218	916049	0
II	916050	917462	2
II	917463	917622	0
II	917623	919415	2
II	919416	920857	0
II	920858	922700	1
II	922701	923819	0
II	923820	925190	2
II	925191	926494	0
II	926495	927429	1
II	927430	931169	0
II	931170	932325	2
II	932326	933016	0
II	933017	936987	2
II	936988	938847	0
II	938848	940681	2
