ENSG00000184731	ENST00000327669	2	-1	38814	46385	FAM110C	protein_coding
ENSG00000035115	ENST00000403712	2	-1	218136	264032	SH3YL1	protein_coding
ENSG00000035115	ENST00000415006	2	-1	218138	242800	SH3YL1	protein_coding
ENSG00000035115	ENST00000403657	2	-1	218151	261323	SH3YL1	protein_coding
ENSG00000035115	ENST00000405430	2	-1	218153	264179	SH3YL1	protein_coding
ENSG00000035115	ENST00000356150	2	-1	218158	264065	SH3YL1	protein_coding
ENSG00000035115	ENST00000403658	2	-1	218666	264810	SH3YL1	protein_coding
ENSG00000035115	ENST00000451005	2	-1	218797	253041	SH3YL1	protein_coding
ENSG00000035115	ENST00000431160	2	-1	229894	253113	SH3YL1	protein_coding
ENSG00000035115	ENST00000481932	2	-1	230379	234231	SH3YL1	protein_coding
ENSG00000035115	ENST00000454318	2	-1	233169	264824	SH3YL1	protein_coding
ENSG00000035115	ENST00000402632	2	-1	239561	264810	SH3YL1	protein_coding
ENSG00000035115	ENST00000415368	2	-1	249805	264810	SH3YL1	protein_coding
ENSG00000143727	ENST00000272067	2	1	264869	278283	ACP1	protein_coding
ENSG00000143727	ENST00000272065	2	1	264872	278283	ACP1	protein_coding
ENSG00000143727	ENST00000407983	2	1	264900	272557	ACP1	protein_coding
ENSG00000143727	ENST00000439645	2	1	264916	272630	ACP1	protein_coding
ENSG00000143727	ENST00000405233	2	1	264926	273155	ACP1	protein_coding
ENSG00000189292	ENST00000403610	2	-1	279558	288296	FAM150B	protein_coding
ENSG00000189292	ENST00000401503	2	-1	279766	287323	FAM150B	protein_coding
ENSG00000189292	ENST00000405290	2	-1	279929	287299	FAM150B	protein_coding
ENSG00000189292	ENST00000401489	2	-1	279929	287687	FAM150B	protein_coding
ENSG00000189292	ENST00000344414	2	-1	279951	286919	FAM150B	protein_coding
ENSG00000189292	ENST00000452023	2	-1	283111	288851	FAM150B	protein_coding
ENSG00000151353	ENST00000281017	2	-1	667335	677439	TMEM18	protein_coding
ENSG00000151353	ENST00000355654	2	-1	669189	675775	TMEM18	protein_coding
ENSG00000151353	ENST00000405941	2	-1	669423	676704	TMEM18	protein_coding
ENSG00000172554	ENST00000308624	2	1	946554	1371385	SNTG2	protein_coding
ENSG00000172554	ENST00000407292	2	1	946625	1371385	SNTG2	protein_coding
ENSG00000115705	ENST00000539820	2	1	1417233	1443171	TPO	protein_coding
ENSG00000115705	ENST00000382269	2	1	1417233	1443174	TPO	protein_coding
ENSG00000115705	ENST00000337415	2	1	1417233	1546498	TPO	protein_coding
ENSG00000115705	ENST00000345913	2	1	1417233	1546498	TPO	protein_coding
ENSG00000115705	ENST00000346956	2	1	1417233	1546498	TPO	protein_coding
ENSG00000115705	ENST00000349624	2	1	1417233	1546498	TPO	protein_coding
ENSG00000115705	ENST00000329066	2	1	1417236	1546499	TPO	protein_coding
ENSG00000115705	ENST00000382201	2	1	1417252	1546499	TPO	protein_coding
ENSG00000115705	ENST00000423320	2	1	1418154	1457498	TPO	protein_coding
ENSG00000115705	ENST00000382198	2	1	1418181	1546246	TPO	protein_coding
ENSG00000115705	ENST00000422464	2	1	1437244	1547483	TPO	protein_coding
ENSG00000115705	ENST00000446278	2	1	1488435	1546432	TPO	protein_coding
ENSG00000115705	ENST00000469607	2	1	1488437	1546421	TPO	protein_coding
ENSG00000115705	ENST00000425083	2	1	1507549	1546499	TPO	protein_coding
ENSG00000130508	ENST00000252804	2	-1	1635659	1748278	PXDN	protein_coding
ENSG00000130508	ENST00000433670	2	-1	1656848	1748214	PXDN	protein_coding
ENSG00000130508	ENST00000447941	2	-1	1680729	1696342	PXDN	protein_coding
ENSG00000130508	ENST00000425171	2	-1	1680802	1748274	PXDN	protein_coding
ENSG00000186487	ENST00000399161	2	-1	1792885	2334966	MYT1L	protein_coding
ENSG00000186487	ENST00000407844	2	-1	1792908	1846658	MYT1L	protein_coding
ENSG00000186487	ENST00000399157	2	-1	1794947	1844551	MYT1L	protein_coding
ENSG00000186487	ENST00000428368	2	-1	1795014	2334888	MYT1L	protein_coding
ENSG00000032389	ENST00000398659	2	-1	3192696	3381601	TSSC1	protein_coding
ENSG00000032389	ENST00000382125	2	-1	3192696	3381653	TSSC1	protein_coding
ENSG00000032389	ENST00000441271	2	-1	3196185	3381571	TSSC1	protein_coding
ENSG00000032389	ENST00000443925	2	-1	3211575	3381561	TSSC1	protein_coding
ENSG00000032389	ENST00000444776	2	-1	3261122	3381588	TSSC1	protein_coding
ENSG00000171853	ENST00000382110	2	1	3383446	3483338	TRAPPC12	protein_coding
ENSG00000171853	ENST00000324266	2	1	3383457	3483337	TRAPPC12	protein_coding
ENSG00000171853	ENST00000441983	2	1	3393465	3464074	TRAPPC12	protein_coding
ENSG00000171853	ENST00000415624	2	1	3447639	3483342	TRAPPC12	protein_coding
ENSG00000171853	ENST00000416918	2	1	3469444	3483338	TRAPPC12	protein_coding
ENSG00000171853	ENST00000452495	2	1	3481486	3488865	TRAPPC12	protein_coding
ENSG00000182551	ENST00000327435	2	-1	3501132	3523507	ADI1	protein_coding
ENSG00000182551	ENST00000382093	2	-1	3502224	3521518	ADI1	protein_coding
ENSG00000182551	ENST00000415131	2	-1	3502432	3504587	ADI1	protein_coding
ENSG00000255767	ENST00000438485	2	-1	3579574	3595547	RP13-512J5.1	protein_coding
ENSG00000171865	ENST00000315212	2	-1	3592705	3606206	RNASEH1	protein_coding
