ENSMUSG00000005534	ENSMUST00000207100	8	-1	3224795	3242717	Insr	protein_coding
ENSMUSG00000004568	ENSMUST00000098966	8	1	3403437	3440299	Arhgef18	protein_coding
ENSMUSG00000004568	ENSMUST00000239102	8	1	3403437	3506601	Arhgef18	protein_coding
ENSMUSG00000004568	ENSMUST00000238813	8	1	3410852	3440299	Arhgef18	protein_coding
ENSMUSG00000004568	ENSMUST00000004684	8	1	3443038	3506601	Arhgef18	protein_coding
ENSMUSG00000004568	ENSMUST00000145394	8	1	3443073	3479639	Arhgef18	protein_coding
ENSMUSG00000004568	ENSMUST00000238786	8	1	3476700	3504540	Arhgef18	protein_coding
ENSMUSG00000069633	ENSMUST00000004686	8	-1	3507105	3517680	Pex11g	protein_coding
ENSMUSG00000069633	ENSMUST00000111081	8	-1	3507108	3517645	Pex11g	protein_coding
ENSMUSG00000040340	ENSMUST00000047265	8	1	3520862	3537178	Tex45	protein_coding
ENSMUSG00000040340	ENSMUST00000161680	8	1	3525849	3537181	Tex45	protein_coding
ENSMUSG00000047264	ENSMUST00000061508	8	1	3543138	3547208	Zfp358	protein_coding
ENSMUSG00000047264	ENSMUST00000207318	8	1	3543170	3545840	Zfp358	protein_coding
ENSMUSG00000047264	ENSMUST00000208423	8	1	3545009	3547208	Zfp358	protein_coding
ENSMUSG00000004567	ENSMUST00000004683	8	1	3550457	3565232	Mcoln1	protein_coding
ENSMUSG00000004567	ENSMUST00000160338	8	1	3550504	3556941	Mcoln1	protein_coding
ENSMUSG00000004567	ENSMUST00000208306	8	1	3550534	3562784	Mcoln1	protein_coding
ENSMUSG00000004567	ENSMUST00000208359	8	1	3561790	3565229	Mcoln1	protein_coding
ENSMUSG00000004567	ENSMUST00000208943	8	1	3561801	3565232	Mcoln1	protein_coding
ENSMUSG00000004567	ENSMUST00000161842	8	1	3562682	3565224	Mcoln1	protein_coding
ENSMUSG00000004565	ENSMUST00000111070	8	1	3565384	3594266	Pnpla6	protein_coding
ENSMUSG00000004565	ENSMUST00000004681	8	1	3565384	3594267	Pnpla6	protein_coding
ENSMUSG00000004565	ENSMUST00000208310	8	1	3565391	3567153	Pnpla6	protein_coding
ENSMUSG00000004565	ENSMUST00000207146	8	1	3565411	3567620	Pnpla6	protein_coding
ENSMUSG00000004565	ENSMUST00000208002	8	1	3565425	3594267	Pnpla6	protein_coding
ENSMUSG00000004565	ENSMUST00000208762	8	1	3565637	3571364	Pnpla6	protein_coding
ENSMUSG00000004565	ENSMUST00000207424	8	1	3566661	3572106	Pnpla6	protein_coding
ENSMUSG00000004565	ENSMUST00000207941	8	1	3566874	3594260	Pnpla6	protein_coding
ENSMUSG00000004565	ENSMUST00000207421	8	1	3586555	3591394	Pnpla6	protein_coding
ENSMUSG00000004565	ENSMUST00000207336	8	1	3588036	3593136	Pnpla6	protein_coding
ENSMUSG00000065952	ENSMUST00000136592	8	1	3617998	3634776	Rps23rg1	protein_coding
ENSMUSG00000065952	ENSMUST00000151633	8	1	3629730	3634939	Rps23rg1	protein_coding
ENSMUSG00000065952	ENSMUST00000086479	8	1	3630469	3634939	Rps23rg1	protein_coding
ENSMUSG00000044433	ENSMUST00000057028	8	1	3637293	3659075	Camsap3	protein_coding
ENSMUSG00000044433	ENSMUST00000171962	8	1	3637794	3659048	Camsap3	protein_coding
ENSMUSG00000044433	ENSMUST00000207712	8	1	3637812	3658928	Camsap3	protein_coding
ENSMUSG00000044433	ENSMUST00000207970	8	1	3637812	3658928	Camsap3	protein_coding
ENSMUSG00000044433	ENSMUST00000207533	8	1	3637812	3658928	Camsap3	protein_coding
ENSMUSG00000044433	ENSMUST00000208240	8	1	3637812	3658928	Camsap3	protein_coding
ENSMUSG00000044433	ENSMUST00000207432	8	1	3637812	3658928	Camsap3	protein_coding
ENSMUSG00000044433	ENSMUST00000207077	8	1	3637812	3658928	Camsap3	protein_coding
