<CHROM>	<START>	<END>	<TSB>
VIII	0	809	0
VIII	810	1291	2
VIII	1292	3724	0
VIII	3725	4539	1
VIII	4540	5661	0
VIII	5662	5795	1
VIII	5796	6399	0
VIII	6400	7544	2
VIII	7545	8349	0
VIII	8350	9979	1
VIII	9980	10211	3
VIII	10212	10305	2
VIII	10306	11921	0
VIII	11922	12283	1
VIII	12284	12500	0
VIII	12501	12847	2
VIII	12848	13563	0
VIII	13564	14270	2
VIII	14271	14899	0
VIII	14900	15411	2
VIII	15412	15665	0
VIII	15666	16117	2
VIII	16118	17390	0
VIII	17391	17839	2
VIII	17840	19086	0
VIII	19087	20969	1
VIII	20970	21781	0
VIII	21782	23538	2
VIII	23539	23615	0
VIII	23616	25507	1
VIII	25508	25776	0
VIII	25777	26177	1
VIII	26178	26239	0
VIII	26240	27879	2
VIII	27880	27976	0
VIII	27977	32754	1
VIII	32755	33174	0
VIII	33175	33191	2
VIII	33192	33635	3
VIII	33636	34075	1
VIII	34076	35253	0
VIII	35254	36023	1
VIII	36024	36377	0
VIII	36378	38506	1
VIII	38507	38813	0
VIII	38814	39072	1
VIII	39073	39484	3
VIII	39485	39533	2
VIII	39534	40082	0
VIII	40083	45688	2
VIII	45689	45927	0
VIII	45928	47966	1
VIII	47967	48761	0
VIII	48762	50578	2
VIII	50579	51109	0
VIII	51110	52986	2
VIII	52987	53217	0
VIII	53218	54164	1
VIII	54165	54849	0
VIII	54850	55847	2
VIII	55848	56647	0
VIII	56648	58788	2
VIII	58789	59121	0
VIII	59122	62561	1
VIII	62562	62753	0
VIII	62754	62824	2
VIII	62825	62959	0
VIII	62960	64155	1
VIII	64156	64460	0
VIII	64461	65857	1
VIII	65858	66240	0
VIII	66241	67454	1
VIII	67455	67709	0
VIII	67710	67729	2
VIII	67730	68302	3
VIII	68303	69546	1
VIII	69547	69706	0
VIII	69707	70068	2
VIII	70069	70274	0
VIII	70275	71872	2
VIII	71873	72035	0
VIII	72036	74242	1
VIII	74243	74697	0
VIII	74698	74780	2
VIII	74781	75410	0
VIII	75411	75775	2
VIII	75776	76095	0
VIII	76096	77312	1
VIII	77313	77428	0
VIII	77429	78351	1
VIII	78352	78934	0
VIII	78935	80415	2
VIII	80416	80652	0
VIII	80653	81614	1
VIII	81615	81962	0
VIII	81963	83719	1
VIII	83720	84066	0
VIII	84067	85058	1
VIII	85059	85296	0
VIII	85297	85369	1
VIII	85370	85907	0
VIII	85908	91316	2
VIII	91317	92625	0
VIII	92626	94508	1
VIII	94509	95116	0
VIII	95117	97730	1
VIII	97731	97935	3
VIII	97936	98083	2
VIII	98084	98341	0
VIII	98342	98793	1
VIII	98794	98826	0
VIII	98827	99217	1
VIII	99218	99218	3
VIII	99219	100401	2
VIII	100402	100646	0
VIII	100647	101881	1
VIII	101882	102585	0
VIII	102586	102610	1
VIII	102611	103073	3
VIII	103074	103968	2
VIII	103969	104275	0
VIII	104276	105089	2
VIII	105090	106053	0
VIII	106054	107366	2
VIII	107367	107824	0
VIII	107825	108120	2
VIII	108121	108810	0
VIII	108811	109883	2
VIII	109884	110026	0
VIII	110027	111315	1
VIII	111316	111752	0
VIII	111753	113092	1
VIII	113093	113497	0
VIII	113498	114915	1
VIII	114916	115618	0
VIII	115619	115899	1
VIII	115900	116105	0
VIII	116106	116177	1
VIII	116178	117812	0
VIII	117813	119437	2
VIII	119438	120089	0
VIII	120090	121681	1
VIII	121682	122548	0
VIII	122549	122763	1
VIII	122764	122887	0
VIII	122888	123588	1
VIII	123589	124107	0
VIII	124108	125678	1
VIII	125679	126519	0
VIII	126520	127490	2
VIII	127491	127778	0
VIII	127779	129118	2
VIII	129119	129479	0
VIII	129480	130446	2
VIII	130447	130728	0
VIII	130729	131444	1
VIII	131445	132045	0
VIII	132046	132920	2
VIII	132921	133024	0
VIII	133025	133105	1
VIII	133106	134319	0
VIII	134320	134390	2
VIII	134391	134552	0
VIII	134553	136531	2
VIII	136532	136879	0
VIII	136880	138453	1
VIII	138454	138692	0
VIII	138693	139849	2
VIII	139850	140009	0
VIII	140010	141400	1
VIII	141401	141892	0
VIII	141893	143556	1
VIII	143557	143994	0
VIII	143995	146060	2
VIII	146061	146240	0
VIII	146241	146312	1
VIII	146313	147869	0
VIII	147870	148667	1
VIII	148668	149223	0
VIII	149224	149573	2
VIII	149574	149678	3
VIII	149679	150343	1
VIII	150344	151215	0
VIII	151216	151304	1
VIII	151305	151664	0
VIII	151665	157450	2
VIII	157451	157742	0
VIII	157743	159190	1
VIII	159191	159436	0
VIII	159437	160509	2
VIII	160510	160842	0
VIII	160843	161483	2
VIII	161484	161728	0
VIII	161729	164709	1
VIII	164710	164976	0
VIII	164977	167350	1
VIII	167351	167432	3
VIII	167433	167670	2
VIII	167671	167675	0
VIII	167676	168559	1
VIII	168560	168888	0
VIII	168889	170342	1
VIII	170343	170797	0
VIII	170798	172968	1
VIII	172969	173342	0
VIII	173343	175087	2
VIII	175088	175193	0
VIII	175194	175273	2
VIII	175274	175372	3
VIII	175373	175392	1
VIII	175393	175546	0
VIII	175547	176817	2
VIII	176818	176963	0
VIII	176964	177997	1
VIII	177998	178217	0
VIII	178218	180109	2
VIII	180110	180343	0
VIII	180344	181758	2
VIII	181759	181975	0
VIII	181976	183702	2
VIII	183703	184064	0
VIII	184065	184756	2
VIII	184757	184873	0
VIII	184874	186807	1
VIII	186808	187171	0
VIII	187172	187677	1
VIII	187678	187922	0
VIII	187923	189022	2
VIII	189023	189129	0
VIII	189130	189862	1
VIII	189863	190541	0
VIII	190542	192616	2
VIII	192617	192803	0
VIII	192804	193543	1
VIII	193544	194066	0
VIII	194067	194806	1
VIII	194807	195549	0
VIII	195550	197231	2
VIII	197232	197396	0
VIII	197397	198283	1
VIII	198284	198738	0
VIII	198739	201308	1
VIII	201309	204605	0
VIII	204606	206149	2
VIII	206150	206460	0
VIII	206461	207191	2
VIII	207192	207232	0
VIII	207233	207528	1
