ENSMUSG00000091028	ENSMUST00000151376	9	1	3000922	3002330	Gm10722	protein_coding
ENSMUSG00000096385	ENSMUST00000177722	9	1	3003346	3005194	Gm11168	protein_coding
ENSMUSG00000096385	ENSMUST00000178077	9	1	3003580	3005194	Gm11168	protein_coding
ENSMUSG00000096385	ENSMUST00000178348	9	1	3004457	3005194	Gm11168	protein_coding
ENSMUSG00000096385	ENSMUST00000179881	9	1	3005159	3006948	Gm11168	protein_coding
ENSMUSG00000096519	ENSMUST00000143083	9	1	3013140	3014344	Gm10721	protein_coding
ENSMUSG00000074564	ENSMUST00000099050	9	1	3015654	3017210	Gm10720	protein_coding
ENSMUSG00000095547	ENSMUST00000099049	9	1	3017408	3019022	Gm10719	protein_coding
ENSMUSG00000095547	ENSMUST00000179272	9	1	3018753	3020891	Gm10719	protein_coding
ENSMUSG00000095547	ENSMUST00000099047	9	1	3020155	3021593	Gm10719	protein_coding
ENSMUSG00000095186	ENSMUST00000099046	9	1	3023547	3025218	Gm10718	protein_coding
ENSMUSG00000095891	ENSMUST00000075573	9	1	3025417	3026387	Gm10717	protein_coding
ENSMUSG00000095891	ENSMUST00000177601	9	1	3026151	3028494	Gm10717	protein_coding
ENSMUSG00000095891	ENSMUST00000179982	9	1	3027523	3028728	Gm10717	protein_coding
ENSMUSG00000095891	ENSMUST00000177875	9	1	3027523	3029431	Gm10717	protein_coding
ENSMUSG00000095891	ENSMUST00000099051	9	1	3029195	3031071	Gm10717	protein_coding
ENSMUSG00000095891	ENSMUST00000099042	9	1	3030337	3031071	Gm10717	protein_coding
ENSMUSG00000095891	ENSMUST00000179264	9	1	3030568	3032588	Gm10717	protein_coding
ENSMUSG00000095891	ENSMUST00000099056	9	1	3032085	3032822	Gm10717	protein_coding
ENSMUSG00000095891	ENSMUST00000179839	9	1	3032085	3033289	Gm10717	protein_coding
ENSMUSG00000096736	ENSMUST00000178641	9	1	3034599	3035805	Gm17535	protein_coding
ENSMUSG00000096201	ENSMUST00000155807	9	1	3036877	3037848	Gm10715	protein_coding
ENSMUSG00000096201	ENSMUST00000177969	9	1	3037111	3038316	Gm10715	protein_coding
ENSMUSG00000025899	ENSMUST00000212294	9	1	3335140	3386175	Alkbh8	protein_coding
