<CHROM>	<START>	<END>	<TSB>
6	0	265206	0
6	265207	266327	2
6	266328	281683	0
6	281684	356602	1
6	356603	378098	0
6	378099	452163	1
6	452164	488967	0
6	488968	506858	1
6	506859	622717	0
6	622718	623439	2
6	623440	886942	0
6	886943	887447	1
6	887448	1140613	0
6	1140614	1142916	2
6	1142917	1252416	0
6	1252417	1252488	1
6	1252489	1392058	0
6	1392059	1392954	2
6	1392955	1714433	0
6	1714434	1715950	1
6	1715951	1989435	0
6	1989436	2000622	1
6	2000623	2001068	3
6	2001069	2002250	1
6	2002251	3122257	0
6	3122258	3164062	2
6	3164063	3177895	0
6	3177896	3889472	2
6	3889473	3898515	3
6	3898516	4322708	2
6	4322709	4371111	0
6	4371112	4371336	2
6	4371337	4372081	0
6	4372082	4372601	2
6	4372602	4682414	0
6	4682415	4750835	2
6	4750836	5198823	0
6	5198824	5406783	2
6	5406784	5661869	0
6	5661870	5724519	2
6	5724520	5752821	0
6	5752822	5836470	1
6	5836471	5843183	0
6	5843184	5892447	1
6	5892448	5901516	0
6	5901517	5970682	1
6	5970683	6018877	0
6	6018878	6064276	1
6	6064277	6362986	0
6	6362987	6363357	2
6	6363358	6486013	0
6	6486014	6562630	2
6	6562631	6562660	3
6	6562661	6579954	1
6	6579955	6739989	0
6	6739990	6790659	2
6	6790660	6813793	0
6	6813794	6872936	1
6	6872937	6878235	0
6	6878236	6896125	1
6	6896126	7082414	0
6	7082415	7082480	1
6	7082481	7084310	0
6	7084311	7084443	2
6	7084444	7091565	0
6	7091566	7104285	2
6	7104286	7108867	0
6	7108868	7151388	2
6	7151389	7159059	0
6	7159060	7261890	1
6	7261891	7274467	0
6	7274468	7285839	2
6	7285840	7481093	0
6	7481094	7514832	1
6	7514833	7539154	0
6	7539155	7539158	2
6	7539159	7541157	3
6	7541158	7580701	0
6	7580702	7589397	1
6	7589398	7589568	0
6	7589569	7639673	2
6	7639674	7667562	0
6	7667563	7672624	2
6	7672625	7696510	0
6	7696511	7701462	1
6	7701463	7790645	0
6	7790646	7871226	1
6	7871227	7965046	0
6	7965047	8116859	1
6	8116860	8117324	3
6	8117325	8451717	1
6	8451718	8475540	0
6	8475541	8664542	2
6	8664543	8967155	0
6	8967156	8981191	2
6	8981192	9036432	0
6	9036433	9053299	1
6	9053300	9064423	0
