<CHROM>	<START>	<END>	<TSB>
X	0	583923	0
X	583924	588561	2
X	588562	709304	0
X	709305	710351	2
X	710352	908042	0
X	908043	911065	2
X	911066	912768	0
X	912769	915951	1
X	915952	984796	0
X	984797	999832	2
X	999833	1031033	0
X	1031034	1076848	1
X	1076849	1275610	0
X	1275611	1287510	2
X	1287511	1297097	0
X	1297098	1304820	2
X	1304821	1311119	0
X	1311120	1316680	2
X	1316681	1321313	0
X	1321314	1345682	2
X	1345683	1346179	3
X	1346180	1364784	2
X	1364785	1369382	3
X	1369383	1379192	2
X	1379193	1379196	3
X	1379197	1390871	1
X	1390872	1543242	0
X	1543243	1543847	2
X	1543848	1600788	0
X	1600789	1601393	2
X	1601394	1687809	0
X	1687810	1704031	1
X	1704032	1707287	0
X	1707288	1718635	1
X	1718636	1723172	0
X	1723173	1741699	1
X	1741700	1754859	0
X	1754860	1786976	1
X	1786977	1787264	0
X	1787265	1789522	2
X	1789523	1833490	0
X	1833491	1848902	1
X	1848903	1854749	0
X	1854750	1856256	1
X	1856257	1885925	0
X	1885926	1952109	1
X	1952110	2064484	0
X	2064485	2116654	1
X	2116655	2435303	0
X	2435304	2614768	2
X	2614769	2623022	0
X	2623023	2657153	1
X	2657154	4285855	0
X	4285856	4287158	2
X	4287159	4691170	0
X	4691171	4739888	2
X	4739889	4806845	0
X	4806846	4945942	1
X	4945943	4956697	0
X	4956698	4957527	1
X	4957528	5549417	0
X	5549418	5566125	2
X	5566126	5825709	0
X	5825710	5883621	2
X	5883622	5887262	3
X	5887263	6026396	2
X	6026397	6273731	0
X	6273732	6281787	2
X	6281788	6430592	0
X	6430593	6533532	2
X	6533533	6554696	0
X	6554697	6620720	1
X	6620721	6791134	0
X	6791135	6815581	2
X	6815582	9436705	0
X	9436706	9467882	2
X	9467883	9815650	0
X	9815651	9998413	2
X	9998414	9999399	3
X	9999400	10023487	2
X	10023488	10031165	3
X	10031166	10156153	2
X	10156154	10197545	0
X	10197546	10218581	1
X	10218582	10400364	0
X	10400365	10413993	1
X	10413994	10430845	0
X	10430846	10431398	2
X	10431399	10510031	0
X	10510032	10630295	1
X	10630296	10771110	0
X	10771111	10772631	1
X	10772632	10811476	0
X	10811477	10818518	2
X	10818519	10964065	0
X	10964066	11082563	2
X	11082564	11084315	0
X	11084316	11105586	2
X	11105587	11136937	0
X	11136938	11164913	1
X	11164914	11648987	0
X	11648988	11691097	2
X	11691098	11748592	0
X	11748593	11750321	1
X	11750322	13114567	0
X	13114568	13116741	1
X	13116742	13117237	0
X	13117238	13117338	2
X	13117339	13261556	0
X	13261557	13279097	1
X	13279098	13441556	0
X	13441557	13443468	2
X	13443469	13524605	0
X	13524606	13601067	1
X	13601068	13989399	0
X	13989400	13989953	2
X	13989954	13992062	0
X	13992063	13992427	2
X	13992428	14019959	0
X	14019960	14109566	2
X	14109567	14150036	0
X	14150037	14220660	1
X	14220661	14271015	0
X	14271016	14331484	1
X	14331485	14358222	0
X	14358223	14490338	2
X	14490339	14498117	0
X	14498118	14534471	2
X	14534472	14578262	0
X	14578263	14612545	2
X	14612546	14633340	0
X	14633341	14642422	1
X	14642423	14733143	0
X	14733144	14733694	1
X	14733695	14754394	0
X	14754395	14756045	1
X	14756046	14782956	0
X	14782957	14783790	1
X	14783791	14889606	0
X	14889607	14890604	1
X	14890605	14890826	0
X	14890827	14891122	2
X	14891123	14905335	0
X	14905336	14910776	1
X	14910777	14963919	0
X	14963920	14972673	1
X	14972674	14994014	0
X	14994015	15002072	2
X	15002073	15035567	0
X	15035568	15048438	2
X	15048439	15049460	0
X	15049461	15055779	2
X	15055780	15064592	0
X	15064593	15088587	2
X	15088588	15098902	0
X	15098903	15102338	2
X	15102339	15113876	0
X	15113877	15122144	2
X	15122145	15155228	0
X	15155229	15164103	2
X	15164104	15171497	0
X	15171498	15185189	2
X	15185190	15225643	0
X	15225644	15240327	2
X	15240328	15273931	0
X	15273932	15281757	2
X	15281758	15295471	0
X	15295472	15316669	2
X	15316670	15321711	0
X	15321712	15322394	2
X	15322395	15324398	0
X	15324399	15327682	1
X	15327683	15340837	0
X	15340838	15347589	1
X	15347590	15348136	0
X	15348137	15425076	2
X	15425077	15428516	3
X	15428517	15441649	2
X	15441650	15448401	3
X	15448402	15453128	2
X	15453129	15453184	0
X	15453185	15461711	1
X	15461712	15462014	0
X	15462015	15467873	1
X	15467874	15471209	0
X	15471210	15504163	1
X	15504164	15506722	0
X	15506723	15520710	1
X	15520711	15523927	0
X	15523928	15553718	1
X	15553719	15575932	0
X	15575933	15587417	1
X	15587418	15598650	0
X	15598651	15617663	2
X	15617664	15618989	0
X	15618990	15620839	1
X	15620840	15621207	0
X	15621208	15627233	1
X	15627234	15636561	0
X	15636562	15651330	1
X	15651331	15669189	0
X	15669190	15676048	2
X	15676049	15679252	0
X	15679253	15682650	2
X	15682651	15682651	0
X	15682652	15693471	1
X	15693472	15695564	0
X	15695565	15707434	1
X	15707435	15712711	0
X	15712712	15741101	1
X	15741102	15742976	0
X	15742977	15753173	2
X	15753174	15754923	3
X	15754924	15768520	1
X	15768521	15988602	0
X	15988603	15990482	2
X	15990483	16050778	0
X	16050779	16196787	2
X	16196788	16296733	0
X	16296734	16306076	1
X	16306077	16337100	0
X	16337101	16402200	2
X	16402201	16442897	0
X	16442898	16537886	1
X	16537887	16719801	0
X	16719802	16929905	1
X	16929906	16946205	0
X	16946206	16946813	2
X	16946814	17016776	0
X	17016777	17023416	2
X	17023417	17171603	0
X	17171604	17215098	2
X	17215099	17250685	0
X	17250686	17252875	1
X	17252876	17484837	0
X	17484838	17486719	1
X	17486720	17540456	0
X	17540457	17540950	2
X	17540951	17706403	0
X	17706404	17708386	1
X	17708387	17823552	0
X	17823553	17824844	2
X	17824845	17962907	0
X	17962908	17964886	1
X	17964887	18080941	0
X	18080942	18096936	1
X	18096937	18163356	0
X	18163357	18164063	2
X	18164064	18340686	0
X	18340687	18341465	1
X	18341466	18489595	0
X	18489596	18490473	2
X	18490474	18723339	0
X	18723340	18726730	1
X	18726731	18835825	0
X	18835826	18890088	1
X	18890089	18998530	0
X	18998531	18998883	2
X	18998884	19101520	0
X	19101521	19134867	1
X	19134868	19144499	0
X	19144500	19145407	1
X	19145408	19243757	0
X	19243758	19245005	2
X	19245006	19270179	0
X	19270180	19273137	2
X	19273138	19336370	0
X	19336371	19369744	1
X	19369745	19384164	0
X	19384165	19386539	1
X	19386540	19854834	0
X	19854835	19855907	2
X	19855908	20034880	0
X	20034881	20070576	1
X	20070577	20144430	0
X	20144431	20216585	1
X	20216586	20225953	3
X	20225954	20232637	1
X	20232638	20316891	0
X	20316892	20359461	2
X	20359462	20359943	3
X	20359944	20454355	2
X	20454356	20484515	0
X	20484516	20806600	2
X	20806601	20807214	3
X	20807215	20846085	2
X	20846086	20846255	3
X	20846256	21015834	2
X	21015835	21063560	0
X	21063561	21168748	2
X	21168749	21499932	0
X	21499933	21598874	2
X	21598875	21696770	0
X	21696771	21698009	2
X	21698010	21699239	3
X	21699240	21710676	1
X	21710677	21711017	0
X	21711018	21755523	2
X	21755524	21944611	0
X	21944612	21945303	1
X	21945304	22247086	0
X	22247087	22293005	2
X	22293006	22302483	0
X	22302484	22348625	2
X	22348626	22408116	0
X	22408117	22413739	1
X	22413740	22418521	0
X	22418522	22440185	1
X	22440186	22674757	0
X	22674758	22737521	2
X	22737522	22788658	0
X	22788659	22791758	2
X	22791759	23081123	0
X	23081124	23090505	2
X	23090506	23092157	0
X	23092158	23144322	1
X	23144323	23146083	0
X	23146084	23166673	2
X	23166674	23167694	0
X	23167695	23187339	1
X	23187340	23243468	0
X	23243469	23246717	1
X	23246718	23414352	0
X	23414353	23414987	2
X	23414988	23416393	0
X	23416394	23417120	2
X	23417121	23464861	0
X	23464862	23469039	1
X	23469040	23478869	0
X	23478870	23649464	1
X	23649465	23668361	0
X	23668362	23693160	2
X	23693161	24059514	0
X	24059515	24061855	2
X	24061856	24117024	0
X	24117025	24120985	1
X	24120986	24362074	0
X	24362075	24364320	1
X	24364321	24629304	0
X	24629305	24629996	2
X	24629997	24891154	0
X	24891155	24988739	2
X	24988740	25016399	0
X	25016400	25080408	2
X	25080409	25458769	0
X	25458770	25628270	1
X	25628271	25737290	0
X	25737291	25738153	2
X	25738154	26294064	0
X	26294065	26303459	2
X	26303460	26315876	0
X	26315877	26376465	1
X	26376466	26439195	0
X	26439196	26450493	2
X	26450494	27015882	0
X	27015883	27033553	2
X	27033554	28072824	0
X	28072825	28204258	2
X	28204259	28435505	0
X	28435506	28472878	2
X	28472879	28486867	0
X	28486868	28512955	2
X	28512956	28539156	0
X	28539157	28562801	2
X	28562802	28593403	0
X	28593404	28595393	2
X	28595394	29157468	0
X	29157469	29176537	2
X	29176538	29430829	0
X	29430830	29488737	2
X	29488738	29504347	0
X	29504348	29505423	2
X	29505424	29520261	0
X	29520262	29522418	2
X	29522419	29525254	0
X	29525255	29547292	2
X	29547293	29550871	0
X	29550872	29556608	1
X	29556609	29562163	0
X	29562164	29602923	2
X	29602924	29607073	0
X	29607074	29648401	1
X	29648402	29806604	0
X	29806605	29825437	1
X	29825438	30612901	0
X	30612902	30831481	1
X	30831482	31012505	0
X	31012506	31013028	1
X	31013029	31054392	0
X	31054393	31055342	2
X	31055343	31124016	0
X	31124017	31140709	1
X	31140710	31140958	0
X	31140959	31182814	2
X	31182815	31700631	0
X	31700632	31780423	1
X	31780424	31786192	0
X	31786193	31799558	1
X	31799559	31816434	0
X	31816435	31851713	1
X	31851714	31852321	0
X	31852322	31968150	1
X	31968151	31984610	0
X	31984611	32045446	2
X	32045447	32049929	0
X	32049930	32096014	1
X	32096015	32118052	0
X	32118053	32153792	1
X	32153793	32232140	0
X	32232141	32292070	2
X	32292071	32304755	0
X	32304756	32328362	2
X	32328363	32329596	0
X	32329597	32355305	1
X	32355306	32495807	0
X	32495808	32496547	2
X	32496548	32745871	0
X	32745872	32786357	2
X	32786358	33349204	0
X	33349205	33349479	1
X	33349480	33383085	0
X	33383086	33443184	1
X	33443185	33445707	3
X	33445708	33522834	1
X	33522835	33528079	0
X	33528080	33562587	2
X	33562588	33599669	0
X	33599670	33646442	2
X	33646443	33648680	0
X	33648681	33665819	1
X	33665820	33721933	0
X	33721934	33722088	1
X	33722089	33884497	0
X	33884498	34057397	2
X	34057398	34162295	0
X	34162296	34162825	1
X	34162826	34623403	0
X	34623404	34673740	2
X	34673741	34731889	0
X	34731890	34794587	1
X	34794588	35305234	0
X	35305235	35431162	1
X	35431163	35599256	0
X	35599257	35749955	2
X	35749956	35771709	3
X	35771710	35777241	1
X	35777242	35869536	0
X	35869537	35947280	2
X	35947281	36277638	0
X	36277639	36280459	1
X	36280460	36857648	0
X	36857649	36884746	1
X	36884747	36930184	0
X	36930185	37003640	1
X	37003641	37026406	0
X	37026407	37026870	2
X	37026871	37329777	0
X	37329778	37342606	2
X	37342607	37343408	3
X	37343409	37353154	1
X	37353155	37469935	0
X	37469936	37575622	2
X	37575623	37579955	0
X	37579956	37595484	2
X	37595485	37643167	0
X	37643168	37705261	1
X	37705262	37790584	0
X	37790585	38196202	1
X	38196203	38295363	0
X	38295364	38353459	1
X	38353460	38397259	0
X	38397260	38468358	1
X	38468359	39711199	0
X	39711200	39951845	2
X	39951846	39954902	0
X	39954903	39956839	1
X	39956840	40030246	0
X	40030247	40086868	1
X	40086869	40258491	0
X	40258492	40310561	2
X	40310562	40363644	0
X	40363645	40415107	2
X	40415108	40460045	0
X	40460046	40717980	2
X	40717981	42328838	0
X	42328839	42329230	1
X	42329231	42558929	0
X	42558930	42614240	2
X	42614241	42951235	0
X	42951236	42954607	2
X	42954608	43012610	0
X	43012611	43015894	1
X	43015895	43033064	0
X	43033065	43044973	1
X	43044974	43183379	0
X	43183380	43184311	2
X	43184312	43293549	0
X	43293550	43294175	2
X	43294176	43497761	0
X	43497762	43512989	2
X	43512990	43535735	0
X	43535736	43537069	2
X	43537070	43543068	0
X	43543069	43592198	1
X	43592199	43625167	0
X	43625168	43629763	2
X	43629764	43745602	0
X	43745603	43746234	2
X	43746235	43780958	0
X	43780959	43781584	1
X	43781585	43831890	0
X	43831891	43832513	2
X	43832514	43870400	0
X	43870401	43878879	1
X	43878880	43881244	0
X	43881245	43882202	2
X	43882203	44830847	0
X	44830848	44988549	2
X	44988550	44999723	0
X	44999724	45000361	1
X	45000362	45080961	0
X	45080962	45124268	1
X	45124269	45178444	0
X	45178445	45187147	1
X	45187148	45213226	0
X	45213227	45217453	2
X	45217454	45244036	0
X	45244037	45259490	1
X	45259491	45282185	0
X	45282186	45284339	1
X	45284340	45410544	0
X	45410545	45419815	1
X	45419816	45420594	0
X	45420595	45428748	2
X	45428749	45519226	0
X	45519227	45522663	1
X	45522664	45596275	0
X	45596276	45598145	1
X	45598146	45614886	0
X	45614887	45616349	2
X	45616350	45637413	0
X	45637414	45637943	2
X	45637944	45698235	0
X	45698236	45806196	1
X	45806197	45965299	0
X	45965300	45966932	2
X	45966933	46628287	0
X	46628288	46653163	1
X	46653164	46977653	0
X	46977654	47078126	1
X	47078127	48196914	0
X	48196915	48213503	2
X	48213504	48779108	0
X	48779109	48805642	2
X	48805643	49529316	0
X	49529317	49530164	1
X	49530165	50184213	0
X	50184214	50184695	1
X	50184696	50599058	0
X	50599059	50610741	2
X	50610742	51286735	0
X	51286736	51791434	2
X	51791435	51792595	3
X	51792596	53233467	2
X	53233468	53235278	3
X	53235279	53519257	2
X	53519258	53629253	0
X	53629254	53629801	2
X	53629802	54062933	0
X	54062934	54086337	2
X	54086338	54227395	0
X	54227396	54266685	1
X	54266686	54295764	3
X	54295765	54303862	1
X	54303863	54390731	0
X	54390732	54409464	2
X	54409465	54553876	0
X	54553877	54556769	2
X	54556770	54734383	0
X	54734384	54738511	2
X	54738512	55331387	0
X	55331388	55333040	2
X	55333041	55439576	0
X	55439577	56765891	1
X	56765892	57058018	0
X	57058019	57058524	1
X	57058525	57866404	0
X	57866405	57871973	2
X	57871974	60715144	0
X	60715145	60715664	1
X	60715665	60849012	0
X	60849013	60852581	1
X	60852582	60863451	0
X	60863452	60864476	1
X	60864477	60939258	0
X	60939259	60942843	1
X	60942844	61027366	0
X	61027367	61029296	1
X	61029297	61103009	0
X	61103010	61151599	1
X	61151600	61229829	0
X	61229830	61232083	1
X	61232084	62282210	0
X	62282211	62282759	2
X	62282760	62363755	0
X	62363756	62376141	2
X	62376142	62382606	0
X	62382607	62698828	1
X	62698829	62727753	0
X	62727754	62818520	2
X	62818521	62836129	0
X	62836130	62903552	1
X	62903553	63158974	0
X	63158975	63204528	1
X	63204529	63268035	0
X	63268036	63292090	1
X	63292091	63343544	0
X	63343545	63389987	2
X	63389988	63520989	0
X	63520990	63625132	2
X	63625133	63803187	0
X	63803188	63809859	1
X	63809860	63897662	0
X	63897663	63898356	2
X	63898357	63915764	0
X	63915765	63916312	2
X	63916313	63959432	0
X	63959433	63961525	1
X	63961526	63998805	0
X	63998806	63999620	1
X	63999621	64034588	0
X	64034589	64036215	1
X	64036216	64686621	0
X	64686622	64702439	1
X	64702440	64714333	0
X	64714334	64800433	1
X	64800434	64887976	0
X	64887977	64908680	1
X	64908681	64914078	0
X	64914079	64914479	2
X	64914480	65040773	0
X	65040774	65074710	2
X	65074711	65081762	0
X	65081763	65102378	1
X	65102379	65226746	0
X	65226747	65295808	2
X	65295809	65335467	0
X	65335468	65335985	1
X	65335986	65370849	0
X	65370850	65400296	1
X	65400297	65563120	0
X	65563121	65658514	2
X	65658515	65796427	0
X	65796428	65804589	2
X	65804590	66177238	0
X	66177239	66177747	1
X	66177748	66314416	0
X	66314417	66320143	2
X	66320144	66561284	0
X	66561285	66602504	1
X	66602505	67563986	0
X	67563987	67564534	2
X	67564535	67656251	0
X	67656252	67829024	2
X	67829025	68044948	0
X	68044949	68045408	2
X	68045409	68189159	0
X	68189160	68563135	1
X	68563136	68626183	0
X	68626184	68637414	2
X	68637415	68713121	0
X	68713122	68785050	2
X	68785051	68891225	0
X	68891226	68904036	2
X	68904037	69213643	0
X	69213644	69218554	1
X	69218555	69580013	0
X	69580014	69605030	2
X	69605031	69730240	0
X	69730241	70220327	2
X	70220328	70224652	0
X	70224653	70233071	1
X	70233072	70256735	0
X	70256736	70257607	2
X	70257608	70322753	0
X	70322754	70345003	2
X	70345004	70354358	0
X	70354359	70377823	2
X	70377824	70408062	0
X	70408063	70414366	2
X	70414367	70426949	0
X	70426950	70428362	1
X	70428363	70438615	0
X	70438616	70452065	2
X	70452066	70458601	0
X	70458602	70461633	1
X	70461634	70461716	0
X	70461717	70561187	2
X	70561188	70563568	0
X	70563569	70572293	2
X	70572294	70596574	0
X	70596575	70648530	2
X	70648531	70670320	0
X	70670321	70946563	1
X	70946564	70972765	0
X	70972766	70978950	1
X	70978951	70989820	0
X	70989821	71127276	1
X	71127277	71155599	0
X	71155600	71162156	2
X	71162157	71162583	0
