ENSG00000257115	ENST00000550708	14	1	18601045	18602129	OR11H12	protein_coding
ENSG00000222036	ENST00000547889	14	1	18967434	18998903	POTEM	protein_coding
ENSG00000187537	ENST00000547848	14	-1	19402486	19434341	POTEG	protein_coding
ENSG00000258453	ENST00000641517	14	-1	19712904	19714332	OR11H2	protein_coding
ENSG00000258453	ENST00000556246	14	-1	19712936	19713883	OR11H2	protein_coding
ENSG00000176294	ENST00000557414	14	1	19719015	19827513	OR4N2	protein_coding
ENSG00000182652	ENST00000642117	14	1	19743571	19749469	OR4Q3	protein_coding
ENSG00000182652	ENST00000331723	14	1	19747428	19748369	OR4Q3	protein_coding
ENSG00000176299	ENST00000641200	14	1	19773504	19783696	OR4M1	protein_coding
ENSG00000176299	ENST00000315957	14	1	19780242	19781357	OR4M1	protein_coding
ENSG00000176294	ENST00000557677	14	1	19803770	19828372	OR4N2	protein_coding
ENSG00000176294	ENST00000641240	14	1	19821935	19830253	OR4N2	protein_coding
ENSG00000176294	ENST00000315947	14	1	19827449	19828372	OR4N2	protein_coding
ENSG00000165762	ENST00000641885	14	1	19875142	19883932	OR4K2	protein_coding
ENSG00000165762	ENST00000298642	14	1	19876232	19877309	OR4K2	protein_coding
ENSG00000176281	ENST00000315915	14	1	19920582	19921659	OR4K5	protein_coding
ENSG00000155249	ENST00000641172	14	1	19930917	19936757	OR4K1	protein_coding
ENSG00000155249	ENST00000641429	14	1	19931044	19936757	OR4K1	protein_coding
ENSG00000155249	ENST00000285600	14	1	19935608	19936683	OR4K1	protein_coding
ENSG00000169488	ENST00000305051	14	1	19975444	19976659	OR4K15	protein_coding
ENSG00000169488	ENST00000641512	14	1	19975444	19976659	OR4K15	protein_coding
ENSG00000169484	ENST00000641793	14	-1	20014143	20019307	OR4K14	protein_coding
ENSG00000169484	ENST00000305045	14	-1	20014261	20015193	OR4K14	protein_coding
ENSG00000176253	ENST00000641664	14	-1	20029399	20036038	OR4K13	protein_coding
ENSG00000176253	ENST00000641904	14	-1	20029399	20036038	OR4K13	protein_coding
ENSG00000176253	ENST00000315693	14	-1	20033844	20034758	OR4K13	protein_coding
ENSG00000176246	ENST00000315683	14	1	20060045	20060983	OR4L1	protein_coding
