<CHROM>	<START>	<END>	<TSB>
X	0	827	0
X	828	1309	2
X	1310	8774	0
X	8775	9136	1
X	9137	9344	0
X	9345	9677	2
X	9678	11473	0
X	11474	16122	2
X	16123	16765	0
X	16766	18241	1
X	18242	18534	3
X	18535	18693	2
X	18694	19495	0
X	19496	21198	2
X	21199	21971	0
X	21972	22561	2
X	22562	23131	0
X	23132	23727	2
X	23728	24339	0
X	24340	26084	1
X	26085	26410	0
X	26411	26769	1
X	26770	26885	0
X	26886	28594	2
X	28595	32161	0
X	32162	33156	2
X	33157	33848	0
X	33849	36247	1
X	36248	36755	0
X	36756	36917	1
X	36918	37198	3
X	37199	37732	2
X	37733	38003	0
X	38004	39967	2
X	39968	40192	0
X	40193	41181	1
X	41182	41387	0
X	41388	47431	1
X	47432	47657	0
X	47658	49933	1
X	49934	50137	0
X	50138	50441	1
X	50442	50627	0
X	50628	53149	1
X	53150	53339	0
X	53340	53941	2
X	53942	54181	3
X	54182	54288	1
X	54289	54377	0
X	54378	56176	2
X	56177	56442	0
X	56443	58811	1
X	58812	59098	0
X	59099	59170	1
X	59171	59854	0
X	59855	60180	1
X	60181	60842	0
X	60843	63487	2
X	63488	63803	0
X	63804	65803	2
X	65804	66084	3
X	66085	67567	2
X	67568	67848	0
X	67849	68780	1
X	68781	69239	0
X	69240	69336	1
X	69337	69940	3
X	69941	70877	2
X	70878	71364	0
X	71365	72572	2
X	72573	72708	0
X	72709	73412	1
X	73413	73785	0
X	73786	74609	2
X	74610	74908	0
X	74909	75300	1
X	75301	75931	0
X	75932	76200	2
X	76201	76472	3
X	76473	76508	1
X	76509	76801	0
X	76802	79260	1
X	79261	80153	0
X	80154	81913	2
X	81914	82093	0
X	82094	82974	1
X	82975	83446	0
X	83447	83817	2
X	83818	84066	0
X	84067	85334	2
X	85335	85433	0
X	85434	85658	1
X	85659	85750	3
X	85751	87493	2
X	87494	87581	0
X	87582	88558	1
X	88559	88785	0
X	88786	89114	2
X	89115	89280	0
X	89281	90095	1
X	90096	90784	0
X	90785	91655	2
X	91656	92051	0
X	92052	94047	1
X	94048	94528	3
X	94529	94559	2
X	94560	95090	0
X	95091	95920	2
X	95921	96159	0
X	96160	96527	1
X	96528	97735	0
X	97736	99465	2
X	99466	99702	0
X	99703	100892	1
X	100893	101148	0
X	101149	101777	1
X	101778	102097	0
X	102098	102225	2
X	102226	102465	3
X	102466	104426	1
X	104427	105012	0
X	105013	106070	2
X	106071	106432	0
X	106433	106716	2
X	106717	106892	0
X	106893	109459	1
X	109460	109964	0
X	109965	111157	1
X	111158	111664	0
X	111665	113331	1
X	113332	113876	0
X	113877	115627	1
X	115628	115937	0
X	115938	116008	1
X	116009	117243	0
X	117244	117785	2
X	117786	117960	0
X	117961	118823	1
X	118824	120447	0
X	120448	121688	2
X	121689	122263	0
X	122264	122946	1
X	122947	123834	0
X	123835	126326	1
X	126327	126602	0
X	126603	126823	2
X	126824	126851	0
X	126852	128950	1
X	128951	129283	0
X	129284	130641	1
X	130642	131099	0
X	131100	133933	1
X	133934	134330	0
X	134331	135931	1
X	135932	136172	0
X	136173	136370	2
X	136371	136531	3
X	136532	136771	1
X	136772	137121	0
