WBGene00021407	Y38C1AB.5.1	IV	-1	8765	11070	Y38C1AB.5	protein_coding
WBGene00021408	Y38C1AB.6.1	IV	-1	15499	20899	trpl-4	protein_coding
WBGene00021405	Y38C1AB.3.1	IV	1	21493	23198	Y38C1AB.3	protein_coding
WBGene00021409	Y38C1AB.7.1	IV	-1	24683	26388	Y38C1AB.7	protein_coding
WBGene00021404	Y38C1AB.2.1	IV	1	26982	32380	trpl-3	protein_coding
WBGene00001492	Y38C1AB.8a.1	IV	-1	32481	48880	frm-5.1	protein_coding
WBGene00001492	Y38C1AB.8b.1	IV	-1	32481	48880	frm-5.1	protein_coding
WBGene00021403	Y38C1AB.1.1	IV	1	36809	39114	Y38C1AB.1	protein_coding
WBGene00235257	T05C7.4.1	IV	-1	53401	53631	T05C7.4	protein_coding
WBGene00235258	T05C7.5.1	IV	-1	57981	58395	T05C7.5	protein_coding
WBGene00235260	T05C7.7.1	IV	1	61748	65984	T05C7.7	protein_coding
WBGene00235261	T05C7.8.1	IV	1	76370	76531	T05C7.8	protein_coding
WBGene00235262	T05C7.9.1	IV	1	79276	79380	T05C7.9	protein_coding
WBGene00015246	B0545.3.1	IV	-1	86890	90082	scl-23	protein_coding
WBGene00006599	B0545.1a.1	IV	1	92016	110756	tpa-1	protein_coding
WBGene00006599	B0545.1b.1	IV	1	92803	110756	tpa-1	protein_coding
WBGene00006599	B0545.1b.2	IV	1	103444	110756	tpa-1	protein_coding
WBGene00015247	B0545.4.1	IV	-1	108971	112054	B0545.4	protein_coding
WBGene00015247	B0545.4.2	IV	-1	109054	109684	B0545.4	protein_coding
WBGene00017927	F29C4.4.1	IV	1	111465	111862	F29C4.4	protein_coding
WBGene00017927	F29C4.4.2	IV	1	111624	111862	F29C4.4	protein_coding
WBGene00017928	F29C4.6.2	IV	-1	119272	121697	tut-1	protein_coding
WBGene00017928	F29C4.6.1	IV	-1	119272	121707	tut-1	protein_coding
WBGene00017929	F29C4.7a.1	IV	-1	121797	125929	grld-1	protein_coding
