<CHROM>	<START>	<END>	<TSB>
6	0	3463259	0
6	3463260	3463368	1
6	3463369	3466122	0
6	3466123	3466195	1
6	3466196	3467387	0
6	3467388	3467424	1
6	3467425	3467512	0
6	3467513	3467536	1
6	3467537	3467622	0
6	3467623	3467747	1
6	3467748	3475907	0
6	3475908	3476203	1
6	3476204	3483288	0
6	3483289	3483572	1
6	3483573	3486921	0
6	3486922	3487274	1
6	3487275	3494398	0
6	3494399	3494476	1
6	3494477	3498521	0
6	3498522	3498553	2
6	3498554	3504867	0
6	3504868	3504935	2
6	3504936	3516620	0
6	3516621	3516742	2
6	3516743	3517787	0
6	3517788	3517858	2
6	3517859	3519215	0
6	3519216	3519268	2
6	3519269	3520205	0
6	3520206	3520275	2
6	3520276	3522254	0
6	3522255	3522371	2
6	3522372	3522681	0
6	3522682	3522716	2
6	3522717	3524091	0
6	3524092	3524173	2
6	3524174	3532156	0
6	3532157	3532198	2
6	3532199	3533470	0
6	3533471	3533568	2
6	3533569	3536830	0
6	3536831	3536970	2
6	3536971	3545508	0
6	3545509	3545640	2
6	3545641	3551011	0
6	3551012	3551102	2
6	3551103	3554994	0
6	3554995	3555088	2
6	3555089	3555366	0
6	3555367	3555464	2
6	3555465	3562266	0
6	3562267	3562356	2
6	3562357	3565514	0
6	3565515	3565690	2
6	3565691	3567733	0
6	3567734	3567851	2
6	3567852	3571000	0
6	3571001	3571106	2
6	3571107	3578792	0
6	3578793	3578913	2
6	3578914	3588004	0
6	3588005	3588084	2
6	3588085	3592425	0
6	3592426	3592573	2
6	3592574	3594016	0
6	3594017	3594112	2
6	3594113	3594741	0
6	3594742	3594899	2
6	3594900	3598470	0
6	3598471	3598591	2
6	3598592	3600126	0
6	3600127	3600354	2
6	3600355	3601366	0
6	3601367	3601377	2
6	3601378	3602658	0
6	3602659	3602774	2
6	3602775	3687396	0
6	3687397	3687641	1
6	3687642	3691530	0
6	3691531	3691571	1
6	3691572	3692540	0
6	3692541	3692758	1
6	3692759	3693699	0
6	3693700	3693765	1
6	3693766	3693847	0
6	3693848	3693907	1
6	3693908	3700125	0
6	3700126	3700278	1
6	3700279	3707487	0
6	3707488	3707597	1
6	3707598	3708484	0
6	3708485	3708610	1
6	3708611	3711446	0
6	3711447	3711537	1
6	3711538	3714647	0
6	3714648	3714759	1
6	3714760	3717090	0
6	3717091	3717200	1
6	3717201	3718563	0
6	3718564	3718716	1
6	3718717	3722921	0
6	3722922	3722999	1
6	3723000	3752950	0
6	3752951	3752972	1
6	3752973	3963381	0
6	3963382	3963445	1
6	3963446	3963804	0
6	3963805	3963974	1
6	3963975	3965355	0
6	3965356	3965537	1
6	3965538	3967866	0
6	3967867	3968048	1
6	3968049	3968235	0
6	3968236	3968354	1
6	3968355	3974529	0
6	3974530	3974604	1
6	3974605	3994222	0
6	3994223	3994317	2
6	3994318	3996650	0
6	3996651	3996775	2
6	3996776	4004314	0
6	4004315	4004409	2
6	4004410	4008033	0
6	4008034	4008155	2
6	4008156	4077882	0
6	4077883	4078034	1
6	4078035	4079959	0
6	4079960	4080015	1
6	4080016	4082456	0
6	4082457	4082580	1
6	4082581	4086775	0
6	4086776	4086793	1
6	4086794	4505838	0
6	4505839	4505907	2
6	4505908	4508333	0
6	4508334	4508343	2
6	4508344	4508938	0
6	4508939	4508952	2
6	4508953	4509602	0
6	4509603	4509637	2
6	4509638	4510682	0
6	4510683	4510792	2
6	4510793	4512359	0
6	4512360	4512412	2
6	4512413	4515208	0
6	4515209	4515252	2
6	4515253	4515479	0
6	4515480	4515532	2
6	4515533	4515627	0
6	4515628	4515680	2
6	4515681	4515959	0
6	4515960	4516012	2
6	4516013	4516390	0
6	4516391	4516443	2
6	4516444	4516898	0
6	4516899	4516951	2
6	4516952	4518472	0
6	4518473	4518516	2
6	4518517	4518789	0
6	4518790	4518842	2
6	4518843	4518946	0
6	4518947	4518990	2
6	4518991	4519290	0
6	4519291	4519343	2
6	4519344	4519828	0
6	4519829	4519926	2
6	4519927	4520036	0
6	4520037	4520080	2
6	4520081	4520169	0
6	4520170	4520267	2
6	4520268	4520594	0
6	4520595	4520647	2
6	4520648	4520770	0
6	4520771	4520877	2
6	4520878	4521229	0
6	4521230	4521282	2
6	4521283	4521394	0
6	4521395	4521492	2
6	4521493	4522440	0
6	4522441	4522493	2
6	4522494	4522954	0
6	4522955	4523052	2
6	4523053	4523592	0
6	4523593	4523645	2
6	4523646	4524115	0
6	4524116	4524168	2
6	4524169	4524500	0
6	4524501	4524553	2
6	4524554	4524874	0
6	4524875	4524927	2
6	4524928	4525880	0
6	4525881	4525924	2
6	4525925	4527053	0
6	4527054	4527151	2
6	4527152	4528304	0
6	4528305	4528411	2
6	4528412	4529066	0
6	4529067	4529119	2
6	4529120	4530170	0
6	4530171	4530223	2
6	4530224	4530955	0
6	4530956	4531008	2
6	4531009	4531102	0
6	4531103	4531155	2
6	4531156	4531236	0
6	4531237	4531343	2
6	4531344	4531893	0
6	4531894	4531946	2
6	4531947	4532742	0
6	4532743	4532795	2
6	4532796	4533740	0
6	4533741	4533901	2
6	4533902	4534579	0
6	4534580	4534686	2
6	4534687	4535379	0
6	4535380	4535486	2
6	4535487	4535829	0
6	4535830	4535882	2
6	4535883	4535974	0
6	4535975	4536081	2
6	4536082	4536206	0
6	4536207	4536259	2
6	4536260	4536595	0
6	4536596	4536702	2
6	4536703	4537171	0
6	4537172	4537224	2
6	4537225	4537348	0
6	4537349	4537455	2
6	4537456	4537776	0
6	4537777	4538034	2
6	4538035	4538624	0
6	4538625	4538808	2
6	4538809	4539461	0
6	4539462	4539703	2
6	4539704	4540514	0
6	4540515	4540657	2
6	4540658	4601167	0
6	4601168	4601299	2
6	4601300	4607981	0
6	4607982	4608077	2
6	4608078	4608632	0
6	4608633	4608752	2
6	4608753	4613233	0
6	4613234	4613277	2
6	4613278	4614647	0
6	4614648	4614709	2
6	4614710	4619287	0
6	4619288	4619331	2
6	4619332	4619759	0
6	4619760	4619882	2
6	4619883	4621070	0
6	4621071	4621284	2
6	4621285	4624050	0
6	4624051	4624472	2
6	4624473	4625464	0
6	4625465	4625553	2
6	4625554	4629960	0
6	4629961	4630079	2
6	4630080	4631006	0
6	4631007	4631162	2
6	4631163	4631517	0
6	4631518	4631596	2
6	4631597	4634000	0
6	4634001	4634101	2
6	4634102	4635744	0
6	4635745	4635884	2
6	4635885	4636967	0
6	4636968	4637044	2
6	4637045	4640913	0
6	4640914	4641005	2
6	4641006	4641850	0
6	4641851	4642113	2
6	4642114	4674583	0
6	4674584	4674630	1
6	4674631	4677161	0
6	4677162	4677195	1
6	4677196	4677200	0
6	4677201	4677231	1
6	4677232	4678065	0
6	4678066	4678108	1
6	4678109	4689577	0
6	4689578	4689765	1
6	4689766	4690467	0
6	4690468	4690493	1
6	4690494	4691427	0
6	4691428	4691638	1
6	4691639	4694020	0
6	4694021	4694182	1
6	4694183	4707072	0
6	4707073	4707270	1
6	4707271	4711306	0
6	4711307	4711378	1
6	4711379	4717919	0
6	4717920	4718076	1
6	4718077	4719372	0
6	4719373	4719494	1
6	4719495	4730004	0
6	4730005	4730111	1
6	4730112	4746978	0
6	4746979	4747086	1
6	4747087	4754219	0
6	4754220	4757238	2
6	4757239	4905445	0
6	4905446	4906842	2
6	4906843	5045934	0
6	5045935	5046066	2
6	5046067	5057456	0
6	5057457	5057576	2
6	5057577	5063989	0
6	5063990	5064093	2
6	5064094	5077478	0
6	5077479	5077613	2
6	5077614	5100430	0
6	5100431	5100585	2
6	5100586	5110998	0
6	5110999	5111051	2
6	5111052	5113599	0
6	5113600	5113828	2
6	5113829	5115117	0
6	5115118	5115213	2
6	5115214	5115307	0
6	5115308	5115478	2
6	5115479	5134015	0
6	5134016	5134172	2
6	5134173	5156119	0
6	5156120	5156238	2
6	5156239	5157002	0
6	5157003	5157025	2
6	5157026	5158087	0
6	5158088	5158269	2
6	5158270	5159550	0
6	5159551	5159747	2
6	5159748	5168339	0
6	5168340	5168494	1
6	5168495	5171739	0
6	5171740	5171867	1
6	5171868	5175740	0
6	5175741	5175821	1
6	5175822	5177208	0
6	5177209	5177408	1
6	5177409	5181437	0
6	5181438	5181563	1
6	5181564	5184744	0
6	5184745	5184912	1
6	5184913	5185296	0
6	5185297	5185351	1
6	5185352	5186932	0
6	5186933	5187002	1
6	5187003	5193674	0
6	5193675	5193747	1
6	5193748	5221565	0
6	5221566	5221720	1
6	5221721	5230399	0
6	5230400	5230527	1
6	5230528	5230747	0
6	5230748	5230828	1
6	5230829	5232322	0
6	5232323	5232522	1
6	5232523	5236870	0
6	5236871	5236996	1
6	5236997	5240811	0
6	5240812	5240976	1
6	5240977	5246276	0
6	5246277	5246331	1
6	5246332	5254514	0
6	5254515	5254584	1
6	5254585	5256151	0
6	5256152	5256224	1
6	5256225	5265322	0
