ENSMUSG00000078222	ENSMUST00000105020	X	-1	3241670	3243629	Gm14346	protein_coding
ENSMUSG00000078221	ENSMUST00000105019	X	1	3410668	3412627	Gm14345	protein_coding
ENSMUSG00000078220	ENSMUST00000105018	X	-1	3461361	3463320	Gm14351	protein_coding
ENSMUSG00000078219	ENSMUST00000105017	X	-1	3665478	3667437	Gm3701	protein_coding
ENSMUSG00000078218	ENSMUST00000140300	X	1	3748109	3750051	Gm3706	protein_coding
ENSMUSG00000078217	ENSMUST00000105015	X	1	3907011	3908970	Gm14347	protein_coding
ENSMUSG00000078216	ENSMUST00000105014	X	-1	3993614	3995573	Gm10922	protein_coding
ENSMUSG00000078215	ENSMUST00000105013	X	1	4074964	4076923	Gm10921	protein_coding
ENSMUSG00000078213	ENSMUST00000105011	X	1	4446527	4448017	Gm3750	protein_coding
ENSMUSG00000078211	ENSMUST00000105009	X	1	4598166	4600125	Gm3763	protein_coding
ENSMUSG00000044597	ENSMUST00000058404	X	-1	5044022	5046383	Mycs	protein_coding
ENSMUSG00000078209	ENSMUST00000105007	X	1	5246185	5248144	Gm14374	protein_coding
ENSMUSG00000073295	ENSMUST00000103007	X	1	5624571	5632228	Nudt11	protein_coding
ENSMUSG00000073294	ENSMUST00000101698	X	-1	5658337	5660537	AU022751	protein_coding
ENSMUSG00000073294	ENSMUST00000117544	X	-1	5658337	5660537	AU022751	protein_coding
ENSMUSG00000073293	ENSMUST00000103006	X	-1	5745814	5750133	Nudt10	protein_coding
ENSMUSG00000023279	ENSMUST00000024049	X	-1	5891225	5897839	Bmp15	protein_coding
ENSMUSG00000068270	ENSMUST00000103005	X	1	5976972	6210955	Shroom4	protein_coding
ENSMUSG00000068270	ENSMUST00000143641	X	1	5992860	6160317	Shroom4	protein_coding
ENSMUSG00000068270	ENSMUST00000089520	X	1	6154404	6214566	Shroom4	protein_coding
ENSMUSG00000062393	ENSMUST00000067410	X	1	6356432	6525488	Dgkk	protein_coding
ENSMUSG00000062393	ENSMUST00000145302	X	1	6450610	6525489	Dgkk	protein_coding
ENSMUSG00000051592	ENSMUST00000056725	X	-1	6556778	6608062	Ccnb3	protein_coding
ENSMUSG00000051592	ENSMUST00000115753	X	-1	6556778	6608062	Ccnb3	protein_coding
ENSMUSG00000051592	ENSMUST00000115752	X	-1	6556778	6618745	Ccnb3	protein_coding
ENSMUSG00000050089	ENSMUST00000057101	X	1	6644645	6655735	Akap4	protein_coding
ENSMUSG00000050089	ENSMUST00000115750	X	1	6644646	6655730	Akap4	protein_coding
ENSMUSG00000050089	ENSMUST00000115751	X	1	6645339	6655717	Akap4	protein_coding
ENSMUSG00000004317	ENSMUST00000004428	X	-1	6730936	6765840	Clcn5	protein_coding
ENSMUSG00000004317	ENSMUST00000115746	X	-1	6736595	6896359	Clcn5	protein_coding
ENSMUSG00000004317	ENSMUST00000154382	X	-1	6737303	6765799	Clcn5	protein_coding
