ENSMUSG00000078367	ENSMUST00000105160	4	1	3099177	3100187	Vmn1r2	protein_coding
ENSMUSG00000078366	ENSMUST00000105159	4	-1	3111495	3112505	Vmn1r3	protein_coding
ENSMUSG00000028232	ENSMUST00000154922	4	-1	3476188	3501956	Tmem68	protein_coding
ENSMUSG00000028232	ENSMUST00000029891	4	-1	3476188	3502000	Tmem68	protein_coding
ENSMUSG00000028232	ENSMUST00000134806	4	-1	3477475	3479304	Tmem68	protein_coding
ENSMUSG00000028232	ENSMUST00000108388	4	-1	3489271	3501976	Tmem68	protein_coding
ENSMUSG00000028232	ENSMUST00000142503	4	-1	3496490	3501951	Tmem68	protein_coding
ENSMUSG00000028232	ENSMUST00000150676	4	-1	3496509	3501951	Tmem68	protein_coding
ENSMUSG00000028232	ENSMUST00000134451	4	-1	3496684	3501674	Tmem68	protein_coding
ENSMUSG00000028233	ENSMUST00000052712	4	1	3502022	3543766	Tgs1	protein_coding
ENSMUSG00000028233	ENSMUST00000132518	4	1	3502097	3511078	Tgs1	protein_coding
ENSMUSG00000028233	ENSMUST00000129964	4	1	3520733	3525753	Tgs1	protein_coding
ENSMUSG00000028233	ENSMUST00000130514	4	1	3525701	3529698	Tgs1	protein_coding
ENSMUSG00000028233	ENSMUST00000146315	4	1	3532784	3542430	Tgs1	protein_coding
ENSMUSG00000042228	ENSMUST00000041377	4	1	3605262	3718760	Lyn	protein_coding
ENSMUSG00000042228	ENSMUST00000103010	4	1	3605274	3718759	Lyn	protein_coding
ENSMUSG00000042228	ENSMUST00000145083	4	1	3605277	3666323	Lyn	protein_coding
ENSMUSG00000042228	ENSMUST00000137943	4	1	3683604	3740269	Lyn	protein_coding
ENSMUSG00000028234	ENSMUST00000138502	4	-1	3758481	3762812	Rps20	protein_coding
ENSMUSG00000028234	ENSMUST00000130128	4	-1	3761617	3762380	Rps20	protein_coding
ENSMUSG00000028234	ENSMUST00000103009	4	-1	3761620	3762635	Rps20	protein_coding
ENSMUSG00000078365	ENSMUST00000105158	4	-1	3797804	3799252	Mos	protein_coding
ENSMUSG00000078365	ENSMUST00000029894	4	-1	3797930	3799104	Mos	protein_coding
