<CHROM>	<START>	<END>	<TSB>
X	0	1573	0
X	1574	5714	2
X	5715	9832	0
X	9833	19022	2
X	19023	28430	0
X	28431	65493	1
X	65494	239123	0
X	239124	278199	2
X	278200	279771	0
X	279772	324459	1
X	324460	324602	0
X	324603	335695	2
X	335696	340594	0
X	340595	348256	1
X	348257	414860	0
X	414861	424069	2
X	424070	780892	0
X	780893	802052	1
X	802053	832165	0
X	832166	857141	2
X	857142	862340	0
X	862341	885291	2
X	885292	896525	0
X	896526	911426	2
X	911427	913353	0
X	913354	914825	1
X	914826	915094	3
X	915095	915255	1
X	915256	943873	0
X	943874	944247	2
X	944248	1012950	0
X	1012951	1025261	1
X	1025262	1029153	0
X	1029154	1040573	1
X	1040574	1042947	3
X	1042948	1060013	0
X	1060014	1095021	1
X	1095022	1114928	2
X	1114929	1115899	3
X	1115900	1120487	2
X	1120488	1171560	0
X	1171561	1285388	1
X	1285389	1366409	0
X	1366410	1366717	2
X	1366718	1410985	0
X	1410986	1431548	2
X	1431549	1437523	0
X	1437524	1466729	2
X	1466730	1481541	0
X	1481542	1512939	2
X	1512940	1516350	0
X	1516351	1554454	1
X	1554455	1567025	0
X	1567026	1587981	2
X	1587982	1604680	0
X	1604681	1635988	2
X	1635989	1750827	0
X	1750828	1764579	1
X	1764580	1777763	3
X	1777764	1938351	0
X	1938352	1982995	1
X	1982996	2439047	0
X	2439048	2439445	2
X	2439446	2893377	0
X	2893378	2900132	2
X	2900133	2905436	0
X	2905437	2911483	2
X	2911484	2918196	0
X	2918197	2925204	2
X	2925205	3412432	0
X	3412433	3600750	1
X	3600751	3601055	3
X	3601056	3676062	1
X	3676063	4248222	0
X	4248223	4290549	1
X	4290550	4291987	0
X	4291988	4293132	2
X	4293133	4363259	0
X	4363260	4466617	2
X	4466618	4755053	0
X	4755054	4756390	1
X	4756391	4891786	0
X	4891787	4924696	1
X	4924697	5417883	0
X	5417884	5601743	1
X	5601744	6300795	0
X	6300796	6433059	2
X	6433060	6499350	0
X	6499351	6640234	2
X	6640235	6649756	0
X	6649757	6657682	2
X	6657683	6716380	0
X	6716381	6836536	2
X	6836537	6853159	0
X	6853160	6922239	2
X	6922240	7085881	0
X	7085882	7203020	1
X	7203021	7685954	0
X	7685955	7697253	2
X	7697254	7704807	0
X	7704808	7822872	1
X	7822873	7830329	3
X	7830330	7952232	1
X	7952233	8144333	0
X	8144334	8145211	2
X	8145212	8188096	0
X	8188097	8189301	2
X	8189302	8294794	0
X	8294795	8314094	2
X	8314095	9031848	0
X	9031849	9071861	2
X	9071862	9072343	3
X	9072344	9229269	2
X	9229270	9281779	0
X	9281780	9315987	2
X	9315988	9334060	0
X	9334061	9360705	2
X	9360706	9396769	0
X	9396770	9399885	2
X	9399886	9998196	0
X	9998197	10062976	2
X	10062977	10078446	0
X	10078447	10079501	2
X	10079502	10102385	0
X	10102386	10124618	2
X	10124619	10129098	0
X	10129099	10140065	1
X	10140066	10140349	3
X	10140350	10196514	2
X	10196515	10216878	0
X	10216879	10260954	1
X	10260955	10426895	0
X	10426896	10448750	1
X	10448751	10859696	0
X	10859697	11033371	2
X	11033372	11095165	0
X	11095166	11141702	1
X	11141703	11147535	0
X	11147536	11201077	2
X	11201078	11506034	0
X	11506035	11533014	1
X	11533015	11542925	0
X	11542926	11567724	1
X	11567725	11570239	0
X	11570240	11580808	1
X	11580809	11590056	0
X	11590057	11733482	1
X	11733483	11742530	0
X	11742531	11795511	2
X	11795512	11797931	0
X	11797932	11839672	1
X	11839673	11863273	0
X	11863274	11898454	1
X	11898455	11913237	0
X	11913238	11932135	2
X	11932136	11981253	0
X	11981254	12014264	2
X	12014265	12015268	3
X	12015269	12040219	2
X	12040220	12046017	0
X	12046018	12074896	2
X	12074897	12075728	0
X	12075729	12103820	1
X	12103821	12332065	0
X	12332066	12375064	2
X	12375065	12759474	0
X	12759475	12808218	1
X	12808219	12813644	3
X	12813645	12865554	1
X	12865555	12869939	0
X	12869940	12901219	2
X	12901220	12953056	0
X	12953057	12982235	2
X	12982236	12994186	3
X	12994187	13006141	1
X	13006142	13089116	0
X	13089117	13307088	2
X	13307089	13782145	0
X	13782146	13834912	2
X	13834913	13845798	0
X	13845799	13850994	2
X	13850995	13872910	0
X	13872911	13873737	1
X	13873738	14244844	0
X	14244845	14245457	2
X	14245458	14262839	0
X	14262840	14325175	1
X	14325176	14334585	0
X	14334586	14436801	1
X	14436802	14597716	0
X	14597717	14727060	2
X	14727061	14729048	3
X	14729049	14749653	1
X	14749654	14760377	0
X	14760378	14876935	2
X	14876936	14911509	0
X	14911510	14989133	1
X	14989134	14994579	0
X	14994580	15034595	1
X	15034596	15338229	0
X	15338230	15350516	2
X	15350517	15354224	3
X	15354225	15465860	1
X	15465861	15482224	0
X	15482225	15818304	1
X	15818305	15844018	0
X	15844019	15903539	1
X	15903540	15916313	0
X	15916314	15972575	1
X	15972576	15992693	0
X	15992694	16074429	2
X	16074430	16080966	0
X	16080967	16103358	2
X	16103359	17186804	0
X	17186805	17465766	2
X	17465767	17466699	3
X	17466700	17467709	1
X	17467710	17551608	0
X	17551609	17569573	1
X	17569574	17639895	0
X	17639896	17640914	2
X	17640915	17655118	0
X	17655119	17693478	2
X	17693479	17773465	0
X	17773466	17798755	2
X	17798756	17799127	3
X	17799128	17802861	2
X	17802862	17830686	0
X	17830687	18035503	2
X	18035504	18262456	0
X	18262457	18263116	1
X	18263117	19096557	0
X	19096558	19148126	2
X	19148127	19364570	0
X	19364571	19383610	2
X	19383611	19395826	0
X	19395827	19457250	1
X	19457251	19461378	0
X	19461379	19465675	2
X	19465676	19555056	0
X	19555057	19605540	2
X	19605541	19619519	0
X	19619520	19651688	1
X	19651689	19662022	0
X	19662023	19680214	2
X	19680215	19760045	0
X	19760046	19794710	2
X	19794711	19878165	0
X	19878166	19882304	1
X	19882305	19902627	0
X	19902628	19906266	2
X	19906267	19994575	0
X	19994576	20059554	2
X	20059555	20076294	0
X	20076295	20178169	1
X	20178170	20227739	0
X	20227740	20537954	2
X	20537955	20544456	0
X	20544457	20556448	1
X	20556449	20636932	0
X	20636933	20637264	1
X	20637265	20899443	0
X	20899444	20901239	1
X	20901240	21525930	0
X	21525931	21529469	2
X	21529470	21651808	0
X	21651809	21654734	2
X	21654735	21742064	0
X	21742065	21743106	2
X	21743107	22084978	0
X	22084979	22085247	1
X	22085248	22666640	0
X	22666641	22668991	1
X	22668992	22924484	0
X	22924485	22926178	2
