<CHROM>	<START>	<END>	<TSB>
XI	0	1808	0
XI	1809	2179	1
XI	2180	2387	0
XI	2388	2719	2
XI	2720	3501	0
XI	3502	5618	1
XI	5619	6105	0
XI	6106	7526	2
XI	7527	9089	0
XI	9090	11224	1
XI	11225	14483	0
XI	14484	15706	2
XI	15707	17357	0
XI	17358	18337	1
XI	18338	22232	0
XI	22233	24082	2
XI	24083	25213	0
XI	25214	26157	2
XI	26158	26825	0
XI	26826	30685	1
XI	30686	31080	0
XI	31081	31691	1
XI	31692	31958	0
XI	31959	34105	1
XI	34106	34541	0
XI	34542	36412	2
XI	36413	36697	0
XI	36698	38151	1
XI	38152	38809	0
XI	38810	38909	2
XI	38910	39161	0
XI	39162	42235	2
XI	42236	42421	0
XI	42422	46293	1
XI	46294	46733	0
XI	46734	46804	1
XI	46805	47155	0
XI	47156	47970	2
XI	47971	48192	0
XI	48193	48953	2
XI	48954	49004	0
XI	49005	49807	1
XI	49808	50049	0
XI	50050	53351	2
XI	53352	53702	0
XI	53703	55600	2
XI	55601	55933	0
XI	55934	63357	1
XI	63358	63819	0
XI	63820	63928	2
XI	63929	64400	3
XI	64401	67464	1
XI	67465	68230	0
XI	68231	70218	1
XI	70219	70732	0
XI	70733	73863	1
XI	73864	74622	0
XI	74623	74695	2
XI	74696	74930	0
XI	74931	75532	1
XI	75533	75819	0
XI	75820	77030	2
XI	77031	77256	0
XI	77257	78644	1
XI	78645	78864	0
XI	78865	79880	1
XI	79881	80158	0
XI	80159	80535	1
XI	80536	81033	0
XI	81034	82637	2
XI	82638	82945	0
XI	82946	83548	2
XI	83549	84206	0
XI	84207	84289	2
XI	84290	84702	0
XI	84703	85901	2
XI	85902	86223	0
XI	86224	88784	1
XI	88785	89282	0
XI	89283	91534	1
XI	91535	92742	0
XI	92743	93296	1
XI	93297	94497	0
XI	94498	96263	2
XI	96264	96755	0
XI	96756	98155	2
XI	98156	98393	0
XI	98394	98605	1
XI	98606	98719	0
