<CHROM>	<START>	<END>	<TSB>
III	0	2124	0
III	2125	2564	2
III	2565	2822	0
III	2823	3748	2
III	3749	6477	0
III	6478	8324	1
III	8325	9704	0
III	9705	11080	2
III	11081	11501	0
III	11502	12283	1
III	12284	12384	0
III	12385	13016	1
III	13017	13280	0
III	13281	14117	2
III	14118	15796	0
III	15797	16878	1
III	16879	17288	0
III	17289	18559	2
III	18560	18814	0
III	18815	22104	1
III	22105	22427	0
III	22428	23377	1
III	23378	23521	0
III	23522	23582	1
III	23583	23923	3
III	23924	23979	1
III	23980	24030	0
III	24031	24323	1
III	24324	24766	0
III	24767	26904	2
III	26905	26923	0
III	26924	27357	1
III	27358	27927	0
III	27928	28934	2
III	28935	30908	0
III	30909	30994	2
III	30995	31447	0
III	31448	33972	2
III	33973	34141	0
III	34142	35391	1
III	35392	35863	0
III	35864	37614	2
III	37615	37834	0
III	37835	38799	1
III	38800	39784	0
III	39785	40722	1
III	40723	41486	0
III	41487	41725	2
III	41726	42163	0
III	42164	43554	2
III	43555	43659	0
III	43660	44435	1
III	44436	44621	0
III	44622	46638	1
III	46639	46903	3
III	46904	46961	2
III	46962	47109	0
III	47110	48362	1
III	48363	48651	0
III	48652	50582	1
III	50583	50625	3
III	50626	52338	2
III	52339	52643	0
III	52644	54880	2
III	54881	54939	0
III	54940	56525	1
III	56526	57372	0
III	57373	58676	1
III	58677	59024	0
III	59025	60724	2
III	60725	60839	0
III	60840	61171	1
III	61172	61656	0
III	61657	62720	2
III	62721	62774	0
III	62775	63280	1
III	63281	63439	0
III	63440	64479	2
III	64480	64673	0
III	64674	65566	1
III	65567	65932	0
III	65933	68331	1
III	68332	68597	0
III	68598	69919	1
III	69920	70148	0
III	70149	71365	2
III	71366	71801	0
III	71802	73339	2
III	73340	73403	0
III	73404	73984	1
III	73985	74702	0
III	74703	75283	1
III	75284	76016	0
III	76017	77917	1
III	77918	78947	0
III	78948	79160	1
III	79161	79294	3
III	79295	81568	2
III	81569	82083	3
III	82084	82273	2
III	82274	82460	0
III	82461	82531	1
III	82532	83618	0
III	83619	83995	2
III	83996	85100	0
III	85101	90413	2
III	90414	90857	0
III	90858	90970	2
III	90971	91322	0
III	91323	92416	2
III	92417	92775	0
III	92776	94268	1
III	94269	94619	0
III	94620	95761	1
III	95762	96279	0
III	96280	101189	2
III	101190	101315	0
III	101316	101786	1
III	101787	102073	0
III	102074	103356	1
III	103357	103569	0
III	103570	104348	1
III	104349	104617	0
III	104618	105546	1
III	105547	105694	0
III	105695	106851	1
III	106852	106972	0
III	106973	107021	1
III	107022	107364	3
III	107365	107415	2
III	107416	107502	0
III	107503	107710	1
III	107711	108019	0
III	108020	108789	2
III	108790	109103	0
III	109104	110668	2
III	110669	110806	0
III	110807	111673	1
III	111674	111914	0
III	111915	112480	2
III	112481	113078	0
III	113079	113539	2
III	113540	113768	0
III	113769	114022	2
III	114023	115683	0
III	115684	115997	2
III	115998	117378	0
III	117379	118346	1
III	118347	118618	0
III	118619	119169	2
III	119170	119573	0
III	119574	120316	1
III	120317	120944	0
III	120945	122326	1
III	122327	122528	0
III	122529	123001	1
III	123002	123575	0
III	123576	123646	1
III	123647	126009	0
III	126010	126728	1
III	126729	127714	0
III	127715	127787	2
III	127788	128468	0
III	128469	130279	2
III	130280	130743	0
III	130744	131540	1
III	131541	132271	0
III	132272	133122	1
III	133123	133722	0
III	133723	136871	1
III	136872	137744	0
III	137745	138400	2
III	138401	138994	3
III	138995	139047	1
III	139048	139183	0
III	139184	140931	1
III	140932	141215	0
III	141216	142168	1
III	142169	142362	0
III	142363	142544	1
III	142545	142699	0
III	142700	142769	1
III	142770	143632	0
III	143633	144504	2
III	144505	144771	0
III	144772	147632	1
III	147633	148236	0
III	148237	148901	1
III	148902	149918	0
III	149919	149989	2
III	149990	151282	0
III	151283	151354	1
III	151355	151606	0
III	151607	151860	1
III	151861	152835	0
III	152836	153926	2
III	153927	154010	0
III	154011	154657	1
III	154658	154828	0
III	154829	155094	1
III	155095	155318	0
III	155319	155554	2
III	155555	156107	0
III	156108	157105	1
III	157106	157419	0
III	157420	157763	1
III	157764	158536	0
III	158537	160371	1
III	160372	160742	0
III	160743	162220	1
III	162221	162597	0
III	162598	162863	1
III	162864	162943	0
III	162944	163065	1
III	163066	163444	0
III	163445	163854	1
III	163855	164109	0
III	164110	166337	1
III	166338	167368	0
III	167369	167997	1
III	167998	168299	0
III	168300	168370	1
III	168371	170884	0
III	170885	172422	1
III	172423	172948	0
III	172949	173438	1
III	173439	173824	0
III	173825	176436	1
III	176437	177181	0
III	177182	177280	2
III	177281	177498	0
III	177499	178218	1
III	178219	178608	0
III	178609	178796	1
III	178797	179518	0
III	179519	186021	2
III	186022	186487	0
III	186488	190167	2
III	190168	190590	0
III	190591	191633	2
III	191634	191832	0
III	191833	193016	1
III	193017	193295	0
III	193296	194296	2
III	194297	194412	0
III	194413	197183	1
III	197184	197619	0
III	197620	199291	1
III	199292	199416	3
III	199417	200176	1
III	200177	200440	0
III	200441	201172	2
III	201173	201241	3
III	201242	205395	1
III	205396	206259	0
III	206260	206642	1
III	206643	206875	0
III	206876	207948	1
III	207949	208133	0
III	208134	208749	1
III	208750	209099	3
III	209100	209608	1
III	209609	209912	0
III	209913	210421	1
III	210422	210716	0
III	210717	211299	1
III	211300	211505	3
III	211506	211543	1
III	211544	211869	0
III	211870	211927	1
III	211928	212315	3
III	212316	213462	2
III	213463	213759	3
III	213760	213770	1
III	213771	214069	0
III	214070	214737	2
III	214738	214992	0
III	214993	216443	2
III	216444	216695	0
III	216696	218239	2
III	218240	218374	0
III	218375	220065	1
III	220066	220455	0
III	220456	223226	1
III	223227	223452	0
III	223453	224228	1
III	224229	224397	0
III	224398	224732	2
III	224733	225561	0
III	225562	227456	2
III	227457	227940	0
III	227941	228040	2
III	228041	228093	0
III	228094	228316	1
III	228317	228503	3
III	228504	228789	2
III	228790	229308	0
III	229309	231002	2
III	231003	231498	0
III	231499	232961	2
III	232962	233123	0
III	233124	236320	1
III	236321	237212	0
III	237213	238774	2
III	238775	239053	0
III	239054	240009	2
III	240010	240101	0
III	240102	240541	1
III	240542	240803	0
III	240804	242350	1
III	242351	242586	0
III	242587	246581	1
III	246582	246961	0
III	246962	247908	2
III	247909	248031	0
III	248032	248813	1
III	248814	248973	0
III	248974	249200	2
III	249201	249291	0
III	249292	250043	1
III	250044	250236	0
III	250237	252626	1
III	252627	252843	0
III	252844	254171	2
III	254172	254369	0
III	254370	258413	2
III	258414	258649	3
III	258650	258652	2
III	258653	258881	0
III	258882	259267	2
III	259268	259576	0
III	259577	259959	2
III	259960	260309	0
III	260310	262450	1
III	262451	262914	0
III	262915	263267	2
III	263268	263390	0
III	263391	263962	2
III	263963	263974	0
III	263975	264004	2
III	264005	264465	3
III	264466	264489	2
III	264490	265066	0
III	265067	266844	2
III	266845	267432	0
III	267433	272261	2
III	272262	272313	0
III	272314	272861	1
III	272862	274402	0
III	274403	276564	2
III	276565	276762	0
III	276763	279818	1
III	279819	280115	0
III	280116	286441	2
III	286442	286760	0
III	286761	287935	2
III	287936	288168	0
III	288169	289256	1
III	289257	289637	0
III	289638	289795	2
III	289796	293177	0
III	293178	293536	1
III	293537	293833	0
III	293834	294319	2
III	294320	294437	0
III	294438	294703	2
III	294704	295482	0
III	295483	295554	2
III	295555	297047	0
III	297048	298603	1
III	298604	300830	0
III	300831	302219	1
III	302220	302480	0
III	302481	303028	1
III	303029	304359	0
III	304360	305465	1
III	305466	306733	0
III	306734	306930	2
III	306931	307799	0
III	307800	308173	2
III	308174	309068	0
III	309069	310153	2
III	310154	310956	0
III	310957	313454	2
III	313455	313888	0
III	313889	314979	2
III	314980	315995	0
III	315996	316186	1
