ENSG00000176269	ENST00000320901	8	-1	166049	167043	OR4F21	protein_coding
ENSG00000172748	ENST00000521145	8	1	232137	245287	ZNF596	protein_coding
ENSG00000172748	ENST00000320552	8	1	232137	247340	ZNF596	protein_coding
ENSG00000172748	ENST00000308811	8	1	232200	247342	ZNF596	protein_coding
ENSG00000172748	ENST00000640035	8	1	232217	264703	ZNF596	protein_coding
ENSG00000172748	ENST00000522866	8	1	232384	245248	ZNF596	protein_coding
ENSG00000172748	ENST00000398612	8	1	232397	247340	ZNF596	protein_coding
ENSG00000172748	ENST00000518414	8	1	232422	243801	ZNF596	protein_coding
ENSG00000172748	ENST00000521270	8	1	232442	243005	ZNF596	protein_coding
ENSG00000172748	ENST00000518320	8	1	232456	245159	ZNF596	protein_coding
ENSG00000147364	ENST00000518240	8	1	406428	435700	FBXO25	protein_coding
ENSG00000147364	ENST00000350302	8	1	406808	469690	FBXO25	protein_coding
ENSG00000147364	ENST00000352684	8	1	406808	469871	FBXO25	protein_coding
ENSG00000147364	ENST00000382824	8	1	406955	477967	FBXO25	protein_coding
ENSG00000147364	ENST00000276326	8	1	413072	469873	FBXO25	protein_coding
ENSG00000180190	ENST00000427263	8	-1	489792	544845	TDRP	protein_coding
ENSG00000180190	ENST00000613071	8	-1	489792	545781	TDRP	protein_coding
ENSG00000180190	ENST00000324079	8	-1	489803	544998	TDRP	protein_coding
ENSG00000180190	ENST00000523656	8	-1	489803	545781	TDRP	protein_coding
ENSG00000104714	ENST00000522706	8	-1	614746	731197	ERICH1	protein_coding
ENSG00000104714	ENST00000262109	8	-1	664200	731239	ERICH1	protein_coding
ENSG00000104714	ENST00000522893	8	-1	665992	673657	ERICH1	protein_coding
ENSG00000198010	ENST00000637795	8	1	737596	1701406	DLGAP2	protein_coding
ENSG00000198010	ENST00000421627	8	1	822179	1701406	DLGAP2	protein_coding
ENSG00000198010	ENST00000612087	8	1	1501366	1708474	DLGAP2	protein_coding
ENSG00000198010	ENST00000520901	8	1	1548644	1701985	DLGAP2	protein_coding
ENSG00000198010	ENST00000522499	8	1	1676537	1678763	DLGAP2	protein_coding
ENSG00000198010	ENST00000518530	8	1	1678371	1680840	DLGAP2	protein_coding
ENSG00000182372	ENST00000524258	8	1	1755778	1771461	CLN8	protein_coding
ENSG00000182372	ENST00000331222	8	1	1763704	1786570	CLN8	protein_coding
ENSG00000182372	ENST00000519254	8	1	1763760	1781300	CLN8	protein_coding
ENSG00000182372	ENST00000635751	8	1	1763777	1781225	CLN8	protein_coding
ENSG00000182372	ENST00000637156	8	1	1763800	1781354	CLN8	protein_coding
ENSG00000182372	ENST00000636934	8	1	1763800	1801711	CLN8	protein_coding
ENSG00000182372	ENST00000637083	8	1	1763815	1781357	CLN8	protein_coding
ENSG00000182372	ENST00000520991	8	1	1763832	1780772	CLN8	protein_coding
ENSG00000182372	ENST00000637594	8	1	1764652	1771286	CLN8	protein_coding
ENSG00000104728	ENST00000349830	8	1	1823976	1958633	ARHGEF10	protein_coding
ENSG00000104728	ENST00000520359	8	1	1823988	1958641	ARHGEF10	protein_coding
ENSG00000104728	ENST00000518288	8	1	1824015	1958641	ARHGEF10	protein_coding
ENSG00000104728	ENST00000398564	8	1	1826111	1958633	ARHGEF10	protein_coding
ENSG00000104728	ENST00000398560	8	1	1858755	1904096	ARHGEF10	protein_coding
ENSG00000104728	ENST00000522435	8	1	1882656	1958639	ARHGEF10	protein_coding
ENSG00000176595	ENST00000320248	8	1	1973878	2006936	KBTBD11	protein_coding
ENSG00000036448	ENST00000262113	8	1	2045040	2145456	MYOM2	protein_coding
ENSG00000036448	ENST00000523438	8	1	2045069	2145455	MYOM2	protein_coding
ENSG00000183117	ENST00000335551	8	-1	2935353	3409607	CSMD1	protein_coding
ENSG00000183117	ENST00000537824	8	-1	2935354	4032100	CSMD1	protein_coding
ENSG00000183117	ENST00000400186	8	-1	2938099	4994701	CSMD1	protein_coding
ENSG00000183117	ENST00000602723	8	-1	2938099	4994701	CSMD1	protein_coding
ENSG00000183117	ENST00000520002	8	-1	2938099	4994972	CSMD1	protein_coding
ENSG00000183117	ENST00000602557	8	-1	2938099	4994972	CSMD1	protein_coding
ENSG00000183117	ENST00000635120	8	-1	2938099	4994972	CSMD1	protein_coding
ENSG00000147316	ENST00000344683	8	1	6406592	6648504	MCPH1	protein_coding
ENSG00000147316	ENST00000519480	8	1	6406596	6446567	MCPH1	protein_coding
ENSG00000147316	ENST00000522905	8	1	6406643	6445890	MCPH1	protein_coding
ENSG00000091879	ENST00000325203	8	-1	6499651	6563409	ANGPT2	protein_coding
ENSG00000091879	ENST00000629816	8	-1	6502298	6563245	ANGPT2	protein_coding
ENSG00000091879	ENST00000338312	8	-1	6503080	6563044	ANGPT2	protein_coding
ENSG00000091879	ENST00000523120	8	-1	6507573	6563245	ANGPT2	protein_coding
ENSG00000155189	ENST00000285518	8	1	6708357	6759666	AGPAT5	protein_coding
ENSG00000155189	ENST00000518327	8	1	6708693	6757695	AGPAT5	protein_coding
ENSG00000275591	ENST00000618742	8	-1	6808517	6835644	XKR5	protein_coding
ENSG00000164825	ENST00000297439	8	-1	6870575	6878022	DEFB1	protein_coding
ENSG00000164822	ENST00000297436	8	-1	6924693	6926076	DEFA6	protein_coding
ENSG00000164821	ENST00000297435	8	-1	6935822	6938338	DEFA4	protein_coding
ENSG00000206047	ENST00000382679	8	-1	6977649	6978634	DEFA1	protein_coding
ENSG00000206047	ENST00000382692	8	-1	6977650	6980080	DEFA1	protein_coding
ENSG00000240247	ENST00000382689	8	-1	6996766	6999195	DEFA1B	protein_coding
ENSG00000239839	ENST00000327857	8	-1	7015869	7018301	DEFA3	protein_coding
ENSG00000164816	ENST00000330590	8	-1	7055304	7056734	DEFA5	protein_coding
ENSG00000230549	ENST00000529559	8	1	7332387	7333979	USP17L1	protein_coding
ENSG00000236125	ENST00000526929	8	1	7337115	7338707	USP17L4	protein_coding
ENSG00000215372	ENST00000400156	8	-1	7355517	7385558	ZNF705G	protein_coding
ENSG00000177257	ENST00000318157	8	-1	7414860	7416863	DEFB4B	protein_coding
ENSG00000177243	ENST00000318124	8	-1	7428888	7430348	DEFB103B	protein_coding
ENSG00000164871	ENST00000528943	8	-1	7442684	7463452	SPAG11B	protein_coding
ENSG00000164871	ENST00000359758	8	-1	7447753	7463526	SPAG11B	protein_coding
ENSG00000164871	ENST00000361111	8	-1	7447753	7463526	SPAG11B	protein_coding
ENSG00000164871	ENST00000297498	8	-1	7450563	7463670	SPAG11B	protein_coding
ENSG00000164871	ENST00000458665	8	-1	7450564	7452365	SPAG11B	protein_coding
ENSG00000164871	ENST00000528168	8	-1	7450603	7452365	SPAG11B	protein_coding
ENSG00000164871	ENST00000398462	8	-1	7450611	7463654	SPAG11B	protein_coding
ENSG00000164871	ENST00000317900	8	-1	7461114	7463674	SPAG11B	protein_coding
ENSG00000177023	ENST00000316169	8	-1	7470308	7475082	DEFB104B	protein_coding
ENSG00000187082	ENST00000335479	8	-1	7482504	7486400	DEFB106B	protein_coding
ENSG00000186599	ENST00000335510	8	1	7487669	7489593	DEFB105B	protein_coding
ENSG00000198129	ENST00000355602	8	1	7495846	7509311	DEFB107B	protein_coding
ENSG00000255251	ENST00000533250	8	1	7539628	7542450	PRR23D1	protein_coding
ENSG00000285975	ENST00000650288	8	-1	7556700	7559712	AC134684.11	protein_coding
ENSG00000285687	ENST00000648590	8	-1	7571995	7575006	AC134684.8	protein_coding
ENSG00000285765	ENST00000648435	8	-1	7579644	7582653	AC134684.9	protein_coding
ENSG00000285814	ENST00000648315	8	1	7715443	7718453	AC084121.9	protein_coding
ENSG00000285913	ENST00000647769	8	1	7723091	7726101	AC084121.11	protein_coding
ENSG00000285620	ENST00000648174	8	1	7730739	7733749	AC084121.6	protein_coding
ENSG00000285937	ENST00000647775	8	1	7738387	7741396	AC084121.12	protein_coding
ENSG00000285720	ENST00000650426	8	1	7746034	7749044	AC084121.8	protein_coding
ENSG00000285657	ENST00000647903	8	1	7753682	7756692	AC084121.7	protein_coding
ENSG00000285607	ENST00000648344	8	1	7761330	7764340	AC084121.5	protein_coding
ENSG00000285950	ENST00000533716	8	1	7768977	7771988	AC084121.13	protein_coding
ENSG00000255378	ENST00000528972	8	-1	7778591	7781413	PRR23D2	protein_coding
ENSG00000186572	ENST00000335021	8	-1	7811720	7815716	DEFB107A	protein_coding
ENSG00000186562	ENST00000334773	8	-1	7821966	7823889	DEFB105A	protein_coding
ENSG00000186579	ENST00000335186	8	1	7825172	7829053	DEFB106A	protein_coding
ENSG00000176782	ENST00000314265	8	1	7836471	7841242	DEFB104A	protein_coding
ENSG00000178287	ENST00000400125	8	1	7847876	7850436	SPAG11A	protein_coding
