ENSG00000198033	ENST00000400113	13	-1	19747910	19755992	TUBA3C	protein_coding
ENSG00000121388	ENST00000382988	13	1	19756173	19761496	RP11-408E5.4	protein_coding
ENSG00000132958	ENST00000382978	13	-1	19997017	20077417	TPTE2	protein_coding
ENSG00000132958	ENST00000255310	13	-1	19997023	20077419	TPTE2	protein_coding
ENSG00000132958	ENST00000400230	13	-1	19997023	20077419	TPTE2	protein_coding
ENSG00000132958	ENST00000400103	13	-1	19997023	20080080	TPTE2	protein_coding
ENSG00000132958	ENST00000390680	13	-1	19997192	20110902	TPTE2	protein_coding
ENSG00000132958	ENST00000382975	13	-1	19997192	20110903	TPTE2	protein_coding
ENSG00000132958	ENST00000382977	13	-1	19997192	20110903	TPTE2	protein_coding
ENSG00000132958	ENST00000457266	13	-1	19997192	20110903	TPTE2	protein_coding
ENSG00000196199	ENST00000414242	13	1	20207788	20245126	MPHOSPH8	protein_coding
ENSG00000196199	ENST00000361479	13	1	20207821	20247599	MPHOSPH8	protein_coding
ENSG00000196199	ENST00000449056	13	1	20242531	20246212	MPHOSPH8	protein_coding
ENSG00000269591	ENST00000601204	13	1	20268547	20269240	AL354808.2	protein_coding
ENSG00000121390	ENST00000338910	13	-1	20276640	20357057	PSPC1	protein_coding
ENSG00000121390	ENST00000427943	13	-1	20333487	20357142	PSPC1	protein_coding
ENSG00000132950	ENST00000337963	13	-1	20397624	20437776	ZMYM5	protein_coding
ENSG00000132950	ENST00000502168	13	-1	20397993	20426290	ZMYM5	protein_coding
ENSG00000132950	ENST00000382907	13	-1	20411593	20437648	ZMYM5	protein_coding
ENSG00000132950	ENST00000382905	13	-1	20411605	20437664	ZMYM5	protein_coding
ENSG00000121741	ENST00000382869	13	1	20532810	20665968	ZMYM2	protein_coding
ENSG00000121741	ENST00000382881	13	1	20532817	20594103	ZMYM2	protein_coding
ENSG00000121741	ENST00000382874	13	1	20532848	20663253	ZMYM2	protein_coding
ENSG00000121741	ENST00000382871	13	1	20532923	20660886	ZMYM2	protein_coding
ENSG00000121741	ENST00000382883	13	1	20579303	20635232	ZMYM2	protein_coding
ENSG00000121743	ENST00000241125	13	-1	20712394	20735188	GJA3	protein_coding
ENSG00000165474	ENST00000382848	13	-1	20761609	20767037	GJB2	protein_coding
ENSG00000165474	ENST00000382844	13	-1	20761611	20763919	GJB2	protein_coding
ENSG00000121742	ENST00000241124	13	-1	20796110	20805117	GJB6	protein_coding
ENSG00000121742	ENST00000400066	13	-1	20796110	20806440	GJB6	protein_coding
ENSG00000121742	ENST00000400065	13	-1	20796110	20806442	GJB6	protein_coding
ENSG00000121742	ENST00000356192	13	-1	20796110	20806534	GJB6	protein_coding
ENSG00000165475	ENST00000298248	13	-1	20977806	21099996	CRYL1	protein_coding
ENSG00000165475	ENST00000382812	13	-1	20977810	21099996	CRYL1	protein_coding
ENSG00000032742	ENST00000382778	13	1	21140585	21265501	IFT88	protein_coding
ENSG00000032742	ENST00000351808	13	1	21141208	21265501	IFT88	protein_coding
ENSG00000032742	ENST00000319980	13	1	21141277	21265503	IFT88	protein_coding
ENSG00000032742	ENST00000537103	13	1	21141291	21265501	IFT88	protein_coding
ENSG00000032742	ENST00000389373	13	1	21141305	21157155	IFT88	protein_coding
ENSG00000172458	ENST00000304920	13	1	21277482	21297237	IL17D	protein_coding
ENSG00000150456	ENST00000382758	13	-1	21302870	21348088	N6AMT2	protein_coding
ENSG00000150456	ENST00000382754	13	-1	21303070	21348057	N6AMT2	protein_coding
ENSG00000132953	ENST00000400602	13	-1	21351469	21476913	XPO4	protein_coding
ENSG00000132953	ENST00000255305	13	-1	21353014	21476949	XPO4	protein_coding
ENSG00000150457	ENST00000382592	13	-1	21547171	21635686	LATS2	protein_coding
ENSG00000150457	ENST00000542899	13	-1	21549009	21634429	LATS2	protein_coding
ENSG00000150459	ENST00000382533	13	1	21714653	21723221	SAP18	protein_coding
ENSG00000150459	ENST00000607003	13	1	21714717	21723221	SAP18	protein_coding
ENSG00000150459	ENST00000492245	13	1	21714754	21721552	SAP18	protein_coding
ENSG00000150459	ENST00000450573	13	1	21714913	21721458	SAP18	protein_coding
ENSG00000150459	ENST00000467636	13	1	21715025	21721742	SAP18	protein_coding
ENSG00000165480	ENST00000400018	13	-1	21727734	21750686	SKA3	protein_coding
ENSG00000165480	ENST00000314759	13	-1	21727734	21750741	SKA3	protein_coding
ENSG00000173141	ENST00000309594	13	1	21750784	21753223	MRP63	protein_coding
ENSG00000180776	ENST00000400590	13	-1	21950263	22033509	ZDHHC20	protein_coding
ENSG00000180776	ENST00000320220	13	-1	21950496	22033414	ZDHHC20	protein_coding
ENSG00000180776	ENST00000382466	13	-1	21950510	22033423	ZDHHC20	protein_coding
ENSG00000180776	ENST00000542645	13	-1	21950685	22033447	ZDHHC20	protein_coding
ENSG00000180776	ENST00000415724	13	-1	21952840	22033414	ZDHHC20	protein_coding
ENSG00000180776	ENST00000422251	13	-1	21978459	22033414	ZDHHC20	protein_coding
ENSG00000165487	ENST00000382374	13	-1	22066839	22178353	MICU2	protein_coding
ENSG00000165487	ENST00000468222	13	-1	22084222	22178320	MICU2	protein_coding
ENSG00000102678	ENST00000382353	13	1	22245522	22278637	FGF9	protein_coding
ENSG00000102683	ENST00000218867	13	1	23755091	23899304	SGCG	protein_coding
ENSG00000102683	ENST00000537476	13	1	23755105	23899080	SGCG	protein_coding
ENSG00000102683	ENST00000545013	13	1	23755145	23898680	SGCG	protein_coding
ENSG00000151835	ENST00000402364	13	-1	23902965	23949682	SACS	protein_coding
ENSG00000151835	ENST00000382292	13	-1	23902965	23985652	SACS	protein_coding
ENSG00000151835	ENST00000382298	13	-1	23902965	24007841	SACS	protein_coding
ENSG00000151835	ENST00000455470	13	-1	23902969	23942583	SACS	protein_coding
ENSG00000151835	ENST00000423156	13	-1	23902972	23929622	SACS	protein_coding
