<CHROM>	<START>	<END>	<TSB>
II	0	644	0
II	645	1126	2
II	1127	2580	0
II	2581	2897	1
II	2898	2905	0
II	2906	5007	1
II	5008	5788	0
II	5789	6123	2
II	6124	7603	0
II	7604	7731	1
II	7732	8175	0
II	8176	8480	2
II	8481	9266	0
II	9267	9370	2
II	9371	9581	0
II	9582	9664	2
II	9665	9959	0
II	9960	10549	1
II	10550	10845	0
II	10846	13877	1
II	13878	14239	0
II	14240	17694	1
II	17695	18175	0
II	18176	21291	1
II	21292	22074	0
II	22075	23534	1
II	23535	24096	0
II	24097	24743	2
II	24744	24944	0
II	24945	28297	1
II	28298	28425	0
II	28426	28544	2
II	28545	29933	0
II	29934	35246	2
II	35247	36396	0
II	36397	36486	2
II	36487	36987	0
II	36988	37051	1
II	37052	37301	3
II	37302	38688	2
II	38689	39143	0
II	39144	40525	2
II	40526	40829	0
II	40830	43093	2
II	43094	43172	0
II	43173	43275	1
II	43276	43480	3
II	43481	43763	2
II	43764	44087	3
II	44088	44095	1
II	44096	44254	0
II	44255	44916	1
II	44917	45976	0
II	45977	46368	2
II	46369	46563	0
II	46564	47178	1
II	47179	47361	0
II	47362	48626	1
II	48627	48823	0
II	48824	49356	2
II	49357	49572	0
II	49573	50951	2
II	50952	51017	0
II	51018	59380	1
II	59381	59820	0
II	59821	60737	1
II	60738	61200	0
II	61201	62600	1
II	62601	63874	0
II	63875	66816	2
II	66817	67167	0
II	67168	69443	1
II	69444	69711	0
II	69712	71125	1
II	71126	71864	0
II	71865	72970	2
II	72971	73068	0
II	73069	74693	1
II	74694	75257	0
II	75258	79765	2
II	79766	80376	0
II	80377	80729	1
II	80730	80895	0
II	80896	81041	2
II	81042	81326	3
II	81327	84259	1
II	84260	84497	0
II	84498	86446	1
II	86447	86720	0
II	86721	87644	1
II	87645	87787	3
II	87788	87955	2
II	87956	88188	0
II	88189	88275	2
II	88276	88521	0
II	88522	89123	1
II	89124	89456	0
II	89457	89554	1
II	89555	89976	0
II	89977	90221	2
II	90222	90224	3
II	90225	90529	1
II	90530	90603	0
II	90604	90739	1
II	90740	90923	3
II	90924	92028	2
II	92029	92412	0
II	92413	93392	2
II	93393	93637	0
II	93638	95880	1
II	95881	96667	0
II	96668	99961	1
II	99962	100113	3
II	100114	100305	2
II	100306	100369	0
II	100370	101154	1
II	101155	101884	0
II	101885	105219	2
II	105220	105306	0
II	105307	105314	2
II	105315	105686	3
II	105687	107404	1
II	107405	107930	0
II	107931	109993	2
II	109994	110123	0
II	110124	110537	1
II	110538	110592	0
II	110593	111242	2
II	111243	111435	0
II	111436	112706	2
II	112707	112799	0
II	112800	113425	1
II	113426	113760	0
II	113761	115166	2
II	115167	115571	0
II	115572	116827	1
II	116828	117587	0
II	117588	119164	2
II	119165	119333	0
II	119334	119377	2
II	119378	119707	3
II	119708	121872	1
II	121873	122751	0
II	122752	124757	1
II	124758	125123	0
II	125124	126117	2
II	126118	126826	0
II	126827	127242	2
II	127243	127297	0
II	127298	127608	2
II	127609	127893	0
II	127894	132038	1
II	132039	132422	0
II	132423	133747	2
II	133748	134141	0
II	134142	135514	1
II	135515	135996	0
II	135997	136364	2
II	136365	136686	0
II	136687	137459	2
II	137460	138339	0
II	138340	140258	1
II	140259	141245	0
II	141246	141970	2
II	141971	142110	0
II	142111	142866	1
II	142867	143391	0
II	143392	143570	2
II	143571	143987	0
II	143988	145726	1
II	145727	146185	0
II	146186	146883	2
II	146884	147207	0
II	147208	150284	2
II	150285	150445	0
II	150446	151218	1
II	151219	151491	0
II	151492	153608	1
II	153609	153846	0
II	153847	158387	1
II	158388	158654	0
II	158655	159691	1
II	159692	160182	0
II	160183	161327	2
II	161328	161697	0
II	161698	162713	2
II	162714	163039	0
II	163040	163995	1
II	163996	164486	0
II	164487	164770	1
II	164771	166132	0
II	166133	167262	2
II	167263	167516	0
II	167517	167836	1
II	167837	168421	0
II	168422	169374	2
II	169375	170621	0
II	170622	171036	2
II	171037	171479	0
II	171480	171916	2
II	171917	172532	0
II	172533	174586	2
II	174587	174918	0
II	174919	177524	1
II	177525	177872	0
II	177873	181273	1
II	181274	181658	0
II	181659	182092	1
II	182093	182399	0
II	182400	184123	2
II	184124	184351	0
II	184352	185913	2
II	185914	185996	0
II	185997	186472	1
II	186473	186842	0
II	186843	191581	1
II	191582	192449	0
II	192450	193510	2
II	193511	194120	0
II	194121	195700	2
II	195701	197492	0
II	197493	197565	2
II	197566	197627	0
II	197628	197697	1
II	197698	199062	0
II	199063	201746	1
II	201747	202054	0
II	202055	203259	2
II	203260	203404	0
II	203405	203536	1
II	203537	203805	3
II	203806	205815	2
II	205816	206105	0
II	206106	206947	1
II	206948	207192	0
II	207193	209222	2
