<CHROM>	<START>	<END>	<TSB>
Y	0	61648	0
Y	61649	133850	1
Y	133851	155154	0
Y	155155	180665	2
Y	180666	234229	0
Y	234230	280252	2
Y	280253	346984	0
Y	346985	365288	2
Y	365289	433302	0
Y	433303	582200	1
Y	582201	597156	0
Y	597157	623054	1
Y	623055	635398	0
Y	635399	796223	1
Y	796224	1855007	0
Y	1855008	1855342	2
Y	1855343	1918379	0
Y	1918380	1919566	1
Y	1919567	1976247	0
Y	1976248	1976582	1
Y	1976583	2041073	0
Y	2041074	2052132	1
Y	2052133	2086588	0
Y	2086589	2097766	2
Y	2097767	2118047	0
Y	2118048	2129043	2
Y	2129044	2156897	0
Y	2156898	2168118	2
Y	2168119	2390388	0
Y	2390389	2398854	2
Y	2398855	2550260	0
Y	2550261	2552955	2
