ENSG00000272636	ENST00000343572	17	-1	5810	31427	DOC2B	protein_coding
ENSG00000181031	ENST00000331302	17	-1	62293	202598	RPH3AL	protein_coding
ENSG00000181031	ENST00000323434	17	-1	62293	202888	RPH3AL	protein_coding
ENSG00000181031	ENST00000536489	17	-1	63436	202633	RPH3AL	protein_coding
ENSG00000181031	ENST00000576420	17	-1	96911	188836	RPH3AL	protein_coding
ENSG00000181031	ENST00000577079	17	-1	96935	202581	RPH3AL	protein_coding
ENSG00000181031	ENST00000574722	17	-1	96982	180818	RPH3AL	protein_coding
ENSG00000181031	ENST00000570638	17	-1	97058	188902	RPH3AL	protein_coding
ENSG00000181031	ENST00000574953	17	-1	111480	177322	RPH3AL	protein_coding
ENSG00000181031	ENST00000573780	17	-1	131560	236045	RPH3AL	protein_coding
ENSG00000181031	ENST00000575736	17	-1	131619	189450	RPH3AL	protein_coding
ENSG00000181031	ENST00000575130	17	-1	169232	236024	RPH3AL	protein_coding
ENSG00000181031	ENST00000575634	17	-1	169298	191214	RPH3AL	protein_coding
ENSG00000181031	ENST00000573588	17	-1	169313	183857	RPH3AL	protein_coding
ENSG00000181031	ENST00000573448	17	-1	171171	188664	RPH3AL	protein_coding
ENSG00000187624	ENST00000360127	17	1	260118	264457	C17orf97	protein_coding
ENSG00000187624	ENST00000571106	17	1	260128	270888	C17orf97	protein_coding
ENSG00000187624	ENST00000491373	17	1	260152	264096	C17orf97	protein_coding
ENSG00000183688	ENST00000329099	17	-1	289769	295730	FAM101B	protein_coding
ENSG00000141252	ENST00000437048	17	-1	411908	618096	VPS53	protein_coding
ENSG00000141252	ENST00000574029	17	-1	420622	618070	VPS53	protein_coding
ENSG00000141252	ENST00000446250	17	-1	435208	618096	VPS53	protein_coding
ENSG00000141252	ENST00000291074	17	-1	435558	618083	VPS53	protein_coding
ENSG00000141252	ENST00000571805	17	-1	435948	618086	VPS53	protein_coding
ENSG00000141252	ENST00000401468	17	-1	436067	617949	VPS53	protein_coding
ENSG00000141252	ENST00000570650	17	-1	504120	531471	VPS53	protein_coding
ENSG00000141252	ENST00000576019	17	-1	556566	624957	VPS53	protein_coding
ENSG00000167695	ENST00000308278	17	1	635652	646206	FAM57A	protein_coding
ENSG00000167695	ENST00000572018	17	1	635786	644605	FAM57A	protein_coding
ENSG00000167695	ENST00000301324	17	1	635824	646081	FAM57A	protein_coding
ENSG00000167695	ENST00000577008	17	1	636365	645254	FAM57A	protein_coding
ENSG00000179409	ENST00000319004	17	-1	647654	655501	GEMIN4	protein_coding
ENSG00000179409	ENST00000576778	17	-1	647863	652591	GEMIN4	protein_coding
ENSG00000179409	ENST00000437269	17	-1	649871	655414	GEMIN4	protein_coding
ENSG00000179409	ENST00000573482	17	-1	650407	655425	GEMIN4	protein_coding
ENSG00000179409	ENST00000570364	17	-1	650480	656016	GEMIN4	protein_coding
ENSG00000179409	ENST00000576383	17	-1	650681	657239	GEMIN4	protein_coding
ENSG00000179409	ENST00000574958	17	-1	651084	655278	GEMIN4	protein_coding
ENSG00000167699	ENST00000301329	17	-1	662337	685581	GLOD4	protein_coding
ENSG00000167699	ENST00000301328	17	-1	662570	685519	GLOD4	protein_coding
ENSG00000167699	ENST00000536578	17	-1	663262	685507	GLOD4	protein_coding
ENSG00000167699	ENST00000573137	17	-1	663313	674644	GLOD4	protein_coding
ENSG00000167699	ENST00000576419	17	-1	663428	685519	GLOD4	protein_coding
ENSG00000171861	ENST00000304478	17	1	685513	695749	RNMTL1	protein_coding
ENSG00000171861	ENST00000571157	17	1	685840	691438	RNMTL1	protein_coding
ENSG00000167693	ENST00000575801	17	-1	702553	767351	NXN	protein_coding
ENSG00000167693	ENST00000336868	17	-1	702553	883010	NXN	protein_coding
ENSG00000167693	ENST00000538650	17	-1	703721	725698	NXN	protein_coding
ENSG00000167693	ENST00000571684	17	-1	703721	729241	NXN	protein_coding
ENSG00000167693	ENST00000537628	17	-1	704008	767337	NXN	protein_coding
ENSG00000262003	ENST00000576252	17	1	812872	814452	RP11-676J12.7	protein_coding
ENSG00000177370	ENST00000327158	17	1	900357	906911	TIMM22	protein_coding
ENSG00000159842	ENST00000302538	17	-1	906758	1083168	ABR	protein_coding
ENSG00000159842	ENST00000544583	17	-1	906767	1090616	ABR	protein_coding
ENSG00000159842	ENST00000572441	17	-1	908250	935042	ABR	protein_coding
ENSG00000159842	ENST00000571797	17	-1	908975	915160	ABR	protein_coding
ENSG00000159842	ENST00000574437	17	-1	909031	1029090	ABR	protein_coding
ENSG00000159842	ENST00000291107	17	-1	909148	1012340	ABR	protein_coding
ENSG00000159842	ENST00000543210	17	-1	909301	935078	ABR	protein_coding
ENSG00000159842	ENST00000536794	17	-1	909320	982386	ABR	protein_coding
ENSG00000159842	ENST00000573559	17	-1	909358	914628	ABR	protein_coding
ENSG00000159842	ENST00000574544	17	-1	953794	973223	ABR	protein_coding
ENSG00000159842	ENST00000571945	17	-1	970357	982362	ABR	protein_coding
ENSG00000159842	ENST00000570441	17	-1	975973	1018676	ABR	protein_coding
ENSG00000159842	ENST00000575934	17	-1	986762	1132298	ABR	protein_coding
ENSG00000159842	ENST00000574139	17	-1	994909	1132298	ABR	protein_coding
ENSG00000159842	ENST00000570525	17	-1	995032	1029880	ABR	protein_coding
