ENSG00000177706	ENST00000313766	7	1	192969	260745	FAM20C	protein_coding
ENSG00000248767	ENST00000506382	7	1	290170	291488	AC187653.1	protein_coding
ENSG00000197461	ENST00000402802	7	-1	497258	519409	PDGFA	protein_coding
ENSG00000197461	ENST00000354513	7	-1	498309	519394	PDGFA	protein_coding
ENSG00000197461	ENST00000400761	7	-1	498493	518508	PDGFA	protein_coding
ENSG00000197461	ENST00000405692	7	-1	512357	520296	PDGFA	protein_coding
ENSG00000188191	ENST00000544935	7	-1	549197	712940	PRKAR1B	protein_coding
ENSG00000188191	ENST00000537384	7	-1	549197	727341	PRKAR1B	protein_coding
ENSG00000188191	ENST00000406797	7	-1	549198	713207	PRKAR1B	protein_coding
ENSG00000188191	ENST00000403562	7	-1	549742	727650	PRKAR1B	protein_coding
ENSG00000188191	ENST00000360274	7	-1	549750	712572	PRKAR1B	protein_coding
ENSG00000188191	ENST00000400758	7	-1	550270	602683	PRKAR1B	protein_coding
ENSG00000188191	ENST00000430040	7	-1	579256	712940	PRKAR1B	protein_coding
ENSG00000188191	ENST00000414568	7	-1	596180	691794	PRKAR1B	protein_coding
ENSG00000188191	ENST00000417852	7	-1	607396	727341	PRKAR1B	protein_coding
ENSG00000188191	ENST00000456696	7	-1	680556	713069	PRKAR1B	protein_coding
ENSG00000164818	ENST00000297440	7	1	726701	786475	DNAAF5	protein_coding
ENSG00000164818	ENST00000437419	7	1	727219	756792	DNAAF5	protein_coding
ENSG00000164818	ENST00000440747	7	1	727255	786031	DNAAF5	protein_coding
ENSG00000164818	ENST00000403952	7	1	768475	786044	DNAAF5	protein_coding
ENSG00000164828	ENST00000457378	7	1	816615	843872	SUN1	protein_coding
ENSG00000164828	ENST00000389574	7	1	816615	874902	SUN1	protein_coding
ENSG00000164828	ENST00000452783	7	1	816615	874920	SUN1	protein_coding
ENSG00000164828	ENST00000435699	7	1	816623	843385	SUN1	protein_coding
ENSG00000164828	ENST00000440380	7	1	816643	838986	SUN1	protein_coding
