ENSG00000178591	ENST00000382410	20	1	87710	96533	DEFB125	protein_coding
ENSG00000125788	ENST00000382398	20	1	142369	145751	DEFB126	protein_coding
ENSG00000088782	ENST00000382388	20	1	157470	159163	DEFB127	protein_coding
ENSG00000185982	ENST00000334391	20	-1	187853	189681	DEFB128	protein_coding
ENSG00000125903	ENST00000246105	20	1	227258	229886	DEFB129	protein_coding
ENSG00000186458	ENST00000382376	20	1	257736	261096	DEFB132	protein_coding
ENSG00000196476	ENST00000382369	20	-1	270863	290429	C20orf96	protein_coding
ENSG00000196476	ENST00000360321	20	-1	270863	290749	C20orf96	protein_coding
ENSG00000196476	ENST00000400269	20	-1	270863	290778	C20orf96	protein_coding
ENSG00000247315	ENST00000500893	20	1	296968	300321	ZCCHC3	protein_coding
ENSG00000177732	ENST00000342665	20	1	325595	330224	SOX12	protein_coding
ENSG00000125841	ENST00000609179	20	1	346782	353493	NRSN2	protein_coding
ENSG00000125841	ENST00000382291	20	1	347024	354868	NRSN2	protein_coding
ENSG00000125841	ENST00000609504	20	1	347105	353502	NRSN2	protein_coding
ENSG00000125841	ENST00000382285	20	1	347105	353829	NRSN2	protein_coding
ENSG00000125841	ENST00000608467	20	1	347120	359405	NRSN2	protein_coding
ENSG00000125841	ENST00000470439	20	1	348300	353503	NRSN2	protein_coding
ENSG00000125841	ENST00000608736	20	1	349249	359660	NRSN2	protein_coding
ENSG00000125841	ENST00000621012	20	1	349633	354861	NRSN2	protein_coding
ENSG00000125841	ENST00000608875	20	1	349726	354848	NRSN2	protein_coding
ENSG00000101255	ENST00000615226	20	1	362835	391386	TRIB3	protein_coding
ENSG00000101255	ENST00000217233	20	1	380617	397559	TRIB3	protein_coding
ENSG00000101255	ENST00000449710	20	1	381246	396428	TRIB3	protein_coding
ENSG00000101255	ENST00000422053	20	1	381297	396748	TRIB3	protein_coding
ENSG00000125826	ENST00000411647	20	1	407498	417822	RBCK1	protein_coding
ENSG00000125826	ENST00000356286	20	1	408053	430966	RBCK1	protein_coding
ENSG00000125826	ENST00000640614	20	1	408065	430964	RBCK1	protein_coding
ENSG00000125826	ENST00000475269	20	1	408078	410764	RBCK1	protein_coding
ENSG00000125826	ENST00000441733	20	1	408147	417823	RBCK1	protein_coding
ENSG00000125826	ENST00000353660	20	1	408171	430966	RBCK1	protein_coding
ENSG00000125826	ENST00000382181	20	1	408313	430966	RBCK1	protein_coding
ENSG00000125826	ENST00000400247	20	1	408343	410764	RBCK1	protein_coding
ENSG00000125826	ENST00000414880	20	1	409884	419642	RBCK1	protein_coding
ENSG00000125875	ENST00000354200	20	-1	435480	462553	TBC1D20	protein_coding
ENSG00000101266	ENST00000646561	20	-1	472498	543835	CSNK2A1	protein_coding
ENSG00000101266	ENST00000643660	20	-1	472508	543732	CSNK2A1	protein_coding
ENSG00000101266	ENST00000645623	20	-1	473261	543738	CSNK2A1	protein_coding
ENSG00000101266	ENST00000619801	20	-1	473337	488736	CSNK2A1	protein_coding
ENSG00000101266	ENST00000400227	20	-1	478465	543696	CSNK2A1	protein_coding
ENSG00000101266	ENST00000349736	20	-1	481110	543792	CSNK2A1	protein_coding
ENSG00000101266	ENST00000217244	20	-1	481125	543823	CSNK2A1	protein_coding
ENSG00000101266	ENST00000646305	20	-1	481192	543712	CSNK2A1	protein_coding
ENSG00000101266	ENST00000645260	20	-1	481623	543727	CSNK2A1	protein_coding
ENSG00000101266	ENST00000642689	20	-1	482711	543732	CSNK2A1	protein_coding
ENSG00000101266	ENST00000645234	20	-1	482715	543712	CSNK2A1	protein_coding
ENSG00000101266	ENST00000646814	20	-1	482722	543712	CSNK2A1	protein_coding
ENSG00000101266	ENST00000644885	20	-1	482724	543712	CSNK2A1	protein_coding
ENSG00000101266	ENST00000646477	20	-1	482724	543732	CSNK2A1	protein_coding
ENSG00000101266	ENST00000644710	20	-1	482748	543735	CSNK2A1	protein_coding
