ENSRNOG00000065359	ENSRNOT00000116931	7	-1	340974	342280	lncRNA
ENSRNOG00000065359	ENSRNOT00000119885	7	-1	341022	342280	lncRNA
ENSRNOG00000067773	ENSRNOT00000098636	7	-1	348423	352322	protein_coding
ENSRNOG00000067773	ENSRNOT00000051488	7	-1	348423	352322	protein_coding
ENSRNOG00000068259	ENSRNOT00000110353	7	-1	355251	356246	LOC103692755	protein_coding
ENSRNOG00000064636	ENSRNOT00000118534	7	-1	365492	369191	lncRNA
ENSRNOG00000065277	ENSRNOT00000096400	7	1	366666	393471	lncRNA
ENSRNOG00000064649	ENSRNOT00000114487	7	-1	380191	385136	lncRNA
ENSRNOG00000067735	ENSRNOT00000117921	7	-1	407608	417250	lncRNA
ENSRNOG00000067735	ENSRNOT00000118357	7	-1	407684	413869	lncRNA
ENSRNOG00000002597	ENSRNOT00000003498	7	-1	422480	441958	Hsd17b6	protein_coding
ENSRNOG00000002597	ENSRNOT00000103179	7	-1	422480	442425	Hsd17b6	protein_coding
ENSRNOG00000031993	ENSRNOT00000065593	7	1	431805	462526	Prim1	protein_coding
ENSRNOG00000031993	ENSRNOT00000100470	7	1	438080	462526	Prim1	protein_coding
ENSRNOG00000031993	ENSRNOT00000114099	7	1	446361	450546	Prim1	protein_coding
ENSRNOG00000002632	ENSRNOT00000003550	7	1	469723	481985	Naca	protein_coding
ENSRNOG00000002632	ENSRNOT00000085092	7	1	469747	481992	Naca	protein_coding
ENSRNOG00000002632	ENSRNOT00000075681	7	1	470595	481992	Naca	protein_coding
ENSRNOG00000002642	ENSRNOT00000003787	7	1	490656	507752	Ptges3	protein_coding
ENSRNOG00000002642	ENSRNOT00000104676	7	1	490679	508084	Ptges3	protein_coding
ENSRNOG00000002642	ENSRNOT00000094676	7	1	490703	507571	Ptges3	protein_coding
ENSRNOG00000002642	ENSRNOT00000101866	7	1	491055	508084	Ptges3	protein_coding
ENSRNOG00000002642	ENSRNOT00000097314	7	1	499595	508084	Ptges3	protein_coding
ENSRNOG00000002642	ENSRNOT00000097618	7	1	499609	508084	Ptges3	protein_coding
ENSRNOG00000002642	ENSRNOT00000097034	7	1	499952	507571	Ptges3	protein_coding
ENSRNOG00000002840	ENSRNOT00000003965	7	1	515460	567273	Atp5f1b	protein_coding
ENSRNOG00000058093	ENSRNOT00000091815	7	1	516291	516366	Snord59al1	snoRNA
ENSRNOG00000057249	ENSRNOT00000089900	7	1	517080	517151	LOC120093948	snoRNA
ENSRNOG00000053881	ENSRNOT00000107364	7	1	523265	560659	Baz2a	protein_coding
ENSRNOG00000053881	ENSRNOT00000079383	7	1	528381	557625	Baz2a	protein_coding
ENSRNOG00000053881	ENSRNOT00000111243	7	1	528381	560659	Baz2a	protein_coding
ENSRNOG00000003076	ENSRNOT00000118787	7	-1	560648	600138	Rbms2	protein_coding
ENSRNOG00000003076	ENSRNOT00000088619	7	-1	560724	600135	Rbms2	protein_coding
ENSRNOG00000003076	ENSRNOT00000048848	7	-1	564439	600232	Rbms2	protein_coding
ENSRNOG00000031612	ENSRNOT00000018737	7	1	617288	633423	Gls2	protein_coding
ENSRNOG00000031612	ENSRNOT00000105072	7	1	617288	633423	Gls2	protein_coding
ENSRNOG00000031612	ENSRNOT00000113202	7	1	617288	633423	Gls2	protein_coding
ENSRNOG00000031612	ENSRNOT00000108866	7	1	617288	633423	Gls2	protein_coding
ENSRNOG00000031612	ENSRNOT00000095875	7	1	617478	633157	Gls2	protein_coding
