ENSMUSG00000017688	ENSMUST00000108394	3	1	3699210	3723112	Hnf4g	protein_coding
ENSMUSG00000025255	ENSMUST00000175866	3	1	5283586	5478225	Zfhx4	protein_coding
ENSMUSG00000025255	ENSMUST00000026284	3	1	5283614	5480915	Zfhx4	protein_coding
ENSMUSG00000025255	ENSMUST00000176175	3	1	5286565	5307078	Zfhx4	protein_coding
ENSMUSG00000025255	ENSMUST00000176383	3	1	5306732	5480917	Zfhx4	protein_coding
ENSMUSG00000040374	ENSMUST00000165309	3	-1	5625248	5641210	Pex2	protein_coding
ENSMUSG00000040374	ENSMUST00000164828	3	-1	5625248	5641210	Pex2	protein_coding
ENSMUSG00000040374	ENSMUST00000191916	3	-1	5625559	5628789	Pex2	protein_coding
ENSMUSG00000040374	ENSMUST00000195855	3	-1	5625560	5641205	Pex2	protein_coding
ENSMUSG00000040374	ENSMUST00000059021	3	-1	5625560	5641299	Pex2	protein_coding
ENSMUSG00000040374	ENSMUST00000071280	3	-1	5625564	5641188	Pex2	protein_coding
ENSMUSG00000103034	ENSMUST00000192045	3	1	5815866	5816355	Gm8797	protein_coding
ENSMUSG00000069118	ENSMUST00000091364	3	-1	6680478	6685503	1700008P02Rik	protein_coding
ENSMUSG00000027499	ENSMUST00000192468	3	1	7431729	7502575	Pkia	protein_coding
ENSMUSG00000027499	ENSMUST00000028999	3	1	7431730	7510426	Pkia	protein_coding
ENSMUSG00000027499	ENSMUST00000193330	3	1	7494118	7507473	Pkia	protein_coding
ENSMUSG00000043542	ENSMUST00000051064	3	1	7568543	7618896	Zc2hc1a	protein_coding
ENSMUSG00000043542	ENSMUST00000193010	3	1	7568546	7617135	Zc2hc1a	protein_coding
ENSMUSG00000040329	ENSMUST00000194279	3	-1	7635054	7678787	Il7	protein_coding
ENSMUSG00000040329	ENSMUST00000168269	3	-1	7637088	7670924	Il7	protein_coding
ENSMUSG00000040329	ENSMUST00000194184	3	-1	7638187	7677953	Il7	protein_coding
ENSMUSG00000040329	ENSMUST00000192202	3	-1	7638242	7678820	Il7	protein_coding
ENSMUSG00000027500	ENSMUST00000029002	3	1	8574420	8626666	Stmn2	protein_coding
ENSMUSG00000040289	ENSMUST00000042412	3	-1	8728419	8732316	Hey1	protein_coding
ENSMUSG00000040269	ENSMUST00000042148	3	-1	8867206	8988978	Mrps28	protein_coding
ENSMUSG00000027506	ENSMUST00000120143	3	-1	8990653	9069783	Tpd52	protein_coding
ENSMUSG00000027506	ENSMUST00000091355	3	-1	8993686	9069538	Tpd52	protein_coding
ENSMUSG00000027506	ENSMUST00000091354	3	-1	8994658	9029106	Tpd52	protein_coding
ENSMUSG00000027506	ENSMUST00000094381	3	-1	8995848	9029108	Tpd52	protein_coding
ENSMUSG00000027506	ENSMUST00000121038	3	-1	8995952	9058950	Tpd52	protein_coding
ENSMUSG00000027506	ENSMUST00000063496	3	-1	8996016	9069499	Tpd52	protein_coding
ENSMUSG00000027506	ENSMUST00000145905	3	-1	8996124	9027313	Tpd52	protein_coding
ENSMUSG00000027506	ENSMUST00000134788	3	-1	8996199	9069538	Tpd52	protein_coding
ENSMUSG00000027506	ENSMUST00000124956	3	-1	9009756	9053696	Tpd52	protein_coding
ENSMUSG00000069114	ENSMUST00000155203	3	1	9315662	9350393	Zbtb10	protein_coding
ENSMUSG00000040209	ENSMUST00000041124	3	-1	9492080	9675145	Zfp704	protein_coding
ENSMUSG00000040209	ENSMUST00000193947	3	-1	9503352	9630359	Zfp704	protein_coding
ENSMUSG00000027508	ENSMUST00000161949	3	-1	9752539	9898739	Pag1	protein_coding
ENSMUSG00000027508	ENSMUST00000108384	3	-1	9756958	9898690	Pag1	protein_coding
ENSMUSG00000027533	ENSMUST00000029046	3	1	10077608	10081667	Fabp5	protein_coding
ENSMUSG00000049230	ENSMUST00000061419	3	1	10153170	10157625	Gm9833	protein_coding
