<CHROM>	<START>	<END>	<TSB>
VII	0	5310	0
VII	5311	5837	2
VII	5838	6288	0
VII	6289	6650	1
VII	6651	6858	0
VII	6859	7088	2
VII	7089	8468	0
VII	8469	8965	2
VII	8966	9160	0
VII	9161	9393	2
VII	9394	11108	0
VII	11109	11728	2
VII	11729	12479	0
VII	12480	14155	1
VII	14156	15157	0
VII	15158	16305	2
VII	16306	20976	0
VII	20977	22106	2
VII	22107	22302	0
VII	22303	23201	2
VII	23202	23933	0
VII	23934	25393	2
VII	25394	25716	0
VII	25717	27482	1
VII	27483	27919	0
VII	27920	31634	1
VII	31635	31908	0
VII	31909	32633	2
VII	32634	33096	0
VII	33097	33107	2
VII	33108	35011	3
VII	35012	35210	2
VII	35211	35651	0
VII	35652	36760	2
VII	36761	36931	0
VII	36932	37524	2
VII	37525	37615	0
VII	37616	38778	1
VII	38779	39021	0
VII	39022	41147	2
VII	41148	41496	0
VII	41497	43172	2
VII	43173	43305	0
VII	43306	44507	2
VII	44508	44650	0
VII	44651	45195	1
VII	45196	45443	0
VII	45444	48457	2
VII	48458	48611	0
VII	48612	49363	2
VII	49364	49429	0
VII	49430	49550	1
VII	49551	49743	3
VII	49744	52432	2
VII	52433	52729	0
VII	52730	53526	1
VII	53527	53785	0
VII	53786	55277	1
VII	55278	55794	3
VII	55795	55813	2
VII	55814	56480	0
VII	56481	58888	2
VII	58889	59120	0
VII	59121	61852	2
VII	61853	62073	0
VII	62074	63000	2
VII	63001	63046	0
VII	63047	63618	1
VII	63619	63770	0
VII	63771	64213	1
VII	64214	64501	0
VII	64502	66957	1
VII	66958	67596	0
VII	67597	69329	2
VII	69330	69669	0
VII	69670	72545	2
VII	72546	72747	0
VII	72748	73156	1
VII	73157	73338	0
VII	73339	73709	2
VII	73710	73827	0
VII	73828	73900	1
VII	73901	76892	0
VII	76893	77905	2
VII	77906	78013	0
VII	78014	78855	1
VII	78856	79110	0
VII	79111	80363	1
VII	80364	80657	0
VII	80658	81184	1
VII	81185	81424	0
VII	81425	82290	1
VII	82291	82372	0
VII	82373	82734	2
VII	82735	82876	0
VII	82877	83648	1
VII	83649	84255	3
VII	84256	84298	2
VII	84299	84837	0
VII	84838	84883	1
VII	84884	85178	3
VII	85179	87300	2
VII	87301	87979	0
VII	87980	89337	2
VII	89338	90008	0
VII	90009	90052	2
VII	90053	90493	3
VII	90494	91245	1
VII	91246	91430	0
VII	91431	92380	2
VII	92381	92510	0
VII	92511	93589	2
VII	93590	93790	0
VII	93791	94458	2
VII	94459	95856	0
VII	95857	97004	2
VII	97005	97336	0
VII	97337	98583	2
VII	98584	98967	0
VII	98968	102074	2
VII	102075	102541	0
VII	102542	107502	1
VII	107503	108156	0
VII	108157	110402	2
VII	110403	110623	0
VII	110624	110694	1
VII	110695	111698	0
VII	111699	112003	1
VII	112004	112473	0
VII	112474	114662	1
VII	114663	115486	0
VII	115487	115581	2
VII	115582	116057	0
VII	116058	117559	2
VII	117560	117852	0
VII	117853	120905	1
VII	120906	122267	0
VII	122268	122339	2
VII	122340	122692	0
VII	122693	123303	1
VII	123304	123570	0
VII	123571	123589	1
VII	123590	124040	3
VII	124041	124296	2
VII	124297	124696	0
VII	124697	129159	2
VII	129160	129881	0
VII	129882	131167	2
VII	131168	131523	0
VII	131524	139541	2
VII	139542	139717	0
VII	139718	139959	1
VII	139960	140366	0
VII	140367	141724	1
VII	141725	141896	0
VII	141897	142244	1
VII	142245	144046	3
VII	144047	144118	1
VII	144119	144806	0
VII	144807	145195	2
VII	145196	145807	0
VII	145808	147387	1
VII	147388	148227	0
VII	148228	148586	1
VII	148587	148822	0
VII	148823	148962	1
VII	148963	149341	0
VII	149342	149514	1
VII	149515	149702	0
VII	149703	150169	1
VII	150170	151035	0
VII	151036	152774	1
VII	152775	153165	0
VII	153166	154304	1
VII	154305	154613	0
VII	154614	156010	1
VII	156011	156541	0
VII	156542	157594	1
VII	157595	157904	0
VII	157905	159094	2
VII	159095	160063	0
VII	160064	162756	2
VII	162757	163407	0
VII	163408	165089	1
VII	165090	167350	0
VII	167351	170569	2
VII	170570	171413	0
VII	171414	173077	1
VII	173078	173283	0
VII	173284	174320	1
VII	174321	174543	0
VII	174544	175343	2
VII	175344	175525	0
VII	175526	180111	1
VII	180112	180698	0
VII	180699	182116	2
VII	182117	182388	0
VII	182389	184082	2
VII	184083	184151	0
VII	184152	185392	1
VII	185393	185712	0
VII	185713	185784	1
VII	185785	186057	0
VII	186058	187337	2
VII	187338	187462	0
VII	187463	187614	2
VII	187615	187794	3
VII	187795	190466	1
VII	190467	191127	0
VII	191128	191396	2
VII	191397	191804	3
VII	191805	191974	1
VII	191975	191976	0
VII	191977	193298	1
VII	193299	193705	0
VII	193706	196401	1
VII	196402	198136	0
VII	198137	199035	2
VII	199036	199208	0
VII	199209	200140	1
VII	200141	200559	0
VII	200560	202271	2
VII	202272	202719	0
VII	202720	203831	2
VII	203832	205519	0
VII	205520	205632	2
VII	205633	207031	0
VII	207032	208569	2
VII	208570	209004	0
VII	209005	210047	2
VII	210048	210414	0
VII	210415	213665	2
VII	213666	214079	0
VII	214080	215209	2
VII	215210	215276	0
VII	215277	216094	1
VII	216095	216271	0
VII	216272	216690	2
VII	216691	217296	3
VII	217297	217367	1
VII	217368	217522	0
VII	217523	220920	2
VII	220921	221102	0
VII	221103	225570	1
VII	225571	225571	3
VII	225572	225875	2
VII	225876	226397	0
VII	226398	227527	2
VII	227528	227752	0
VII	227753	228327	1
VII	228328	228749	0
VII	228750	229684	1
VII	229685	230241	0
VII	230242	232346	2
VII	232347	232448	0
VII	232449	234505	1
VII	234506	234715	0
VII	234716	235956	1
VII	235957	236267	0
VII	236268	238117	1
VII	238118	238351	0
VII	238352	241083	2
VII	241084	241351	0
VII	241352	245010	1
VII	245011	245714	0
VII	245715	248122	2
VII	248123	248492	0
VII	248493	249529	1
VII	249530	249867	0
VII	249868	252736	2
VII	252737	252895	0
VII	252896	253857	1
VII	253858	254639	0
VII	254640	255292	2
VII	255293	255661	0
VII	255662	256962	2
VII	256963	257705	0
VII	257706	261499	2
VII	261500	261578	0
VII	261579	261646	2
VII	261647	261913	3
VII	261914	265857	1
VII	265858	266143	0
VII	266144	267522	2
VII	267523	267721	0
VII	267722	269073	1
VII	269074	269291	0
VII	269292	270142	1
VII	270143	270390	0
VII	270391	270773	1
VII	270774	270995	0
VII	270996	272137	2
VII	272138	272518	0
VII	272519	274320	2
VII	274321	274778	0
VII	274779	276712	1
VII	276713	277615	0
VII	277616	277632	2
VII	277633	277862	3
VII	277863	278379	2
VII	278380	278944	0
VII	278945	280521	1
VII	280522	280775	0
VII	280776	281155	1
VII	281156	281632	0
VII	281633	283935	1
VII	283936	284440	0
VII	284441	285945	2
VII	285946	287348	0
VII	287349	287453	1
VII	287454	288012	0
VII	288013	288449	1
VII	288450	288510	0
VII	288511	289307	2
VII	289308	289807	0
VII	289808	291639	2
VII	291640	292031	0
VII	292032	292999	2
VII	293000	293458	0
VII	293459	295635	2
VII	295636	295930	0
VII	295931	297936	2
VII	297937	298176	0
VII	298177	299726	1
VII	299727	299976	0
VII	299977	301367	2
VII	301368	301535	0
VII	301536	303409	1
VII	303410	303511	0
VII	303512	303647	2
VII	303648	303834	3
VII	303835	304069	1
VII	304070	304331	0
VII	304332	306271	1
VII	306272	306558	0
VII	306559	307007	2
VII	307008	307435	0
VII	307436	308565	2
VII	308566	308711	0
VII	308712	310171	1
VII	310172	310965	0
VII	310966	311503	2
VII	311504	311925	3
VII	311926	311931	1
VII	311932	312191	0
VII	312192	312838	2
VII	312839	313232	0
VII	313233	314281	2
VII	314282	314629	0
VII	314630	316551	2
VII	316552	316786	0
VII	316787	317053	2
VII	317054	317340	0
VII	317341	318077	2
VII	318078	319779	0
VII	319780	319850	2
VII	319851	321780	0
VII	321781	323228	2
VII	323229	325329	0
VII	325330	326159	2
VII	326160	328581	0
VII	328582	328652	2
VII	328653	328872	0
VII	328873	330605	1
VII	330606	331116	0
VII	331117	334463	1
VII	334464	334884	0
VII	334885	337637	2
VII	337638	337904	0
VII	337905	341857	2
VII	341858	342054	0
VII	342055	343040	1
VII	343041	343317	0
VII	343318	344582	2
VII	344583	344789	0
VII	344790	345151	1
VII	345152	345834	0
VII	345835	346228	2
VII	346229	346404	0
VII	346405	346902	1
VII	346903	347117	0
VII	347118	349366	2
VII	349367	349614	0
VII	349615	350438	2
VII	350439	350614	0
VII	350615	352296	1
VII	352297	353056	0
VII	353057	355470	2
VII	355471	355825	0
VII	355826	356970	2
VII	356971	357375	0
VII	357376	358337	2
VII	358338	358634	0
VII	358635	359026	2
VII	359027	359442	0
VII	359443	360098	2
VII	360099	360286	0
VII	360287	361857	1
VII	361858	362223	0
VII	362224	363914	1
VII	363915	364333	0
VII	364334	365994	1
VII	365995	366372	0
VII	366373	366467	1
VII	366468	366923	0
VII	366924	368086	1
VII	368087	368594	0
VII	368595	368751	1
VII	368752	368920	3
VII	368921	371001	2
VII	371002	371252	3
VII	371253	371360	1
VII	371361	372010	0
VII	372011	374082	2
VII	374083	374457	0
VII	374458	374825	1
VII	374826	375048	0
VII	375049	375085	1
VII	375086	375512	3
VII	375513	375669	2
VII	375670	376099	0
VII	376100	377253	2
VII	377254	377607	0
VII	377608	379580	2
VII	379581	379758	0
VII	379759	381269	1
VII	381270	381521	0
VII	381522	383206	1
VII	383207	383652	0
VII	383653	384500	2
VII	384501	384649	3
VII	384650	384764	2
VII	384765	385194	0
VII	385195	388730	2
VII	388731	388966	0
VII	388967	389709	1
VII	389710	390063	0
VII	390064	391988	2
VII	391989	392221	0
VII	392222	393696	2
VII	393697	393984	0
VII	393985	394502	2
VII	394503	394964	0
VII	394965	395827	1
VII	395828	396033	0
VII	396034	397616	1
VII	397617	398626	0
VII	398627	400158	2
VII	400159	400869	0
VII	400870	401285	1
VII	401286	401525	0
VII	401526	401596	1
VII	401597	402587	0
VII	402588	403300	2
VII	403301	403435	0
VII	403436	404389	2
VII	404390	405468	0
VII	405469	405539	2
VII	405540	405774	0
VII	405775	406595	2
VII	406596	406858	0
