<CHROM>	<START>	<END>	<TSB>
XVI	0	641	0
XVI	642	1123	2
XVI	1124	1424	0
XVI	1425	1999	2
XVI	2000	7931	0
XVI	7932	8425	1
XVI	8426	9555	0
XVI	9556	10868	1
XVI	10869	11885	0
XVI	11886	12598	2
XVI	12599	13226	0
XVI	13227	14353	1
XVI	14354	15051	0
XVI	15052	15353	1
XVI	15354	15403	0
XVI	15404	16866	1
XVI	16867	17946	0
XVI	17947	19077	2
XVI	19078	22936	0
XVI	22937	24699	2
XVI	24700	25085	0
XVI	25086	26062	2
XVI	26063	26609	0
XVI	26610	28162	1
XVI	28163	30077	0
XVI	30078	30265	2
XVI	30266	30480	0
XVI	30481	32801	2
XVI	32802	33011	0
XVI	33012	34945	2
XVI	34946	35234	0
XVI	35235	37843	2
XVI	37844	38167	0
XVI	38168	38796	2
XVI	38797	39119	0
XVI	39120	40075	2
XVI	40076	41041	0
XVI	41042	42867	2
XVI	42868	43281	0
XVI	43282	44342	1
XVI	44343	44549	0
XVI	44550	46504	1
XVI	46505	47334	0
XVI	47335	48800	2
XVI	48801	48994	0
XVI	48995	49301	1
XVI	49302	49302	3
XVI	49303	50956	2
XVI	50957	51242	0
XVI	51243	52669	1
XVI	52670	53496	0
XVI	53497	55151	1
XVI	55152	56167	0
XVI	56168	56272	1
XVI	56273	56746	0
XVI	56747	62014	2
XVI	62015	63277	0
XVI	63278	63858	2
XVI	63859	64975	0
XVI	64976	66612	1
XVI	66613	67723	0
XVI	67724	68880	2
XVI	68881	69483	0
XVI	69484	70949	2
XVI	70950	71061	0
XVI	71062	73004	1
XVI	73005	73361	0
XVI	73362	73623	1
XVI	73624	73879	3
XVI	73880	73925	2
XVI	73926	74307	0
XVI	74308	74717	1
XVI	74718	75697	0
XVI	75698	75700	1
XVI	75701	75987	3
XVI	75988	76237	1
XVI	76238	76667	0
XVI	76668	79351	1
XVI	79352	79709	0
XVI	79710	82354	1
XVI	82355	82623	0
XVI	82624	84194	1
XVI	84195	84507	0
XVI	84508	85295	1
XVI	85296	85584	0
XVI	85585	86948	2
XVI	86949	87012	0
XVI	87013	88031	1
XVI	88032	88515	0
XVI	88516	90314	2
XVI	90315	90620	0
XVI	90621	95107	1
XVI	95108	95370	0
XVI	95371	96256	1
XVI	96257	96494	0
XVI	96495	98623	1
XVI	98624	99482	0
XVI	99483	100084	2
XVI	100085	100472	0
XVI	100473	100494	1
XVI	100495	100861	3
XVI	100862	101351	2
XVI	101352	101606	0
XVI	101607	102700	1
XVI	102701	103230	0
XVI	103231	104645	2
XVI	104646	104944	0
XVI	104945	105438	1
XVI	105439	106170	0
XVI	106171	106820	2
XVI	106821	107273	0
XVI	107274	108145	2
XVI	108146	108650	0
XVI	108651	114313	2
XVI	114314	115310	0
XVI	115311	116485	2
XVI	116486	117065	0
XVI	117066	117685	2
XVI	117686	118380	0
XVI	118381	120029	2
XVI	120030	120161	0
XVI	120162	121165	1
XVI	121166	121765	0
XVI	121766	125355	2
XVI	125356	126004	0
XVI	126005	126444	2
XVI	126445	126632	0
XVI	126633	128086	1
XVI	128087	128630	0
XVI	128631	129136	1
XVI	129137	130160	0
XVI	130161	131868	2
XVI	131869	132113	3
XVI	132114	132226	2
XVI	132227	133041	0
XVI	133042	135422	2
XVI	135423	135788	0
XVI	135789	136441	2
XVI	136442	136748	0
XVI	136749	138226	2
XVI	138227	138696	0
XVI	138697	139407	2
XVI	139408	139618	0
XVI	139619	143169	1
XVI	143170	143819	0
XVI	143820	147127	2
XVI	147128	147414	0
XVI	147415	148421	2
XVI	148422	148567	0
XVI	148568	150189	1
XVI	150190	150612	0
XVI	150613	151328	2
XVI	151329	151513	0
XVI	151514	153147	1
XVI	153148	153493	0
XVI	153494	154038	2
XVI	154039	154288	0
XVI	154289	156210	1
XVI	156211	156488	0
XVI	156489	157591	1
XVI	157592	157840	0
XVI	157841	159591	2
XVI	159592	159907	0
XVI	159908	162339	2
XVI	162340	162630	0
XVI	162631	163595	1
XVI	163596	163920	0
XVI	163921	164264	1
XVI	164265	164274	0
XVI	164275	165758	2
XVI	165759	166254	0
XVI	166255	167396	2
XVI	167397	168086	0
