ENSG00000184895	ENST00000383070	Y	-1	2786855	2787699	SRY	protein_coding
ENSG00000129824	ENST00000250784	Y	1	2841486	2867268	RPS4Y1	protein_coding
ENSG00000129824	ENST00000430575	Y	1	2841920	2866862	RPS4Y1	protein_coding
ENSG00000067646	ENST00000383052	Y	1	2935281	2982506	ZFY	protein_coding
ENSG00000067646	ENST00000625061	Y	1	2935389	2980347	ZFY	protein_coding
ENSG00000067646	ENST00000155093	Y	1	2935477	2982505	ZFY	protein_coding
ENSG00000067646	ENST00000443793	Y	1	2935505	2961286	ZFY	protein_coding
ENSG00000067646	ENST00000449237	Y	1	2935651	2981146	ZFY	protein_coding
ENSG00000176679	ENST00000321217	Y	1	3579041	3580041	TGIF2LY	protein_coding
ENSG00000176679	ENST00000559055	Y	1	3579115	3580041	TGIF2LY	protein_coding
ENSG00000099715	ENST00000333703	Y	1	5000226	5105444	PCDH11Y	protein_coding
ENSG00000099715	ENST00000622698	Y	1	5000296	5105459	PCDH11Y	protein_coding
ENSG00000099715	ENST00000621505	Y	1	5000400	5057088	PCDH11Y	protein_coding
ENSG00000099715	ENST00000215473	Y	1	5056088	5101437	PCDH11Y	protein_coding
ENSG00000099715	ENST00000362095	Y	1	5056090	5104700	PCDH11Y	protein_coding
ENSG00000099715	ENST00000400457	Y	1	5056090	5742224	PCDH11Y	protein_coding
ENSG00000168757	ENST00000429039	Y	1	6246223	6248892	TSPY2	protein_coding
ENSG00000168757	ENST00000320701	Y	1	6246223	6249013	TSPY2	protein_coding
ENSG00000168757	ENST00000383042	Y	1	6246269	6249012	TSPY2	protein_coding
ENSG00000099721	ENST00000215479	Y	-1	6865918	6874027	AMELY	protein_coding
ENSG00000099721	ENST00000383036	Y	-1	6866073	6872608	AMELY	protein_coding
ENSG00000092377	ENST00000346432	Y	1	6910686	7091683	TBL1Y	protein_coding
ENSG00000092377	ENST00000355162	Y	1	6910686	7091683	TBL1Y	protein_coding
ENSG00000092377	ENST00000383032	Y	1	6910686	7091683	TBL1Y	protein_coding
ENSG00000233803	ENST00000426950	Y	1	9337464	9340278	TSPY4	protein_coding
ENSG00000233803	ENST00000640033	Y	1	9337510	9339393	TSPY4	protein_coding
ENSG00000233803	ENST00000383008	Y	1	9337510	9340277	TSPY4	protein_coding
ENSG00000229549	ENST00000287721	Y	1	9357797	9360593	TSPY8	protein_coding
ENSG00000229549	ENST00000383005	Y	1	9357843	9359374	TSPY8	protein_coding
ENSG00000229549	ENST00000383000	Y	1	9357843	9360592	TSPY8	protein_coding
