ENSG00000277322	ENST00000619213	15	-1	20531856	20541800	GOLGA6L6	protein_coding
ENSG00000230031	ENST00000454856	15	-1	20835372	20866314	POTEB2	protein_coding
ENSG00000278522	ENST00000611217	15	-1	21408964	21440059	POTEB3	protein_coding
ENSG00000280709	ENST00000628444	15	1	21579912	21653276	LINC02203	protein_coding
ENSG00000182974	ENST00000332663	15	1	21637909	21638992	AC135068.1	protein_coding
ENSG00000279408	ENST00000623441	15	1	21651844	21652968	AC135068.3	protein_coding
ENSG00000233917	ENST00000439682	15	-1	21846329	21877298	POTEB	protein_coding
ENSG00000285472	ENST00000639059	15	1	22015233	22095857	AC134980.3	protein_coding
ENSG00000274102	ENST00000614722	15	1	22080625	22081566	OR4M2	protein_coding
ENSG00000183706	ENST00000328795	15	1	22094522	22095472	OR4N4	protein_coding
ENSG00000277865	ENST00000620691	15	1	22458903	22469230	GOLGA6L22	protein_coding
ENSG00000277865	ENST00000622895	15	1	22459123	22469226	GOLGA6L22	protein_coding
ENSG00000170113	ENST00000437912	15	1	22773063	22829789	NIPA1	protein_coding
ENSG00000170113	ENST00000561183	15	1	22785899	22824752	NIPA1	protein_coding
ENSG00000170113	ENST00000337435	15	1	22786632	22829791	NIPA1	protein_coding
ENSG00000140157	ENST00000398014	15	1	22838641	22868384	NIPA2	protein_coding
ENSG00000140157	ENST00000359727	15	1	22838658	22866847	NIPA2	protein_coding
ENSG00000140157	ENST00000337451	15	1	22838660	22868384	NIPA2	protein_coding
ENSG00000140157	ENST00000398013	15	1	22838687	22867716	NIPA2	protein_coding
ENSG00000140157	ENST00000560039	15	1	22838690	22853249	NIPA2	protein_coding
ENSG00000140157	ENST00000539711	15	1	22838698	22866916	NIPA2	protein_coding
ENSG00000273749	ENST00000617928	15	-1	22867052	22980335	CYFIP1	protein_coding
ENSG00000273749	ENST00000617556	15	-1	22867125	22917313	CYFIP1	protein_coding
ENSG00000273749	ENST00000610365	15	-1	22869466	22980352	CYFIP1	protein_coding
ENSG00000273749	ENST00000561263	15	-1	22872637	22875235	CYFIP1	protein_coding
ENSG00000273749	ENST00000612288	15	-1	22914827	22926015	CYFIP1	protein_coding
ENSG00000273749	ENST00000613006	15	-1	22943259	22981063	CYFIP1	protein_coding
ENSG00000273749	ENST00000611832	15	-1	22943289	22980382	CYFIP1	protein_coding
ENSG00000275835	ENST00000615383	15	-1	22999176	23039673	TUBGCP5	protein_coding
ENSG00000275835	ENST00000620435	15	-1	23000284	23039572	TUBGCP5	protein_coding
ENSG00000275835	ENST00000610294	15	-1	23005432	23008881	TUBGCP5	protein_coding
ENSG00000275835	ENST00000612085	15	-1	23026123	23036964	TUBGCP5	protein_coding
ENSG00000275835	ENST00000622507	15	-1	23026177	23036948	TUBGCP5	protein_coding
ENSG00000273976	ENST00000614055	15	-1	23128268	23136822	GOLGA6L1	protein_coding
ENSG00000261739	ENST00000562295	15	1	23354846	23365134	GOLGA8S	protein_coding
ENSG00000174450	ENST00000312015	15	-1	23439498	23447234	GOLGA6L2	protein_coding
ENSG00000174450	ENST00000345070	15	-1	23439498	23447234	GOLGA6L2	protein_coding
ENSG00000174450	ENST00000567107	15	-1	23439498	23447234	GOLGA6L2	protein_coding
ENSG00000179455	ENST00000314520	15	1	23565674	23568020	MKRN3	protein_coding
ENSG00000179455	ENST00000647595	15	1	23565680	23628534	MKRN3	protein_coding
ENSG00000179455	ENST00000568252	15	1	23565717	23611564	MKRN3	protein_coding
ENSG00000179455	ENST00000649065	15	1	23565733	23629778	MKRN3	protein_coding
ENSG00000179455	ENST00000564592	15	1	23565773	23575482	MKRN3	protein_coding
ENSG00000254585	ENST00000532292	15	-1	23643549	23647846	MAGEL2	protein_coding
ENSG00000254585	ENST00000650528	15	-1	23643549	23647867	MAGEL2	protein_coding
ENSG00000182636	ENST00000331837	15	-1	23685400	23687330	NDN	protein_coding
ENSG00000182636	ENST00000649030	15	-1	23685679	23687305	NDN	protein_coding
ENSG00000185823	ENST00000329468	15	1	24675868	24683393	NPAP1	protein_coding
ENSG00000128739	ENST00000400100	15	1	24823647	24978582	SNRPN	protein_coding
ENSG00000128739	ENST00000645002	15	1	24823725	24978577	SNRPN	protein_coding
ENSG00000128739	ENST00000642807	15	1	24823725	24978583	SNRPN	protein_coding
ENSG00000128739	ENST00000400097	15	1	24856551	24978582	SNRPN	protein_coding
ENSG00000128739	ENST00000390687	15	1	24954927	24978723	SNRPN	protein_coding
