ENSMUSG00000091539	ENSMUST00000165255	18	-1	3122492	3123412	Vmn1r238	protein_coding
ENSMUSG00000063889	ENSMUST00000151311	18	-1	3266048	3327591	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000150235	18	-1	3266354	3337679	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000122958	18	-1	3266356	3299559	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000154135	18	-1	3266356	3337488	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000025069	18	-1	3266356	3337589	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000082141	18	-1	3266356	3337589	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000165086	18	-1	3266356	3337589	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000140332	18	-1	3266957	3281769	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000154470	18	-1	3267261	3337748	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000129435	18	-1	3267264	3299556	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000151084	18	-1	3267390	3281747	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000131899	18	-1	3267423	3327507	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000130599	18	-1	3267514	3325474	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000124747	18	-1	3267534	3281132	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000049942	18	-1	3267546	3281078	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000127601	18	-1	3267558	3325478	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000147138	18	-1	3267572	3281769	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000156234	18	-1	3267575	3325474	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000130455	18	-1	3267585	3327507	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000137568	18	-1	3267585	3327507	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000146265	18	-1	3267585	3327507	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000152900	18	-1	3267585	3327507	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000136961	18	-1	3267588	3309723	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000152108	18	-1	3267588	3309723	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000144496	18	-1	3267588	3309858	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000123672	18	-1	3267588	3325474	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000139537	18	-1	3267633	3281101	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000154705	18	-1	3267845	3281738	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000126578	18	-1	3267985	3299452	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000154715	18	-1	3267985	3309900	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000149803	18	-1	3294184	3337589	Crem	protein_coding
ENSMUSG00000063889	ENSMUST00000142690	18	-1	3294482	3337574	Crem	protein_coding
ENSMUSG00000024231	ENSMUST00000025073	18	1	3382988	3436374	Cul2	protein_coding
ENSMUSG00000024231	ENSMUST00000162301	18	1	3383232	3436377	Cul2	protein_coding
ENSMUSG00000024231	ENSMUST00000161317	18	1	3383257	3431531	Cul2	protein_coding
ENSMUSG00000096528	ENSMUST00000179907	18	1	3471630	3474315	G430049J08Rik	protein_coding
ENSMUSG00000024232	ENSMUST00000025075	18	1	3507957	3516404	Bambi	protein_coding
ENSMUSG00000024233	ENSMUST00000025076	18	1	4165832	4182232	Lyzl1	protein_coding
ENSMUSG00000024233	ENSMUST00000120837	18	1	4165862	4182232	Lyzl1	protein_coding
ENSMUSG00000024235	ENSMUST00000025078	18	-1	4331327	4352953	Map3k8	protein_coding
ENSMUSG00000024234	ENSMUST00000025077	18	1	4375592	4397330	Mtpap	protein_coding
ENSMUSG00000033960	ENSMUST00000037029	18	1	4634929	4682868	Jcad	protein_coding
ENSMUSG00000024236	ENSMUST00000126977	18	1	4920540	5119291	Svil	protein_coding
ENSMUSG00000024236	ENSMUST00000143254	18	1	4921726	5119299	Svil	protein_coding
ENSMUSG00000024236	ENSMUST00000153016	18	1	4993813	5046877	Svil	protein_coding
ENSMUSG00000024236	ENSMUST00000140448	18	1	4994618	5118610	Svil	protein_coding
ENSMUSG00000024236	ENSMUST00000210707	18	1	5035166	5119291	Svil	protein_coding
ENSMUSG00000024236	ENSMUST00000127297	18	1	5040226	5118440	Svil	protein_coding
ENSMUSG00000024236	ENSMUST00000025079	18	1	5046575	5119288	Svil	protein_coding
ENSMUSG00000024236	ENSMUST00000146723	18	1	5103675	5117021	Svil	protein_coding
ENSMUSG00000050945	ENSMUST00000063989	18	-1	5210031	5334439	Zfp438	protein_coding
ENSMUSG00000024238	ENSMUST00000025081	18	1	5591860	5775467	Zeb1	protein_coding
ENSMUSG00000024238	ENSMUST00000159390	18	1	5591891	5766533	Zeb1	protein_coding
ENSMUSG00000024238	ENSMUST00000160910	18	1	5593602	5759057	Zeb1	protein_coding
ENSMUSG00000041225	ENSMUST00000182066	18	-1	6024427	6112363	Arhgap12	protein_coding
ENSMUSG00000041225	ENSMUST00000077128	18	-1	6024785	6135907	Arhgap12	protein_coding
ENSMUSG00000041225	ENSMUST00000182213	18	-1	6025197	6135960	Arhgap12	protein_coding
ENSMUSG00000041225	ENSMUST00000182559	18	-1	6025217	6136098	Arhgap12	protein_coding
ENSMUSG00000041225	ENSMUST00000062584	18	-1	6026432	6135892	Arhgap12	protein_coding
ENSMUSG00000041225	ENSMUST00000182383	18	-1	6026556	6135888	Arhgap12	protein_coding
ENSMUSG00000041225	ENSMUST00000182921	18	-1	6049278	6111980	Arhgap12	protein_coding
ENSMUSG00000041225	ENSMUST00000182038	18	-1	6061951	6135955	Arhgap12	protein_coding
ENSMUSG00000006740	ENSMUST00000025083	18	-1	6201002	6241523	Kif5b	protein_coding
ENSMUSG00000006740	ENSMUST00000163210	18	-1	6214569	6241470	Kif5b	protein_coding
ENSMUSG00000073640	ENSMUST00000097682	18	1	6332590	6333064	Rpl27-ps3	protein_coding
ENSMUSG00000024240	ENSMUST00000115870	18	-1	6435951	6516108	Epc1	protein_coding
ENSMUSG00000024240	ENSMUST00000028100	18	-1	6435953	6490856	Epc1	protein_coding
ENSMUSG00000024240	ENSMUST00000124926	18	-1	6439592	6441894	Epc1	protein_coding
ENSMUSG00000024240	ENSMUST00000050542	18	-1	6489160	6490856	Epc1	protein_coding
ENSMUSG00000039540	ENSMUST00000044829	18	1	6603633	6638966	4921524L21Rik	protein_coding
ENSMUSG00000073639	ENSMUST00000097680	18	1	6765205	6790231	Rab18	protein_coding
ENSMUSG00000061013	ENSMUST00000079788	18	-1	6934966	7004780	Mkx	protein_coding
ENSMUSG00000061802	ENSMUST00000081275	18	-1	7088233	7297901	Armc4	protein_coding
ENSMUSG00000057440	ENSMUST00000115869	18	-1	7347962	7626863	Mpp7	protein_coding
ENSMUSG00000024283	ENSMUST00000171042	18	1	7868832	7926505	Wac	protein_coding
ENSMUSG00000024283	ENSMUST00000166378	18	1	7868845	7871688	Wac	protein_coding
