<CHROM>	<START>	<END>	<TSB>
X	0	3076873	0
X	3076874	3078815	2
X	3078816	3193885	0
X	3193886	3195825	1
X	3195826	3441729	0
X	3441730	3443688	1
X	3443689	3700231	0
X	3700232	3702190	2
X	3702191	3750932	0
X	3750933	3752883	1
X	3752884	3955052	0
X	3955053	3957000	1
X	3957001	4037672	0
X	4037673	4039614	2
X	4039615	4196574	0
X	4196575	4198533	2
X	4198534	4289284	0
X	4289285	4291243	1
X	4291244	4370634	0
X	4370635	4372593	2
X	4372594	4800494	0
X	4800495	4801984	2
X	4801985	4952133	0
X	4952134	4954075	2
X	4954076	5466896	0
X	5466897	5469263	1
X	5469264	5669065	0
X	5669066	5671024	2
X	5671025	6047451	0
X	6047452	6055108	2
X	6055109	6081217	0
X	6081218	6083417	1
X	6083418	6168694	0
X	6168695	6173013	1
X	6173014	6314105	0
X	6314106	6320719	1
X	6320720	6399852	0
X	6399853	6637446	2
X	6637447	6779304	0
X	6779305	6948361	2
X	6948362	6979650	0
X	6979651	7041617	1
X	7041618	7067517	0
X	7067518	7078607	2
X	7078608	7153808	0
X	7153809	7319356	1
X	7319357	7371274	0
X	7371275	7375828	1
X	7375829	7557294	0
X	7557295	7574281	1
X	7574282	7579674	0
X	7579675	7593807	2
X	7593808	7595241	3
X	7595242	7605515	1
X	7605516	7607097	0
X	7607098	7635194	2
X	7635195	7638469	0
X	7638470	7653254	2
X	7653255	7657258	0
X	7657259	7667939	2
X	7667940	7667956	3
X	7667957	7668184	2
X	7668185	7671388	1
X	7671389	7674624	0
X	7674625	7681087	1
X	7681088	7697129	0
X	7697130	7710260	2
X	7710261	7721971	0
X	7721972	7731062	2
X	7731063	7731712	0
X	7731713	7741339	1
X	7741340	7762656	0
X	7762657	7775200	2
X	7775201	7789763	0
X	7789764	7820565	2
X	7820566	7822287	0
X	7822288	7838278	2
X	7838279	7841829	0
X	7841830	7876624	2
X	7876625	7878300	0
X	7878301	7883430	2
X	7883431	7884026	0
X	7884027	7894490	2
X	7894491	7894517	0
X	7894518	7899267	1
X	7899268	7899355	0
X	7899356	7907691	2
X	7907692	7907833	3
X	7907834	7908349	2
X	7908350	7909540	0
X	7909541	7909925	2
X	7909926	7919820	0
X	7919821	7924274	2
X	7924275	7924408	3
X	7924409	7928605	1
X	7928606	7930118	0
X	7930119	7947887	1
X	7947888	7959258	0
X	7959259	7978069	1
X	7978070	8004198	0
X	8004199	8018490	1
